"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01085","0","10","70","0","2016","1","","Lowndes County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",161,2422,2383,2371,25449912,12243317,243059,818,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,5.2,162,7.2,108,4.7,117,5.2,930642,3.8,1158886,10.5,15995,7.0,-15,-1.8
"01085","0","10","70","0","2016","2","","Lowndes County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",163,2482,2430,2452,27465422,3288221,84886,861,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,3.8,201,8.8,76,3.2,95,4.0,1649815,6.4,224021,7.3,-386,-0.5,9,1.1
"01085","0","10","70","0","2016","3","","Lowndes County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",162,2438,2371,2365,26873880,1607139,37475,864,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.5,83,3.5,29,1.2,30,1.3,1431106,5.6,93698,6.2,-5066,-11.9,29,3.5
"01085","0","10","70","0","2016","4","","Lowndes County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",163,2354,2438,2449,27261976,1540454,36383,869,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.5,-15,-0.6,77,3.3,7,0.3,-290260,-1.1,31953,2.1,-8039,-18.1,-18,-2.0
"01085","1","10","71","0","2016","1","","Lowndes County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,26,25,26,337974,0,0,1013,"",6.91,0.54,0.53,0.56,0.47,0.00,0.00,0.86,"",0,0.0,-3,-10.3,-2,-7.4,0,0.0,-45804,-11.9,0,0.0,0,0.0,-67,-6.2
"01085","1","10","71","0","2016","2","","Lowndes County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,28,28,29,315948,0,0,858,"",5.90,0.58,0.59,0.60,0.42,0.00,0.00,0.71,"",-1,-14.3,1,3.7,1,3.7,1,3.6,-42189,-11.8,0,0.0,0,0.0,-150,-14.9
"01085","1","10","71","0","2016","3","","Lowndes County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,29,28,27,374951,0,0,1030,"",5.99,0.60,0.60,0.58,0.45,0.00,0.00,0.76,"",-1,-14.3,-1,-3.3,-2,-6.7,-2,-6.9,-3360,-0.9,0,0.0,0,0.0,49,5.0
"01085","1","10","71","0","2016","4","","Lowndes County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,28,27,27,338356,0,0,952,"",5.99,0.61,0.57,0.56,0.44,0.00,0.00,0.76,"",-1,-14.3,1,3.7,1,3.8,2,8.0,-20602,-5.7,0,0.0,0,0.0,-110,-10.4
"01085","1","102","72","0","2016","1","","Lowndes County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,26,25,26,337974,0,0,1013,"",6.92,0.55,0.54,0.57,0.47,0.00,0.00,0.86,"",0,0.0,-3,-10.3,-2,-7.4,0,0.0,-45804,-11.9,0,0.0,0,0.0,-67,-6.2
"01085","1","102","72","0","2016","2","","Lowndes County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,28,28,29,315948,0,0,858,"",5.91,0.59,0.60,0.61,0.43,0.00,0.00,0.71,"",-1,-14.3,1,3.7,1,3.7,1,3.6,-42189,-11.8,0,0.0,0,0.0,-150,-14.9
"01085","1","102","72","0","2016","3","","Lowndes County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,29,28,27,374951,0,0,1030,"",6.00,0.61,0.61,0.59,0.46,0.00,0.00,0.76,"",-1,-14.3,-1,-3.3,-2,-6.7,-2,-6.9,-3360,-0.9,0,0.0,0,0.0,49,5.0
"01085","1","102","72","0","2016","4","","Lowndes County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,28,27,27,338356,0,0,952,"",6.01,0.62,0.58,0.57,0.45,0.00,0.00,0.76,"",-1,-14.3,1,3.7,1,3.8,2,8.0,-20602,-5.7,0,0.0,0,0.0,-110,-10.4
"01085","1","1021","73","0","2016","1","","Lowndes County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,14,13,13,136014,0,0,785,"",7.91,1.20,1.13,1.14,1.08,0.00,0.00,0.94,"",0,0.0,-1,-6.7,0,0.0,0,0.0,-22820,-14.4,0,0.0,0,0.0,-109,-12.2
"01085","1","1021","73","0","2016","2","","Lowndes County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,14,14,14,140478,0,0,772,"",7.87,1.19,1.21,1.20,1.03,0.00,0.00,0.86,"",0,0.0,1,7.7,0,0.0,0,0.0,2868,2.1,0,0.0,0,0.0,-3,-0.4
"01085","1","1021","73","0","2016","3","","Lowndes County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,14,14,13,161493,0,0,909,"",8.00,1.20,1.23,1.15,1.08,0.00,0.00,0.90,"",0,0.0,1,7.7,0,0.0,-1,-7.1,11707,7.8,0,0.0,0,0.0,66,7.8
"01085","1","1021","73","0","2016","4","","Lowndes County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,14,13,14,164400,0,0,925,"",8.01,1.25,1.12,1.16,1.05,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,1,7.7,15775,10.6,0,0.0,0,0.0,68,7.9
"01085","1","1024","73","0","2016","1","","Lowndes County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,156232,0,0,1335,"",40.43,8.12,8.28,8.34,8.17,0.00,0.00,0.99,"",0,0.0,-1,-10.0,-1,-10.0,0,0.0,13050,9.1,0,0.0,0,0.0,196,17.2
"01085","1","1024","73","0","2016","2","","Lowndes County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,10,134554,0,0,1109,"",40.20,8.01,8.19,8.92,7.04,0.00,0.00,0.84,"",0,0.0,0,0.0,0,0.0,0,0.0,-22785,-14.5,0,0.0,0,0.0,-188,-14.5
"01085","1","1024","73","0","2016","3","","Lowndes County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,9,9,159224,0,0,1312,"",40.87,8.79,8.19,8.32,7.45,0.00,0.00,0.88,"",0,0.0,0,0.0,0,0.0,0,0.0,16828,11.8,0,0.0,0,0.0,138,11.8
"01085","1","1024","73","0","2016","4","","Lowndes County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,9,133359,0,0,1140,"",40.80,8.43,8.16,8.13,7.23,0.00,0.00,0.88,"",0,0.0,0,0.0,0,0.0,0,0.0,-28242,-17.5,0,0.0,0,0.0,-241,-17.5
"01085","1","1028","73","0","2016","1","","Lowndes County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,4,45728,0,0,1055,"",4.84,0.11,0.12,0.16,0.10,0.00,0.00,0.78,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,-36034,-44.1,0,0.0,0,0.0,-517,-32.9
"01085","1","1028","73","0","2016","2","","Lowndes County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,40916,0,0,629,"",2.42,0.19,0.19,0.19,0.09,0.00,0.00,0.46,"",-1,-50.0,0,0.0,1,25.0,1,25.0,-22272,-35.2,0,0.0,0,0.0,-493,-43.9
"01085","1","1028","73","0","2016","3","","Lowndes County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,54234,0,0,834,"",2.45,0.19,0.20,0.20,0.11,0.00,0.00,0.55,"",-1,-50.0,-2,-28.6,-2,-28.6,-1,-16.7,-31895,-37.0,0,0.0,0,0.0,-160,-16.1
"01085","1","1028","73","0","2016","4","","Lowndes County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,4,40597,0,0,669,"",2.45,0.20,0.19,0.15,0.09,0.00,0.00,0.49,"",-1,-50.0,1,25.0,1,25.0,1,33.3,-8135,-16.7,0,0.0,0,0.0,-353,-34.5
"01085","1","48-49","74","0","2016","1","","Lowndes County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,13,13,136014,0,0,785,"",8.14,1.32,1.24,1.24,1.16,0.00,0.00,0.92,"",0,0.0,-1,-6.7,0,0.0,0,0.0,-22820,-14.4,0,0.0,0,0.0,-109,-12.2
"01085","1","48-49","74","0","2016","2","","Lowndes County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,14,14,140478,0,0,772,"",8.10,1.30,1.32,1.31,1.11,0.00,0.00,0.84,"",0,0.0,1,7.7,0,0.0,0,0.0,2868,2.1,0,0.0,0,0.0,-3,-0.4
"01085","1","48-49","74","0","2016","3","","Lowndes County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,14,13,161493,0,0,909,"",8.23,1.31,1.35,1.26,1.15,0.00,0.00,0.88,"",0,0.0,1,7.7,0,0.0,-1,-7.1,11707,7.8,0,0.0,0,0.0,66,7.8
"01085","1","48-49","74","0","2016","4","","Lowndes County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,13,14,164400,0,0,925,"",8.24,1.37,1.23,1.26,1.14,0.00,0.00,0.88,"",0,0.0,0,0.0,0,0.0,1,7.7,15775,10.6,0,0.0,0,0.0,68,7.9
"01085","1","491","75","0","2016","1","","Lowndes County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,13,13,136014,0,0,785,"",8.19,1.35,1.26,1.27,1.22,0.00,0.00,0.95,"",0,0.0,-1,-6.7,0,0.0,0,0.0,-22820,-14.4,0,0.0,0,0.0,-109,-12.2
"01085","1","491","75","0","2016","2","","Lowndes County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,14,14,140478,0,0,772,"",8.16,1.33,1.35,1.34,1.16,0.00,0.00,0.86,"",0,0.0,1,7.7,0,0.0,0,0.0,2868,2.1,0,0.0,0,0.0,-3,-0.4
"01085","1","491","75","0","2016","3","","Lowndes County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,14,13,161493,0,0,909,"",8.29,1.34,1.38,1.29,1.20,0.00,0.00,0.90,"",0,0.0,1,7.7,0,0.0,-1,-7.1,11707,7.8,0,0.0,0,0.0,66,7.8
"01085","1","491","75","0","2016","4","","Lowndes County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,14,13,14,164400,0,0,925,"",8.30,1.40,1.25,1.29,1.18,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,1,7.7,15775,10.6,0,0.0,0,0.0,68,7.9
"01085","1","4911","76","0","2016","1","","Lowndes County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,13,13,136014,0,0,785,"",8.19,1.35,1.26,1.27,1.22,0.00,0.00,0.95,"",0,0.0,-1,-6.7,0,0.0,0,0.0,-22820,-14.4,0,0.0,0,0.0,-109,-12.2
"01085","1","4911","76","0","2016","2","","Lowndes County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,14,14,140478,0,0,772,"",8.16,1.33,1.35,1.34,1.16,0.00,0.00,0.86,"",0,0.0,1,7.7,0,0.0,0,0.0,2868,2.1,0,0.0,0,0.0,-3,-0.4
"01085","1","4911","76","0","2016","3","","Lowndes County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,14,13,161493,0,0,909,"",8.29,1.34,1.38,1.29,1.20,0.00,0.00,0.90,"",0,0.0,1,7.7,0,0.0,-1,-7.1,11707,7.8,0,0.0,0,0.0,66,7.8
"01085","1","4911","76","0","2016","4","","Lowndes County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,14,13,14,164400,0,0,925,"",8.30,1.40,1.25,1.29,1.18,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,1,7.7,15775,10.6,0,0.0,0,0.0,68,7.9
"01085","1","49111","77","0","2016","1","","Lowndes County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,14,13,13,136014,0,0,785,"",8.19,1.35,1.26,1.27,1.22,0.00,0.00,0.95,"",0,0.0,-1,-6.7,0,0.0,0,0.0,-22820,-14.4,0,0.0,0,0.0,-109,-12.2
"01085","1","49111","77","0","2016","2","","Lowndes County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,14,14,14,140478,0,0,772,"",8.16,1.33,1.35,1.34,1.16,0.00,0.00,0.86,"",0,0.0,1,7.7,0,0.0,0,0.0,2868,2.1,0,0.0,0,0.0,-3,-0.4
"01085","1","49111","77","0","2016","3","","Lowndes County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,14,14,13,161493,0,0,909,"",8.29,1.34,1.38,1.29,1.20,0.00,0.00,0.90,"",0,0.0,1,7.7,0,0.0,-1,-7.1,11707,7.8,0,0.0,0,0.0,66,7.8
"01085","1","49111","77","0","2016","4","","Lowndes County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,14,13,14,164400,0,0,925,"",8.30,1.40,1.25,1.29,1.18,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,1,7.7,15775,10.6,0,0.0,0,0.0,68,7.9
"01085","1","491110","78","0","2016","1","","Lowndes County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,13,13,136014,0,0,785,"",8.19,1.35,1.26,1.27,1.22,0.00,0.00,0.95,"",0,0.0,-1,-6.7,0,0.0,0,0.0,-22820,-14.4,0,0.0,0,0.0,-109,-12.2
"01085","1","491110","78","0","2016","2","","Lowndes County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,14,14,140478,0,0,772,"",8.16,1.33,1.35,1.34,1.16,0.00,0.00,0.86,"",0,0.0,1,7.7,0,0.0,0,0.0,2868,2.1,0,0.0,0,0.0,-3,-0.4
"01085","1","491110","78","0","2016","3","","Lowndes County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,14,13,161493,0,0,909,"",8.29,1.34,1.38,1.29,1.20,0.00,0.00,0.90,"",0,0.0,1,7.7,0,0.0,-1,-7.1,11707,7.8,0,0.0,0,0.0,66,7.8
"01085","1","491110","78","0","2016","4","","Lowndes County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,14,13,14,164400,0,0,925,"",8.30,1.40,1.25,1.29,1.18,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,1,7.7,15775,10.6,0,0.0,0,0.0,68,7.9
"01085","1","54","74","0","2016","1","","Lowndes County, Alabama","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,156232,0,0,1335,"",45.08,8.37,8.54,8.60,8.27,0.00,0.00,0.97,"",0,0.0,-1,-10.0,-1,-10.0,0,0.0,13050,9.1,0,0.0,0,0.0,196,17.2
"01085","1","54","74","0","2016","2","","Lowndes County, Alabama","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,10,134554,0,0,1109,"",44.81,8.27,8.45,9.20,7.14,0.00,0.00,0.83,"",0,0.0,0,0.0,0,0.0,0,0.0,-22785,-14.5,0,0.0,0,0.0,-188,-14.5
"01085","1","54","74","0","2016","3","","Lowndes County, Alabama","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,9,9,159224,0,0,1312,"",45.57,9.08,8.45,8.58,7.54,0.00,0.00,0.87,"",0,0.0,0,0.0,0,0.0,0,0.0,16828,11.8,0,0.0,0,0.0,138,11.8
"01085","1","54","74","0","2016","4","","Lowndes County, Alabama","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,9,9,133359,0,0,1140,"",45.58,8.69,8.41,8.38,7.32,0.00,0.00,0.86,"",0,0.0,0,0.0,0,0.0,0,0.0,-28242,-17.5,0,0.0,0,0.0,-241,-17.5
"01085","1","541","75","0","2016","1","","Lowndes County, Alabama","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,9,9,156232,0,0,1335,"",45.08,8.37,8.54,8.60,8.27,0.00,0.00,0.97,"",0,0.0,-1,-10.0,-1,-10.0,0,0.0,13050,9.1,0,0.0,0,0.0,196,17.2
