"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02050","0","10","70","0","2016","1","","Bethel Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",371,6680,6560,6818,64758078,40512553,810643,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.6,37,0.6,-246,-3.6,27,0.4,-1225832,-1.9,-1479242,-3.5,-100036,-11.0,-7,-0.9
"02050","0","10","70","0","2016","2","","Bethel Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",369,6796,6727,7157,71336358,37546129,746509,796,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.8,81,1.2,-224,-3.2,-502,-6.6,201531,0.3,-857692,-2.2,-91886,-11.0,26,3.4
"02050","0","10","70","0","2016","3","","Bethel Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",369,7061,7045,7176,77483848,39166428,831278,840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-2.1,-369,-5.0,203,3.0,51,0.7,4906066,6.8,2453136,6.7,-39940,-4.6,57,7.3
"02050","0","10","70","0","2016","4","","Bethel Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",353,6982,6839,6918,70264680,22359587,446099,782,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-5.1,94,1.4,-80,-1.2,145,2.1,-3093662,-4.2,-1781689,-7.4,-88628,-16.6,-41,-5.0
"02050","1","10","71","0","2016","1","","Bethel Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,68,67,69,850499,0,0,962,"",10.28,0.51,0.52,0.51,0.46,0.00,0.00,0.90,"",0,0.0,4,6.2,6,9.8,4,6.2,-29797,-3.4,0,0.0,0,0.0,-107,-10.0
"02050","1","10","71","0","2016","2","","Bethel Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,72,75,80,880726,0,0,895,"",10.43,0.54,0.57,0.57,0.45,0.00,0.00,0.80,"",1,4.3,3,4.3,2,2.7,6,8.1,27975,3.3,0,0.0,0,0.0,-16,-1.8
"02050","1","10","71","0","2016","3","","Bethel Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,82,87,85,1085975,0,0,987,"",10.52,0.58,0.62,0.60,0.45,0.00,0.00,0.75,"",0,0.0,7,9.3,8,10.1,5,6.2,33730,3.2,0,0.0,0,0.0,-51,-4.9
"02050","1","10","71","0","2016","4","","Bethel Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,77,76,75,939053,0,0,950,"",11.07,0.57,0.57,0.55,0.47,0.00,0.00,0.84,"",0,0.0,5,6.9,5,7.0,7,10.3,58476,6.6,0,0.0,0,0.0,-13,-1.3
"02050","1","102","72","0","2016","1","","Bethel Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,68,67,69,850499,0,0,962,"",10.30,0.52,0.53,0.52,0.47,0.00,0.00,0.90,"",0,0.0,4,6.2,6,9.8,4,6.2,-29797,-3.4,0,0.0,0,0.0,-107,-10.0
"02050","1","102","72","0","2016","2","","Bethel Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,72,75,80,880726,0,0,895,"",10.45,0.55,0.58,0.58,0.46,0.00,0.00,0.80,"",1,4.3,3,4.3,2,2.7,6,8.1,27975,3.3,0,0.0,0,0.0,-16,-1.8
