"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02060","0","10","70","0","2016","1","","Bristol Bay Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",110,524,555,561,6618112,3856585,79103,931,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,12.2,39,8.0,49,9.7,27,5.1,350010,5.6,238172,6.6,-4487,-5.4,-18,-1.9
"02060","0","10","70","0","2016","2","","Bristol Bay Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",116,862,1473,1746,14351946,10574816,252997,812,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,10.5,157,22.3,100,7.3,164,10.4,-1015185,-6.6,-965407,-8.4,-65588,-20.6,-157,-16.2
"02060","0","10","70","0","2016","3","","Bristol Bay Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",118,4354,1546,829,33471655,26712997,675437,1148,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,9.3,787,22.1,407,35.7,25,3.1,6124949,22.4,5415139,25.4,58110,9.4,3,0.3
"02060","0","10","70","0","2016","4","","Bristol Bay Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",118,612,519,551,7131040,1851843,42575,978,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,7.3,-32,-5.0,-17,-3.2,35,6.8,-347484,-4.6,-346179,-15.7,-14452,-25.3,-40,-3.9
"02060","1","10","71","0","2016","1","","Bristol Bay Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,40,42,46,837364,0,0,1510,"",10.11,3.84,3.82,4.15,4.45,0.00,0.00,1.13,"",0,0.0,-4,-9.1,-3,-6.7,0,0.0,-43781,-5.0,0,0.0,0,0.0,4,0.3
"02060","1","10","71","0","2016","2","","Bristol Bay Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,58,63,872484,0,0,1198,"",9.68,2.79,2.01,1.83,2.22,0.00,0.00,1.05,"",0,0.0,-2,-4.1,3,5.5,7,12.5,16122,1.9,0,0.0,0,0.0,-37,-3.0
"02060","1","10","71","0","2016","3","","Bristol Bay Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,61,60,60,1099585,0,0,1402,"",9.59,0.70,1.96,3.68,1.06,0.00,0.00,0.78,"",0,0.0,2,3.4,4,7.1,6,11.1,76814,7.5,0,0.0,0,0.0,5,0.4
"02060","1","10","71","0","2016","4","","Bristol Bay Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,39,43,715969,0,0,1281,"",9.66,3.93,3.86,3.96,3.56,0.00,0.00,0.91,"",0,0.0,1,2.2,-4,-9.3,-2,-4.4,-65702,-8.4,0,0.0,0,0.0,-65,-4.8
"02060","1","102","72","0","2016","1","","Bristol Bay Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,40,42,46,837364,0,0,1510,"",10.13,3.91,3.89,4.23,4.52,0.00,0.00,1.13,"",0,0.0,-4,-9.1,-3,-6.7,0,0.0,-43781,-5.0,0,0.0,0,0.0,4,0.3
"02060","1","102","72","0","2016","2","","Bristol Bay Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,47,58,63,872484,0,0,1198,"",9.69,2.84,2.05,1.87,2.26,0.00,0.00,1.05,"",0,0.0,-2,-4.1,3,5.5,7,12.5,16122,1.9,0,0.0,0,0.0,-37,-3.0
