"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05019","0","10","70","0","2016","1","","Clark County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",617,8918,9160,9191,73282465,39564303,1061763,620,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.5,-53,-0.6,60,0.7,118,1.3,3011693,4.3,2460574,6.6,-114326,-9.7,23,3.9
"05019","0","10","70","0","2016","2","","Clark County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",621,9199,9155,8851,77459768,18902645,416214,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,47,0.5,71,0.8,-16,-0.2,3432246,4.6,519462,2.8,-74427,-15.2,27,4.3
"05019","0","10","70","0","2016","3","","Clark County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",634,8725,8993,9279,76109732,10171429,196031,651,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,2.4,-1,0.0,-27,-0.3,-41,-0.4,4929347,6.9,-734014,-6.7,-97881,-33.3,44,7.2
"05019","0","10","70","0","2016","4","","Clark County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",628,9196,9233,9315,77840374,7448388,153789,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.3,-90,-1.0,-114,-1.2,-69,-0.7,-1777642,-2.2,-1509574,-16.9,-102068,-39.9,-9,-1.4
"05019","1","10","71","0","2016","1","","Clark County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,87,86,85,1103367,0,0,987,"",3.09,0.49,0.47,0.47,0.53,0.00,0.00,1.11,"",-1,-7.7,7,8.8,8,10.3,9,11.8,70065,6.8,0,0.0,0,0.0,-32,-3.1
"05019","1","10","71","0","2016","2","","Clark County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,84,80,87,976293,0,0,898,"",3.10,0.47,0.45,0.50,0.46,0.00,0.00,0.98,"",-1,-7.7,4,5.0,0,0.0,-2,-2.2,-101438,-9.4,0,0.0,0,0.0,-101,-10.1
"05019","1","10","71","0","2016","3","","Clark County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,87,88,87,1199119,0,0,1056,"",3.06,0.50,0.49,0.48,0.51,0.00,0.00,1.03,"",0,0.0,1,1.2,9,11.4,3,3.6,100240,9.1,0,0.0,0,0.0,38,3.7
"05019","1","10","71","0","2016","4","","Clark County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,88,83,88,1129189,0,0,1006,"",3.11,0.49,0.46,0.48,0.51,0.00,0.00,1.08,"",0,0.0,7,8.6,-3,-3.5,0,0.0,-29200,-2.5,0,0.0,0,0.0,-42,-4.0
"05019","1","102","72","0","2016","1","","Clark County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,87,86,85,1103367,0,0,987,"",3.10,0.50,0.48,0.48,0.54,0.00,0.00,1.11,"",-1,-7.7,7,8.8,8,10.3,9,11.8,70065,6.8,0,0.0,0,0.0,-32,-3.1
"05019","1","102","72","0","2016","2","","Clark County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,84,80,87,976293,0,0,898,"",3.10,0.47,0.45,0.51,0.47,0.00,0.00,0.98,"",-1,-7.7,4,5.0,0,0.0,-2,-2.2,-101438,-9.4,0,0.0,0,0.0,-101,-10.1
