"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05039","0","10","70","0","2016","1","","Dallas County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",259,2852,2824,2886,20496416,14780452,450187,552,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.4,149,5.5,83,3.0,182,6.7,673863,3.4,865379,6.2,-63597,-12.4,-9,-1.6
"05039","0","10","70","0","2016","2","","Dallas County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",256,2832,2887,2855,21447956,8617697,219758,577,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-1.2,98,3.6,86,3.1,48,1.7,1141646,5.6,926837,12.1,-19444,-8.1,15,2.7
"05039","0","10","70","0","2016","3","","Dallas County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",254,2805,2821,2839,21429922,4327129,116591,584,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.9,93,3.4,64,2.3,49,1.8,1409394,7.0,398804,10.2,-11723,-9.1,25,4.5
"05039","0","10","70","0","2016","4","","Dallas County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",255,2810,2814,2829,22299730,2649345,70627,609,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.5,-10,-0.4,-21,-0.7,-8,-0.3,-265670,-1.2,-257833,-8.9,-22619,-24.3,-4,-0.7
"05039","1","10","71","0","2016","1","","Dallas County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,18,18,21,177023,0,0,717,"",4.29,0.32,0.32,0.37,0.30,0.00,0.00,0.90,"",0,0.0,-3,-14.3,-2,-10.0,2,10.5,-34042,-16.1,0,0.0,0,0.0,-95,-11.7
"05039","1","10","71","0","2016","2","","Dallas County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,18,20,20,175159,0,0,697,"",4.38,0.32,0.35,0.36,0.30,0.00,0.00,0.86,"",0,0.0,-1,-5.3,2,11.1,2,11.1,-4695,-2.6,0,0.0,0,0.0,-58,-7.7
"05039","1","10","71","0","2016","3","","Dallas County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,25,19,24,201994,0,0,686,"",4.46,0.45,0.34,0.43,0.30,0.00,0.00,0.75,"",0,0.0,8,47.1,-1,-5.0,-2,-7.7,-8366,-4.0,0,0.0,0,0.0,-85,-11.0
"05039","1","10","71","0","2016","4","","Dallas County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,21,21,23,212792,0,0,755,"",4.47,0.38,0.38,0.41,0.34,0.00,0.00,0.86,"",0,0.0,2,10.5,4,23.5,1,4.5,17849,9.2,0,0.0,0,0.0,-21,-2.7
"05039","1","102","72","0","2016","1","","Dallas County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,18,18,21,177023,0,0,717,"",4.30,0.32,0.33,0.38,0.31,0.00,0.00,0.90,"",0,0.0,-3,-14.3,-2,-10.0,2,10.5,-34042,-16.1,0,0.0,0,0.0,-95,-11.7
"05039","1","102","72","0","2016","2","","Dallas County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,18,20,20,175159,0,0,697,"",4.39,0.33,0.36,0.36,0.30,0.00,0.00,0.86,"",0,0.0,-1,-5.3,2,11.1,2,11.1,-4695,-2.6,0,0.0,0,0.0,-58,-7.7
