"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05091","0","10","70","0","2016","1","","Miller County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",881,12872,12865,12891,116867440,78467470,1243077,698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.0,-231,-1.8,-319,-2.4,-406,-3.1,2340470,2.0,829268,1.1,-340537,-21.5,30,4.5
"05091","0","10","70","0","2016","2","","Miller County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",886,13007,12959,13110,122120853,33418090,589955,721,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.0,-346,-2.6,-375,-2.8,-289,-2.2,-4705812,-3.7,-1249468,-3.6,-183578,-23.7,-9,-1.2
"05091","0","10","70","0","2016","3","","Miller County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",894,12955,12941,13098,125167084,19647749,384517,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,2.6,277,2.2,-84,-0.6,-354,-2.6,11173173,9.8,-1017788,-4.9,-110242,-22.3,69,10.3
"05091","0","10","70","0","2016","4","","Miller County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",906,12921,12869,12918,129103948,15576612,329147,770,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,2.3,-440,-3.3,-511,-3.8,-471,-3.5,-6516140,-4.8,-1764845,-10.2,-102740,-23.8,-10,-1.3
"05091","1","10","71","0","2016","1","","Miller County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,63,60,60,1106895,0,0,1396,"",2.52,0.25,0.24,0.24,0.33,0.00,0.00,1.39,"",0,0.0,-5,-7.4,-1,-1.6,0,0.0,-75393,-6.4,0,0.0,0,0.0,-48,-3.3
"05091","1","10","71","0","2016","2","","Miller County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,58,58,57,934677,0,0,1247,"",2.53,0.23,0.23,0.22,0.28,0.00,0.00,1.23,"",0,0.0,-5,-7.9,-6,-9.4,2,3.6,-15774,-1.7,0,0.0,0,0.0,42,3.5
"05091","1","10","71","0","2016","3","","Miller County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,55,56,52,967913,0,0,1370,"",2.53,0.21,0.22,0.20,0.25,0.00,0.00,1.18,"",0,0.0,-3,-5.2,-2,-3.4,-9,-14.8,-144049,-13.0,0,0.0,0,0.0,-80,-5.5
"05091","1","10","71","0","2016","4","","Miller County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,53,57,57,924389,0,0,1277,"",2.52,0.21,0.23,0.22,0.25,0.00,0.00,1.15,"",0,0.0,-3,-5.4,1,1.8,-5,-8.1,-240240,-20.6,0,0.0,0,0.0,-268,-17.3
"05091","1","102","72","0","2016","1","","Miller County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,63,60,60,1106895,0,0,1396,"",2.53,0.25,0.24,0.24,0.34,0.00,0.00,1.39,"",0,0.0,-5,-7.4,-1,-1.6,0,0.0,-75393,-6.4,0,0.0,0,0.0,-48,-3.3
"05091","1","102","72","0","2016","2","","Miller County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,58,58,57,934677,0,0,1247,"",2.54,0.23,0.23,0.23,0.28,0.00,0.00,1.23,"",0,0.0,-5,-7.9,-6,-9.4,2,3.6,-15774,-1.7,0,0.0,0,0.0,42,3.5
