"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05097","0","10","70","0","2016","1","","Montgomery County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",175,1282,1328,1352,8538342,4467806,122511,497,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-5.4,-64,-4.8,-37,-2.7,-23,-1.7,144558,1.7,52200,1.2,-27917,-18.6,23,4.9
"05097","0","10","70","0","2016","2","","Montgomery County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",176,1413,1445,1523,10193149,3592887,97570,537,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-5.4,-42,-2.9,-60,-4.0,-413,-21.3,-363067,-3.4,-527453,-12.8,-29018,-22.9,39,7.8
"05097","0","10","70","0","2016","3","","Montgomery County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",176,1360,1364,1420,8850440,2120615,59769,493,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-3.8,-83,-5.8,-13,-0.9,-8,-0.6,-559288,-5.9,-139979,-6.2,-18218,-23.4,-18,-3.5
"05097","0","10","70","0","2016","4","","Montgomery County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",176,1397,1363,1340,9465211,1095033,28404,533,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-3.3,7,0.5,18,1.3,29,2.2,257747,2.8,124764,12.9,-4395,-13.4,8,1.5
"05097","1","10","71","0","2016","1","","Montgomery County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,40,40,41,599291,0,0,1143,"",9.98,1.57,1.52,1.54,2.47,0.00,0.00,1.60,"",0,0.0,-7,-14.9,-9,-18.4,-6,-12.8,-92604,-13.4,0,0.0,0,0.0,26,2.3
"05097","1","10","71","0","2016","2","","Montgomery County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,42,41,49,517368,0,0,904,"",10.02,1.52,1.45,1.64,1.85,0.00,0.00,1.20,"",0,0.0,-6,-12.5,-6,-12.8,5,11.4,-10060,-1.9,0,0.0,0,0.0,28,3.2
"05097","1","10","71","0","2016","3","","Montgomery County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,47,44,45,635807,0,0,1079,"",10.11,1.74,1.63,1.61,2.32,0.00,0.00,1.40,"",0,0.0,-4,-7.8,-2,-4.3,1,2.3,-44893,-6.6,0,0.0,0,0.0,-35,-3.1
"05097","1","10","71","0","2016","4","","Montgomery County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,45,46,44,587098,0,0,1004,"",10.18,1.65,1.73,1.67,2.20,0.00,0.00,1.31,"",0,0.0,3,7.1,4,9.5,1,2.3,72495,14.1,0,0.0,0,0.0,69,7.4
"05097","1","102","72","0","2016","1","","Montgomery County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,40,40,41,599291,0,0,1143,"",10.00,1.60,1.55,1.56,2.51,0.00,0.00,1.60,"",0,0.0,-7,-14.9,-9,-18.4,-6,-12.8,-92604,-13.4,0,0.0,0,0.0,26,2.3
"05097","1","102","72","0","2016","2","","Montgomery County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,42,41,49,517368,0,0,904,"",10.04,1.55,1.48,1.67,1.88,0.00,0.00,1.20,"",0,0.0,-6,-12.5,-6,-12.8,5,11.4,-10060,-1.9,0,0.0,0,0.0,28,3.2
"05097","1","102","72","0","2016","3","","Montgomery County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,47,44,45,635807,0,0,1079,"",10.13,1.77,1.66,1.64,2.36,0.00,0.00,1.40,"",0,0.0,-4,-7.8,-2,-4.3,1,2.3,-44893,-6.6,0,0.0,0,0.0,-35,-3.1
"05097","1","102","72","0","2016","4","","Montgomery County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,45,46,44,587098,0,0,1004,"",10.20,1.68,1.76,1.70,2.24,0.00,0.00,1.31,"",0,0.0,3,7.1,4,9.5,1,2.3,72495,14.1,0,0.0,0,0.0,69,7.4
"05097","1","1021","73","0","2016","1","","Montgomery County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,7,7,7,60588,0,0,666,"",12.73,1.14,1.09,1.07,1.43,0.00,0.00,1.31,"",0,0.0,-3,-30.0,-5,-41.7,-5,-41.7,-38693,-39.0,0,0.0,0,0.0,-8,-1.2
"05097","1","1021","73","0","2016","2","","Montgomery County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,7,6,8,63257,0,0,695,"",12.76,1.04,0.87,1.10,1.24,0.00,0.00,1.23,"",0,0.0,-4,-36.4,-5,-45.5,-1,-11.1,-16743,-20.9,0,0.0,0,0.0,99,16.6
"05097","1","1021","73","0","2016","3","","Montgomery County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,7,9,9,83784,0,0,773,"",12.89,1.07,1.38,1.33,1.69,0.00,0.00,1.34,"",0,0.0,-4,-36.4,0,0.0,0,0.0,851,1.0,0,0.0,0,0.0,113,17.1
"05097","1","1021","73","0","2016","4","","Montgomery County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,8,8,8,79510,0,0,765,"",12.98,1.21,1.24,1.21,1.47,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,0,0.0,7007,9.7,0,0.0,0,0.0,68,9.8
