"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05149","0","10","70","0","2016","1","","Yell County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",422,6367,6458,6468,46079427,31002412,354988,551,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.2,-94,-1.5,60,0.9,84,1.3,2373167,5.4,1871300,6.4,-123507,-25.8,27,5.2
"05149","0","10","70","0","2016","2","","Yell County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",421,6531,6564,6521,50501065,17890412,208414,594,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,143,2.2,130,2.0,123,1.9,2512650,5.2,-66111,-0.4,-76890,-27.0,18,3.1
"05149","0","10","70","0","2016","3","","Yell County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",422,6037,6271,6507,46265725,7271417,115341,567,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.5,168,2.9,116,1.9,143,2.2,2501891,5.7,258909,3.7,-22276,-16.2,18,3.3
"05149","0","10","70","0","2016","4","","Yell County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",425,6489,6535,6530,51211394,5378559,86019,604,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,132,2.1,201,3.2,187,2.9,1164056,2.3,459580,9.3,-13901,-13.9,-3,-0.5
"05149","1","10","71","0","2016","1","","Yell County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,114,119,124,1769885,0,0,1144,"",7.15,0.90,0.93,0.97,1.35,0.00,0.00,1.45,"",0,0.0,0,0.0,7,6.2,9,7.8,-52312,-2.9,0,0.0,0,0.0,-89,-7.2
"05149","1","10","71","0","2016","2","","Yell County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,124,125,131,1565345,0,0,951,"",7.24,0.97,0.97,1.02,1.13,0.00,0.00,1.14,"",0,0.0,15,13.8,18,16.8,15,12.9,-23343,-1.5,0,0.0,0,0.0,-153,-13.9
"05149","1","10","71","0","2016","3","","Yell County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,125,121,119,1886378,0,0,1193,"",7.28,1.04,0.97,0.93,1.32,0.00,0.00,1.34,"",1,5.6,9,7.8,-4,-3.2,-2,-1.7,97273,5.4,0,0.0,0,0.0,52,4.6
"05149","1","10","71","0","2016","4","","Yell County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,113,117,117,1556213,0,0,1035,"",7.28,0.89,0.92,0.91,1.08,0.00,0.00,1.19,"",1,5.6,-3,-2.6,0,0.0,-6,-4.9,-141107,-8.3,0,0.0,0,0.0,-65,-5.9
"05149","1","102","72","0","2016","1","","Yell County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,114,119,124,1769885,0,0,1144,"",7.17,0.92,0.95,0.99,1.37,0.00,0.00,1.44,"",0,0.0,0,0.0,7,6.2,9,7.8,-52312,-2.9,0,0.0,0,0.0,-89,-7.2
"05149","1","102","72","0","2016","2","","Yell County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,124,125,131,1565345,0,0,951,"",7.25,0.99,0.99,1.04,1.15,0.00,0.00,1.14,"",0,0.0,15,13.8,18,16.8,15,12.9,-23343,-1.5,0,0.0,0,0.0,-153,-13.9
