"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06049","0","10","70","0","2016","1","","Modoc County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",350,2316,2330,2477,20758263,6752172,346602,673,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.8,112,5.1,113,5.1,123,5.2,1923302,10.2,690951,11.4,28811,9.1,31,4.8
"06049","0","10","70","0","2016","2","","Modoc County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",357,2648,2705,2864,24536045,3739160,197774,689,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.1,77,3.0,83,3.2,73,2.6,1686881,7.4,-61454,-1.6,-6248,-3.1,29,4.4
"06049","0","10","70","0","2016","3","","Modoc County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",354,2739,2748,2706,26746444,2699937,143824,753,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.8,71,2.7,81,3.0,56,2.1,1489072,5.9,94124,3.6,4404,3.2,23,3.2
"06049","0","10","70","0","2016","4","","Modoc County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",351,2758,2585,2433,24083159,1174784,58991,715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.6,74,2.8,145,5.9,123,5.3,1628703,7.3,-163823,-12.2,-8957,-13.2,18,2.6
"06049","1","10","71","0","2016","1","","Modoc County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,185,193,204,2836141,0,0,1125,"",9.53,4.02,4.18,4.17,4.80,0.00,0.00,1.16,"",0,0.0,-7,-3.6,1,0.5,-3,-1.4,-102041,-3.5,0,0.0,0,0.0,-22,-1.9
"06049","1","10","71","0","2016","2","","Modoc County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,202,235,275,2950570,0,0,956,"",9.43,3.90,4.44,4.88,4.38,0.00,0.00,0.99,"",0,0.0,-10,-4.7,-5,-2.1,-4,-1.4,-11537,-0.4,0,0.0,0,0.0,21,2.2
"06049","1","10","71","0","2016","3","","Modoc County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,286,291,286,5221807,0,0,1396,"",9.59,5.25,5.35,5.38,6.30,0.00,0.00,1.18,"",0,0.0,-4,-1.4,12,4.3,10,3.6,-487566,-8.5,0,0.0,0,0.0,-163,-10.5
"06049","1","10","71","0","2016","4","","Modoc County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,266,222,211,3217705,0,0,1062,"",9.74,4.94,4.41,4.40,4.74,0.00,0.00,1.03,"",0,0.0,17,6.8,1,0.5,11,5.5,359692,12.6,0,0.0,0,0.0,78,7.9
"06049","1","102","72","0","2016","1","","Modoc County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,185,193,204,2836141,0,0,1125,"",9.55,4.09,4.26,4.25,4.89,0.00,0.00,1.16,"",0,0.0,-7,-3.6,1,0.5,-3,-1.4,-102041,-3.5,0,0.0,0,0.0,-22,-1.9
"06049","1","102","72","0","2016","2","","Modoc County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,202,235,275,2950570,0,0,956,"",9.45,3.97,4.52,4.97,4.46,0.00,0.00,0.99,"",0,0.0,-10,-4.7,-5,-2.1,-4,-1.4,-11537,-0.4,0,0.0,0,0.0,21,2.2
"06049","1","102","72","0","2016","3","","Modoc County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,286,291,286,5221807,0,0,1396,"",9.61,5.35,5.45,5.48,6.42,0.00,0.00,1.18,"",0,0.0,-4,-1.4,12,4.3,10,3.6,-487566,-8.5,0,0.0,0,0.0,-163,-10.5
"06049","1","102","72","0","2016","4","","Modoc County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,266,222,211,3217705,0,0,1062,"",9.76,5.03,4.49,4.48,4.83,0.00,0.00,1.03,"",0,0.0,17,6.8,1,0.5,11,5.5,359692,12.6,0,0.0,0,0.0,78,7.9
"06049","1","1021","73","0","2016","1","","Modoc County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,21,21,25,161989,0,0,558,"",9.09,1.89,1.87,2.09,1.58,0.00,0.00,0.81,"",0,0.0,-1,-4.5,0,0.0,4,19.0,-17353,-9.7,0,0.0,0,0.0,-89,-13.8
"06049","1","1021","73","0","2016","2","","Modoc County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,23,26,25,170357,0,0,531,"",8.98,1.83,2.02,1.83,1.39,0.00,0.00,0.73,"",0,0.0,2,9.5,7,36.8,6,31.6,21121,14.2,0,0.0,0,0.0,-53,-9.1
"06049","1","1021","73","0","2016","3","","Modoc County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,25,25,24,190251,0,0,593,"",9.15,1.90,1.90,1.86,1.27,0.00,0.00,0.67,"",0,0.0,4,19.0,4,19.0,4,20.0,12010,6.7,0,0.0,0,0.0,-70,-10.6
"06049","1","1021","73","0","2016","4","","Modoc County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,24,24,21,197564,0,0,661,"",9.30,1.83,1.95,1.75,1.43,0.00,0.00,0.78,"",0,0.0,5,26.3,4,20.0,0,0.0,22370,12.8,0,0.0,0,0.0,-13,-1.9
"06049","1","1023","73","0","2016","1","","Modoc County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,65138,0,0,1670,"",34.25,13.42,13.52,12.85,14.71,0.00,0.00,1.11,"",0,0.0,0,0.0,0,0.0,0,0.0,-1766,-2.6,0,0.0,0,0.0,-45,-2.6
