"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06105","0","10","70","0","2016","1","","Trinity County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",393,2475,2534,2585,22214019,7275079,370368,675,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,4.5,8,0.3,56,2.3,123,5.0,1206953,5.7,166743,2.3,-8614,-2.3,21,3.2
"06105","0","10","70","0","2016","2","","Trinity County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",401,2642,2776,2909,24196464,3217753,158354,671,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,3.9,58,2.2,3,0.1,-21,-0.7,798046,3.4,247283,8.3,7958,5.3,19,2.9
"06105","0","10","70","0","2016","3","","Trinity County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",407,2718,2960,2841,27362109,2761583,137959,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,2.8,-33,-1.2,-25,-0.8,-89,-3.0,-380364,-1.4,100809,3.8,2960,2.2,2,0.3
"06105","0","10","70","0","2016","4","","Trinity County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",398,2753,2609,2533,25476749,1457390,69276,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.0,-33,-1.2,-91,-3.4,-103,-3.9,242977,1.0,-67664,-4.4,-7202,-9.4,28,3.9
"06105","1","10","71","0","2016","1","","Trinity County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,183,178,177,2352382,0,0,1009,"",6.47,3.72,3.55,3.47,3.72,0.00,0.00,1.04,"",0,0.0,0,0.0,-1,-0.6,2,1.1,-93693,-3.8,0,0.0,0,0.0,-42,-4.0
"06105","1","10","71","0","2016","2","","Trinity County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,198,270,296,2876320,0,0,869,"",6.40,3.83,4.97,5.17,4.33,0.00,0.00,0.92,"",0,0.0,2,1.0,17,6.7,13,4.6,60498,2.1,0,0.0,0,0.0,-19,-2.1
"06105","1","10","71","0","2016","3","","Trinity County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,292,296,282,5453282,0,0,1446,"",6.36,5.40,5.05,5.05,6.43,0.00,0.00,1.24,"",0,0.0,-3,-1.0,0,0.0,-11,-3.8,-1091074,-16.7,0,0.0,0,0.0,-262,-15.3
"06105","1","10","71","0","2016","4","","Trinity County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,279,220,182,3329126,0,0,1128,"",6.55,5.19,4.33,3.65,4.63,0.00,0.00,1.05,"",0,0.0,1,0.4,7,3.3,-16,-8.1,188589,6.0,0,0.0,0,0.0,76,7.2
"06105","1","102","72","0","2016","1","","Trinity County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,183,178,177,2352382,0,0,1009,"",6.48,3.79,3.61,3.53,3.79,0.00,0.00,1.04,"",0,0.0,0,0.0,-1,-0.6,2,1.1,-93693,-3.8,0,0.0,0,0.0,-42,-4.0
"06105","1","102","72","0","2016","2","","Trinity County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,198,270,296,2876320,0,0,869,"",6.41,3.90,5.06,5.27,4.41,0.00,0.00,0.92,"",0,0.0,2,1.0,17,6.7,13,4.6,60498,2.1,0,0.0,0,0.0,-19,-2.1
