"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06107","0","10","70","0","2016","1","","Tulare County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9721,153857,155353,153732,1414797364,629427906,31061107,705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",484,5.2,4954,3.3,5715,3.8,4680,3.1,82560351,6.2,34886197,5.9,450727,1.5,18,2.6
"06107","0","10","70","0","2016","2","","Tulare County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9843,165715,167801,165872,1529277782,286994600,14704285,707,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",518,5.6,6624,4.2,4514,2.8,5088,3.2,135480207,9.7,14791056,5.4,279570,1.9,41,6.2
"06107","0","10","70","0","2016","3","","Tulare County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9994,162969,162826,163241,1575358331,198217921,10065783,743,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",526,5.6,3005,1.9,4146,2.6,4508,2.8,153825062,10.8,9335144,4.9,17096,0.2,56,8.2
"06107","0","10","70","0","2016","4","","Tulare County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",9986,160365,160466,159737,1609446389,156861705,7842390,773,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",344,3.6,5931,3.8,3382,2.2,6790,4.4,72555610,4.7,15638188,11.1,449622,6.1,9,1.2
"06107","1","10","71","0","2016","1","","Tulare County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,894,890,889,12634150,0,0,1091,"",0.82,0.29,0.29,0.29,0.31,0.00,0.00,1.08,"",0,0.0,15,1.7,13,1.5,-7,-0.8,-673948,-5.1,0,0.0,0,0.0,-67,-5.8
"06107","1","10","71","0","2016","2","","Tulare County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,913,1053,1202,13273081,0,0,967,"",0.81,0.28,0.32,0.37,0.32,0.00,0.00,0.98,"",0,0.0,-11,-1.2,-25,-2.3,4,0.3,169168,1.3,0,0.0,0,0.0,22,2.3
"06107","1","10","71","0","2016","3","","Tulare County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,1244,1229,1201,19939473,0,0,1252,"",0.81,0.38,0.38,0.37,0.41,0.00,0.00,1.07,"",0,0.0,31,2.6,24,2.0,39,3.4,-35455,-0.2,0,0.0,0,0.0,-36,-2.8
"06107","1","10","71","0","2016","4","","Tulare County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",50,1097,985,973,14310701,0,0,1081,"",0.82,0.35,0.32,0.31,0.32,0.00,0.00,0.97,"",0,0.0,-13,-1.2,-9,-0.9,-24,-2.4,625534,4.6,0,0.0,0,0.0,63,6.2
"06107","1","102","72","0","2016","1","","Tulare County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,894,890,889,12634150,0,0,1091,"",0.82,0.30,0.29,0.30,0.32,0.00,0.00,1.08,"",0,0.0,15,1.7,13,1.5,-7,-0.8,-673948,-5.1,0,0.0,0,0.0,-67,-5.8
"06107","1","102","72","0","2016","2","","Tulare County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",50,913,1053,1202,13273081,0,0,967,"",0.82,0.29,0.33,0.38,0.32,0.00,0.00,0.98,"",0,0.0,-11,-1.2,-25,-2.3,4,0.3,169168,1.3,0,0.0,0,0.0,22,2.3
