"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08067","0","10","70","0","2016","1","","La Plata County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2531,25485,25259,25249,273584642,153759172,2614819,831,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",59,2.4,803,3.3,626,2.5,474,1.9,6198421,2.3,1028110,0.7,-227500,-8.0,-2,-0.2
"08067","0","10","70","0","2016","2","","La Plata County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2518,25705,25966,26873,274033354,88969508,1384060,805,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,0.7,597,2.4,461,1.8,560,2.1,6069248,2.3,4710642,5.6,-16352,-1.2,1,0.1
"08067","0","10","70","0","2016","3","","La Plata County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2558,27225,27151,26901,306125071,74656085,1032501,869,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,1.2,861,3.3,772,2.9,1040,4.0,20243877,7.1,5066946,7.3,90641,9.6,30,3.6
"08067","0","10","70","0","2016","4","","La Plata County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2559,26796,26381,26585,322961901,70526121,767745,934,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",47,1.9,1071,4.2,1092,4.3,1210,4.8,502985,0.2,-1459744,-2.0,-13368,-1.7,-40,-4.1
"08067","1","10","71","0","2016","1","","La Plata County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,300,288,304,4968472,0,0,1285,"",1.51,0.59,0.58,0.61,0.64,0.00,0.00,1.08,"",0,0.0,5,1.7,-9,-3.0,0,0.0,-212046,-4.1,0,0.0,0,0.0,-49,-3.7
"08067","1","10","71","0","2016","2","","La Plata County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,323,349,356,5002061,0,0,1123,"",1.53,0.64,0.69,0.67,0.67,0.00,0.00,1.00,"",0,0.0,-1,-0.3,1,0.3,1,0.3,-88524,-1.7,0,0.0,0,0.0,-21,-1.8
"08067","1","10","71","0","2016","3","","La Plata County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,362,356,352,6976909,0,0,1505,"",1.52,0.67,0.66,0.67,0.74,0.00,0.00,1.10,"",0,0.0,1,0.3,-13,-3.5,-2,-0.6,54330,0.8,0,0.0,0,0.0,31,2.1
"08067","1","10","71","0","2016","4","","La Plata County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,327,312,292,5189678,0,0,1286,"",1.53,0.63,0.61,0.56,0.57,0.00,0.00,0.96,"",0,0.0,-5,-1.5,2,0.6,-21,-6.7,194369,3.9,0,0.0,0,0.0,79,6.5
"08067","1","102","72","0","2016","1","","La Plata County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,300,288,304,4968472,0,0,1285,"",1.51,0.60,0.59,0.62,0.65,0.00,0.00,1.08,"",0,0.0,5,1.7,-9,-3.0,0,0.0,-212046,-4.1,0,0.0,0,0.0,-49,-3.7
"08067","1","102","72","0","2016","2","","La Plata County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,323,349,356,5002061,0,0,1123,"",1.53,0.65,0.70,0.69,0.68,0.00,0.00,1.00,"",0,0.0,-1,-0.3,1,0.3,1,0.3,-88524,-1.7,0,0.0,0,0.0,-21,-1.8
