"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08093","0","10","70","0","2016","1","","Park County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",535,2199,2213,2270,19058827,13136117,237661,658,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,5.5,115,5.5,109,5.2,152,7.2,1310044,7.4,1450944,12.4,6059,2.6,8,1.2
"08093","0","10","70","0","2016","2","","Park County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",537,2300,2427,2603,21107068,9888830,144412,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,4.9,85,3.8,133,5.8,85,3.4,1918771,10.0,884771,9.8,4100,2.9,35,5.6
"08093","0","10","70","0","2016","3","","Park County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",536,2692,2664,2576,24709530,9390267,120351,719,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,2.3,134,5.2,151,6.0,125,5.1,1573838,6.8,976956,11.6,7457,6.6,9,1.3
"08093","0","10","70","0","2016","4","","Park County, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",533,2512,2430,2381,23943536,7056507,83352,755,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,2.3,131,5.5,141,6.2,118,5.2,2032707,9.3,21135,0.3,-16930,-16.9,26,3.6
"08093","1","10","71","0","2016","1","","Park County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,42,43,42,575065,0,0,1045,"",2.97,0.96,0.98,0.94,1.06,0.00,0.00,1.11,"",0,0.0,-11,-20.8,-5,-10.4,-2,-4.5,-68108,-10.6,0,0.0,0,0.0,21,2.1
"08093","1","10","71","0","2016","2","","Park County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,44,52,56,596576,0,0,906,"",2.99,0.98,1.10,1.09,1.03,0.00,0.00,0.97,"",0,0.0,0,0.0,2,4.0,4,7.7,14455,2.5,0,0.0,0,0.0,-14,-1.5
"08093","1","10","71","0","2016","3","","Park County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,56,57,57,895710,0,0,1216,"",3.02,1.05,1.08,1.13,1.17,0.00,0.00,1.08,"",0,0.0,-5,-8.2,4,7.5,2,3.6,2600,0.3,0,0.0,0,0.0,-4,-0.3
"08093","1","10","71","0","2016","4","","Park County, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,52,50,45,666746,0,0,1047,"",3.06,1.06,1.06,0.96,0.99,0.00,0.00,0.96,"",0,0.0,0,0.0,5,11.1,-2,-4.3,20230,3.1,0,0.0,0,0.0,11,1.1
"08093","1","102","72","0","2016","1","","Park County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,42,43,42,575065,0,0,1045,"",2.98,0.98,1.00,0.95,1.08,0.00,0.00,1.10,"",0,0.0,-11,-20.8,-5,-10.4,-2,-4.5,-68108,-10.6,0,0.0,0,0.0,21,2.1
"08093","1","102","72","0","2016","2","","Park County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,44,52,56,596576,0,0,906,"",2.99,1.00,1.12,1.11,1.05,0.00,0.00,0.97,"",0,0.0,0,0.0,2,4.0,4,7.7,14455,2.5,0,0.0,0,0.0,-14,-1.5
"08093","1","102","72","0","2016","3","","Park County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,56,57,57,895710,0,0,1216,"",3.02,1.07,1.10,1.15,1.19,0.00,0.00,1.08,"",0,0.0,-5,-8.2,4,7.5,2,3.6,2600,0.3,0,0.0,0,0.0,-4,-0.3
"08093","1","102","72","0","2016","4","","Park County, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,52,50,45,666746,0,0,1047,"",3.06,1.08,1.08,0.98,1.01,0.00,0.00,0.96,"",0,0.0,0,0.0,5,11.1,-2,-4.3,20230,3.1,0,0.0,0,0.0,11,1.1
"08093","1","1021","73","0","2016","1","","Park County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,20,20,18,229754,0,0,914,"",4.16,1.89,1.87,1.64,2.44,0.00,0.00,1.35,"",0,0.0,-6,-23.1,-4,-16.7,-5,-21.7,-30779,-11.8,0,0.0,0,0.0,90,10.9
"08093","1","1021","73","0","2016","2","","Park County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,21,20,21,215489,0,0,802,"",4.18,1.92,1.73,1.69,2.05,0.00,0.00,1.15,"",0,0.0,-4,-16.0,-1,-4.8,0,0.0,-2178,-1.0,0,0.0,0,0.0,52,6.9
"08093","1","1021","73","0","2016","3","","Park County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,20,21,22,257907,0,0,945,"",4.23,1.55,1.64,1.79,1.87,0.00,0.00,1.13,"",0,0.0,-5,-20.0,2,10.5,2,10.0,11769,4.8,0,0.0,0,0.0,57,6.4
"08093","1","1021","73","0","2016","4","","Park County, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,21,19,20,258878,0,0,996,"",4.29,1.76,1.65,1.70,1.89,0.00,0.00,1.11,"",0,0.0,2,10.5,0,0.0,0,0.0,-2206,-0.8,0,0.0,0,0.0,-43,-4.1
"08093","1","1028","73","0","2016","1","","Park County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,22,23,24,345311,0,0,1155,"",2.18,0.92,0.96,0.99,1.02,0.00,0.00,1.06,"",0,0.0,-5,-18.5,-1,-4.2,3,14.3,-37329,-9.8,0,0.0,0,0.0,-71,-5.8
"08093","1","1028","73","0","2016","2","","Park County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,23,32,35,381087,0,0,977,"",2.20,0.94,1.24,1.25,1.07,0.00,0.00,0.93,"",0,0.0,4,21.1,3,10.3,4,12.9,16633,4.6,0,0.0,0,0.0,-88,-8.3
"08093","1","1028","73","0","2016","3","","Park County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,36,36,35,637803,0,0,1376,"",2.22,1.23,1.25,1.27,1.36,0.00,0.00,1.08,"",0,0.0,0,0.0,2,5.9,0,0.0,-9169,-1.4,0,0.0,0,0.0,-46,-3.2
"08093","1","1028","73","0","2016","4","","Park County, Colorado","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,31,31,25,407868,0,0,1082,"",2.25,1.16,1.21,0.99,1.02,0.00,0.00,0.91,"",0,0.0,-2,-6.1,5,19.2,-2,-7.4,22436,5.8,0,0.0,0,0.0,48,4.6
"08093","1","48-49","74","0","2016","1","","Park County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,20,20,18,229754,0,0,914,"",4.28,2.08,2.05,1.80,2.63,0.00,0.00,1.33,"",0,0.0,-6,-23.1,-4,-16.7,-5,-21.7,-30779,-11.8,0,0.0,0,0.0,90,10.9
"08093","1","48-49","74","0","2016","2","","Park County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,21,20,21,215489,0,0,802,"",4.30,2.10,1.89,1.85,2.21,0.00,0.00,1.13,"",0,0.0,-4,-16.0,-1,-4.8,0,0.0,-2178,-1.0,0,0.0,0,0.0,52,6.9
"08093","1","48-49","74","0","2016","3","","Park County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,20,21,22,257907,0,0,945,"",4.35,1.70,1.80,1.96,2.00,0.00,0.00,1.10,"",0,0.0,-5,-20.0,2,10.5,2,10.0,11769,4.8,0,0.0,0,0.0,57,6.4
"08093","1","48-49","74","0","2016","4","","Park County, Colorado","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,21,19,20,258878,0,0,996,"",4.41,1.93,1.80,1.86,2.04,0.00,0.00,1.10,"",0,0.0,2,10.5,0,0.0,0,0.0,-2206,-0.8,0,0.0,0,0.0,-43,-4.1
"08093","1","491","75","0","2016","1","","Park County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,20,20,18,229754,0,0,914,"",4.32,2.12,2.09,1.84,2.76,0.00,0.00,1.37,"",0,0.0,-6,-23.1,-4,-16.7,-5,-21.7,-30779,-11.8,0,0.0,0,0.0,90,10.9
"08093","1","491","75","0","2016","2","","Park County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,21,20,21,215489,0,0,802,"",4.33,2.15,1.93,1.89,2.31,0.00,0.00,1.16,"",0,0.0,-4,-16.0,-1,-4.8,0,0.0,-2178,-1.0,0,0.0,0,0.0,52,6.9
"08093","1","491","75","0","2016","3","","Park County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,20,21,22,257907,0,0,945,"",4.39,1.73,1.84,2.00,2.09,0.00,0.00,1.13,"",0,0.0,-5,-20.0,2,10.5,2,10.0,11769,4.8,0,0.0,0,0.0,57,6.4
"08093","1","491","75","0","2016","4","","Park County, Colorado","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,21,19,20,258878,0,0,996,"",4.44,1.97,1.84,1.89,2.11,0.00,0.00,1.11,"",0,0.0,2,10.5,0,0.0,0,0.0,-2206,-0.8,0,0.0,0,0.0,-43,-4.1
"08093","1","4911","76","0","2016","1","","Park County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,20,20,18,229754,0,0,914,"",4.32,2.12,2.09,1.84,2.76,0.00,0.00,1.37,"",0,0.0,-6,-23.1,-4,-16.7,-5,-21.7,-30779,-11.8,0,0.0,0,0.0,90,10.9
"08093","1","4911","76","0","2016","2","","Park County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,21,20,21,215489,0,0,802,"",4.33,2.15,1.93,1.89,2.31,0.00,0.00,1.16,"",0,0.0,-4,-16.0,-1,-4.8,0,0.0,-2178,-1.0,0,0.0,0,0.0,52,6.9
"08093","1","4911","76","0","2016","3","","Park County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,20,21,22,257907,0,0,945,"",4.39,1.73,1.84,2.00,2.09,0.00,0.00,1.13,"",0,0.0,-5,-20.0,2,10.5,2,10.0,11769,4.8,0,0.0,0,0.0,57,6.4
"08093","1","4911","76","0","2016","4","","Park County, Colorado","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,21,19,20,258878,0,0,996,"",4.44,1.97,1.84,1.89,2.11,0.00,0.00,1.11,"",0,0.0,2,10.5,0,0.0,0,0.0,-2206,-0.8,0,0.0,0,0.0,-43,-4.1
"08093","1","49111","77","0","2016","1","","Park County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,20,20,18,229754,0,0,914,"",4.32,2.12,2.09,1.84,2.76,0.00,0.00,1.37,"",0,0.0,-6,-23.1,-4,-16.7,-5,-21.7,-30779,-11.8,0,0.0,0,0.0,90,10.9
"08093","1","49111","77","0","2016","2","","Park County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,21,20,21,215489,0,0,802,"",4.33,2.15,1.93,1.89,2.31,0.00,0.00,1.16,"",0,0.0,-4,-16.0,-1,-4.8,0,0.0,-2178,-1.0,0,0.0,0,0.0,52,6.9
"08093","1","49111","77","0","2016","3","","Park County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,20,21,22,257907,0,0,945,"",4.39,1.73,1.84,2.00,2.09,0.00,0.00,1.13,"",0,0.0,-5,-20.0,2,10.5,2,10.0,11769,4.8,0,0.0,0,0.0,57,6.4
"08093","1","49111","77","0","2016","4","","Park County, Colorado","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,21,19,20,258878,0,0,996,"",4.44,1.97,1.84,1.89,2.11,0.00,0.00,1.11,"",0,0.0,2,10.5,0,0.0,0,0.0,-2206,-0.8,0,0.0,0,0.0,-43,-4.1
"08093","1","491110","78","0","2016","1","","Park County, Colorado","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,20,20,18,229754,0,0,914,"",4.32,2.12,2.09,1.84,2.76,0.00,0.00,1.37,"",0,0.0,-6,-23.1,-4,-16.7,-5,-21.7,-30779,-11.8,0,0.0,0,0.0,90,10.9
"08093","1","491110","78","0","2016","2","","Park County, Colorado","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,21,20,21,215489,0,0,802,"",4.33,2.15,1.93,1.89,2.31,0.00,0.00,1.16,"",0,0.0,-4,-16.0,-1,-4.8,0,0.0,-2178,-1.0,0,0.0,0,0.0,52,6.9
"08093","1","491110","78","0","2016","3","","Park County, Colorado","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,20,21,22,257907,0,0,945,"",4.39,1.73,1.84,2.00,2.09,0.00,0.00,1.13,"",0,0.0,-5,-20.0,2,10.5,2,10.0,11769,4.8,0,0.0,0,0.0,57,6.4
"08093","1","491110","78","0","2016","4","","Park County, Colorado","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,21,19,20,258878,0,0,996,"",4.44,1.97,1.84,1.89,2.11,0.00,0.00,1.11,"",0,0.0,2,10.5,0,0.0,0,0.0,-2206,-0.8,0,0.0,0,0.0,-43,-4.1
"08093","1","92","74","0","2016","1","","Park County, Colorado","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,22,23,24,345311,0,0,1155,"",2.18,0.92,0.96,0.99,1.02,0.00,0.00,1.06,"",0,0.0,-5,-18.5,-1,-4.2,3,14.3,-37329,-9.8,0,0.0,0,0.0,-71,-5.8
"08093","1","92","74","0","2016","2","","Park County, Colorado","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,23,32,35,381087,0,0,977,"",2.20,0.94,1.24,1.25,1.07,0.00,0.00,0.93,"",0,0.0,4,21.1,3,10.3,4,12.9,16633,4.6,0,0.0,0,0.0,-88,-8.3
"08093","1","92","74","0","2016","3","","Park County, Colorado","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,36,36,35,637803,0,0,1376,"",2.22,1.23,1.25,1.27,1.36,0.00,0.00,1.08,"",0,0.0,0,0.0,2,5.9,0,0.0,-9169,-1.4,0,0.0,0,0.0,-46,-3.2
"08093","1","92","74","0","2016","4","","Park County, Colorado","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,31,31,25,407868,0,0,1082,"",2.25,1.16,1.21,0.99,1.02,0.00,0.00,0.91,"",0,0.0,-2,-6.1,5,19.2,-2,-7.4,22436,5.8,0,0.0,0,0.0,48,4.6
"08093","1","921","75","0","2016","1","","Park County, Colorado","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,79,0,0,0,"",8.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22095,-99.6,0,0.0,0,0.0,-1706,-100.0
"08093","1","921","75","0","2016","2","","Park County, Colorado","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",8.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-19061,-100.0,0,0.0,0,0.0,-1466,-100.0
"08093","1","921","75","0","2016","3","","Park County, Colorado","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",8.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22238,-100.0,0,0.0,0,0.0,-1711,-100.0
"08093","1","921","75","0","2016","4","","Park County, Colorado","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",8.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-20736,-100.0,0,0.0,0,0.0,-1595,-100.0
"08093","1","9211","76","0","2016","1","","Park County, Colorado","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,79,0,0,0,"",8.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22095,-99.6,0,0.0,0,0.0,-1706,-100.0
"08093","1","9211","76","0","2016","2","","Park County, Colorado","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",8.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-19061,-100.0,0,0.0,0,0.0,-1466,-100.0
"08093","1","9211","76","0","2016","3","","Park County, Colorado","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",8.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22238,-100.0,0,0.0,0,0.0,-1711,-100.0
"08093","1","9211","76","0","2016","4","","Park County, Colorado","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",8.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-20736,-100.0,0,0.0,0,0.0,-1595,-100.0
"08093","1","92119","77","0","2016","1","","Park County, Colorado","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,79,0,0,0,"",12.09,0.00,0.00,0.00,0.01,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22095,-99.6,0,0.0,0,0.0,-1706,-100.0
"08093","1","92119","77","0","2016","2","","Park County, Colorado","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",11.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-19061,-100.0,0,0.0,0,0.0,-1466,-100.0
"08093","1","92119","77","0","2016","3","","Park County, Colorado","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",11.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22238,-100.0,0,0.0,0,0.0,-1711,-100.0
"08093","1","92119","77","0","2016","4","","Park County, Colorado","Federal Government","NAICS 92119 Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",11.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-20736,-100.0,0,0.0,0,0.0,-1595,-100.0
"08093","1","921190","78","0","2016","1","","Park County, Colorado","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,79,0,0,0,"",12.09,0.00,0.00,0.00,0.01,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22095,-99.6,0,0.0,0,0.0,-1706,-100.0
"08093","1","921190","78","0","2016","2","","Park County, Colorado","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",11.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-19061,-100.0,0,0.0,0,0.0,-1466,-100.0
"08093","1","921190","78","0","2016","3","","Park County, Colorado","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",11.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-22238,-100.0,0,0.0,0,0.0,-1711,-100.0
"08093","1","921190","78","0","2016","4","","Park County, Colorado","Federal Government","NAICS 921190 Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",11.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-20736,-100.0,0,0.0,0,0.0,-1595,-100.0
"08093","1","924","75","0","2016","1","","Park County, Colorado","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,22,23,24,345232,0,0,1155,"",6.44,15.00,15.87,16.06,17.25,0.00,0.00,1.10,"",0,0.0,-4,-15.4,0,0.0,4,20.0,-15234,-4.2,0,0.0,0,0.0,-51,-4.2
"08093","1","924","75","0","2016","2","","Park County, Colorado","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,23,32,35,381087,0,0,977,"",6.47,14.84,18.94,17.93,18.33,0.00,0.00,1.05,"",0,0.0,5,27.8,4,14.3,5,16.7,35694,10.3,0,0.0,0,0.0,-72,-6.9
"08093","1","924","75","0","2016","3","","Park County, Colorado","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,36,36,35,637803,0,0,1376,"",6.55,17.49,17.90,18.53,20.76,0.00,0.00,1.16,"",0,0.0,1,2.9,3,9.1,1,2.9,13069,2.1,0,0.0,0,0.0,-37,-2.6
"08093","1","924","75","0","2016","4","","Park County, Colorado","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,31,31,25,407868,0,0,1082,"",6.66,17.55,18.83,15.69,18.37,0.00,0.00,1.06,"",0,0.0,-1,-3.1,6,24.0,-1,-3.8,43172,11.8,0,0.0,0,0.0,68,6.7
