"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"08999","0","10","70","0","2016","1","","Unknown Or Undefined, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2404,18492,18701,18750,408452056,200630889,6946512,1685,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1219,-33.6,-1573,-7.8,-1890,-9.2,-1932,-9.3,-30402209,-6.9,-7974511,-3.8,135062,2.0,34,2.1
"08999","0","10","70","0","2016","2","","Unknown Or Undefined, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2463,19039,19325,19565,395013164,58174136,1699456,1574,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-509,-17.1,-415,-2.1,-405,-2.1,-497,-2.5,8543540,2.2,-892287,-1.5,-64928,-3.7,69,4.6
"08999","0","10","70","0","2016","3","","Unknown Or Undefined, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2527,19509,19865,20032,403650971,44753278,1474403,1568,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-211,-7.7,306,1.6,315,1.6,240,1.2,4774629,1.2,1721927,4.0,151694,11.5,-4,-0.3
"08999","0","10","70","0","2016","4","","Unknown Or Undefined, Colorado","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2072,19866,20071,19894,431025772,40144642,1368523,1662,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-815,-28.2,522,2.7,315,1.6,267,1.4,4902571,1.2,-2710475,-6.3,23651,1.8,-12,-0.7
"08999","1","10","71","0","2016","1","","Unknown Or Undefined, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,218,218,239,5852500,0,0,2001,"",3.57,0.59,0.59,0.65,0.50,0.00,0.00,0.83,"",0,0.0,-2,-0.9,-30,-12.1,-16,-6.3,439354,8.1,0,0.0,0,0.0,273,15.8
"08999","1","10","71","0","2016","2","","Unknown Or Undefined, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",56,238,242,256,5750685,0,0,1803,"",3.65,0.64,0.64,0.67,0.53,0.00,0.00,0.82,"",0,0.0,-4,-1.7,13,5.7,29,12.8,790501,15.9,0,0.0,0,0.0,163,9.9
"08999","1","10","71","0","2016","3","","Unknown Or Undefined, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,257,263,271,7060798,0,0,2060,"",3.52,0.66,0.67,0.69,0.56,0.00,0.00,0.84,"",1,1.9,21,8.9,36,15.9,38,16.3,1065329,17.8,0,0.0,0,0.0,72,3.6
"08999","1","10","71","0","2016","4","","Unknown Or Undefined, Colorado","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,293,273,270,6788813,0,0,1874,"",4.24,0.76,0.70,0.69,0.56,0.00,0.00,0.78,"",0,0.0,57,24.2,41,17.7,22,8.9,864804,14.6,0,0.0,0,0.0,-35,-1.8
"08999","1","101","72","0","2016","1","-","Unknown Or Undefined, Colorado","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","101","72","0","2016","2","","Unknown Or Undefined, Colorado","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,9898,0,0,761,"",32.47,0.15,0.15,0.14,0.05,0.00,0.00,0.35,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","101","72","0","2016","3","","Unknown Or Undefined, Colorado","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,11547,0,0,888,"",31.92,0.14,0.14,0.14,0.05,0.00,0.00,0.36,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","101","72","0","2016","4","","Unknown Or Undefined, Colorado","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,1,1,1,10392,0,0,799,"",39.20,0.14,0.14,0.14,0.05,0.00,0.00,0.33,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","1013","73","0","2016","1","-","Unknown Or Undefined, Colorado","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","1013","73","0","2016","2","","Unknown Or Undefined, Colorado","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,9898,0,0,761,"",87.32,0.16,0.16,0.16,0.05,0.00,0.00,0.34,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","1013","73","0","2016","3","","Unknown Or Undefined, Colorado","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,11547,0,0,888,"",83.95,0.15,0.15,0.15,0.05,0.00,0.00,0.35,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","1013","73","0","2016","4","","Unknown Or Undefined, Colorado","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,10392,0,0,799,"",103.12,0.15,0.15,0.15,0.05,0.00,0.00,0.32,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08999","1","102","72","0","2016","1","","Unknown Or Undefined, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,218,218,239,5852500,0,0,2001,"",3.58,0.60,0.60,0.66,0.51,0.00,0.00,0.83,"",0,0.0,-2,-0.9,-30,-12.1,-16,-6.3,439354,8.1,0,0.0,0,0.0,273,15.8
"08999","1","102","72","0","2016","2","","Unknown Or Undefined, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,237,241,255,5740787,0,0,1807,"",3.59,0.65,0.65,0.67,0.54,0.00,0.00,0.82,"",-1,-1.8,-5,-2.1,12,5.2,28,12.3,780603,15.7,0,0.0,0,0.0,167,10.2
"08999","1","102","72","0","2016","3","","Unknown Or Undefined, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,256,262,270,7049251,0,0,2064,"",3.46,0.67,0.68,0.70,0.57,0.00,0.00,0.84,"",0,0.0,20,8.5,35,15.4,37,15.9,1053782,17.6,0,0.0,0,0.0,76,3.8
"08999","1","102","72","0","2016","4","","Unknown Or Undefined, Colorado","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",53,292,272,269,6778421,0,0,1878,"",4.17,0.77,0.71,0.70,0.57,0.00,0.00,0.78,"",-1,-1.9,56,23.7,40,17.2,21,8.5,854412,14.4,0,0.0,0,0.0,-31,-1.6
"08999","1","1021","73","0","2016","1","","Unknown Or Undefined, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,46,44,44,1288675,0,0,2219,"",0.13,0.52,0.49,0.49,0.64,0.00,0.00,1.28,"",0,0.0,-2,-4.2,-4,-8.3,-5,-10.2,-158677,-11.0,0,0.0,0,0.0,-84,-3.6
"08999","1","1021","73","0","2016","2","","Unknown Or Undefined, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,44,47,45,1312822,0,0,2228,"",0.13,0.49,0.51,0.48,0.67,0.00,0.00,1.35,"",0,0.0,2,4.8,5,11.9,2,4.7,95383,7.8,0,0.0,0,0.0,16,0.7
"08999","1","1021","73","0","2016","3","","Unknown Or Undefined, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,45,45,47,1503798,0,0,2533,"",0.13,0.48,0.47,0.49,0.67,0.00,0.00,1.38,"",0,0.0,3,7.1,1,2.3,1,2.2,63277,4.4,0,0.0,0,0.0,15,0.6
"08999","1","1021","73","0","2016","4","","Unknown Or Undefined, Colorado","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,47,48,48,1536385,0,0,2479,"",0.16,0.50,0.50,0.49,0.62,0.00,0.00,1.25,"",0,0.0,2,4.4,6,14.3,5,11.6,91413,6.3,0,0.0,0,0.0,-86,-3.4
"08999","1","1024","73","0","2016","1","","Unknown Or Undefined, Colorado","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,5,133252,0,0,2050,"",8.12,0.59,0.59,0.59,0.43,0.00,0.00,0.74,"",0,0.0,0,0.0,0,0.0,-1,-16.7,15544,13.2,0,0.0,0,0.0,352,20.7
"08999","1","1024","73","0","2016","2","","Unknown Or Undefined, Colorado","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,6,130542,0,0,1883,"",7.98,0.58,0.57,0.67,0.47,0.00,0.00,0.78,"",0,0.0,0,0.0,0,0.0,0,0.0,5413,4.3,0,0.0,0,0.0,78,4.3
"08999","1","1024","73","0","2016","3","","Unknown Or Undefined, Colorado","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,8,159076,0,0,1835,"",7.86,0.66,0.65,0.87,0.50,0.00,0.00,0.68,"",0,0.0,1,20.0,1,20.0,3,60.0,26248,19.8,0,0.0,0,0.0,-209,-10.2
"08999","1","1024","73","0","2016","4","","Unknown Or Undefined, Colorado","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,9,8,7,155976,0,0,1500,"",6.42,1.00,0.88,0.78,0.53,0.00,0.00,0.60,"",-1,-33.3,4,80.0,3,60.0,2,40.0,30531,24.3,0,0.0,0,0.0,-430,-22.3
"08999","1","1025","73","0","2016","1","","Unknown Or Undefined, Colorado","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,88649,0,0,2273,"",5.89,0.06,0.06,0.06,0.06,0.00,0.00,1.02,"",0,0.0,-2,-40.0,-1,-25.0,-2,-40.0,607,0.7,0,0.0,0,0.0,822,56.7
"08999","1","1025","73","0","2016","2","","Unknown Or Undefined, Colorado","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,76428,0,0,1960,"",5.77,0.06,0.05,0.05,0.05,0.00,0.00,0.92,"",0,0.0,-2,-40.0,-2,-40.0,-2,-40.0,-40694,-34.7,0,0.0,0,0.0,158,8.8
"08999","1","1025","73","0","2016","3","","Unknown Or Undefined, Colorado","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,89950,0,0,2306,"",5.63,0.05,0.05,0.05,0.05,0.00,0.00,0.96,"",0,0.0,0,0.0,0,0.0,0,0.0,4685,5.5,0,0.0,0,0.0,120,5.5
"08999","1","1025","73","0","2016","4","","Unknown Or Undefined, Colorado","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,76828,0,0,1970,"",6.88,0.05,0.05,0.05,0.04,0.00,0.00,0.82,"",0,0.0,0,0.0,0,0.0,0,0.0,-10471,-12.0,0,0.0,0,0.0,-268,-12.0
"08999","1","1026","73","0","2016","1","","Unknown Or Undefined, Colorado","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,27853,0,0,2143,"",2.54,0.16,0.16,0.16,0.23,0.00,0.00,1.45,"",0,0.0,-1,-50.0,-1,-50.0,-2,-66.7,-40277,-59.1,0,0.0,0,0.0,-103,-4.6
