"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"09000","0","10","50","0","2016","1","","Connecticut -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",116220,1639851,1638749,1649941,29096640722,11644171779,430523853,1362,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1740,1.5,3747,0.2,7499,0.5,9653,0.6,-288582877,-1.0,268130046,2.4,-1930918,-0.4,-20,-1.4
"09000","0","10","50","0","2016","2","","Connecticut -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",116871,1663444,1681637,1690195,26422492366,4321923741,164673738,1211,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1532,1.3,4551,0.3,1291,0.1,-1477,-0.1,744968308,2.9,73071226,1.7,-2837342,-1.7,33,2.8
"09000","0","10","50","0","2016","3","","Connecticut -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",116799,1659793,1651060,1674045,26058048935,2622527841,98138763,1206,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",416,0.4,8070,0.5,6476,0.4,5216,0.3,1372072179,5.6,53971121,2.1,-2225840,-2.2,59,5.1
"09000","0","10","50","0","2016","4","","Connecticut -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",117331,1678840,1685789,1685307,28198203680,1978124266,73321229,1289,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1085,0.9,-460,0.0,158,0.0,30,0.0,-1018590964,-3.5,-105940403,-5.1,-7566636,-9.4,-46,-3.4
"09000","1","10","51","0","2016","1","","Connecticut -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",549,17622,17706,17747,313990337,0,0,1365,"",0.75,0.54,0.55,0.54,0.38,0.00,0.00,0.70,"",2,0.4,-116,-0.7,-24,-0.1,57,0.3,-37920469,-10.8,0,0.0,0,0.0,-163,-10.7
"09000","1","10","51","0","2016","2","","Connecticut -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",545,17675,17749,17814,297218430,0,0,1288,"",0.75,0.54,0.54,0.54,0.41,0.00,0.00,0.76,"",1,0.2,-240,-1.3,107,0.6,180,1.0,1130749,0.4,0,0.0,0,0.0,3,0.2
"09000","1","10","51","0","2016","3","","Connecticut -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",544,17735,17819,17942,348790494,0,0,1505,"",0.75,0.54,0.55,0.55,0.43,0.00,0.00,0.80,"",-1,-0.2,23,0.1,214,1.2,326,1.9,6759002,2.0,0,0.0,0,0.0,14,0.9
"09000","1","10","51","0","2016","4","","Connecticut -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",543,17848,17996,18444,346743886,0,0,1474,"",0.75,0.54,0.55,0.56,0.44,0.00,0.00,0.79,"",-6,-1.1,210,1.2,307,1.7,429,2.4,23428322,7.2,0,0.0,0,0.0,75,5.4
"09000","1","101","52","0","2016","1","","Connecticut -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,301,298,298,6578206,0,0,1692,"",1.35,0.53,0.52,0.52,0.46,0.00,0.00,0.89,"",0,0.0,42,16.2,40,15.5,39,15.1,-81803,-1.2,0,0.0,0,0.0,-289,-14.6
"09000","1","101","52","0","2016","2","","Connecticut -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,298,285,284,6468183,0,0,1722,"",1.37,0.52,0.49,0.47,0.50,0.00,0.00,1.02,"",0,0.0,40,15.5,25,9.6,29,11.4,726525,12.7,0,0.0,0,0.0,8,0.5
"09000","1","101","52","0","2016","3","","Connecticut -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,282,279,277,7621505,0,0,2099,"",1.38,0.47,0.47,0.47,0.51,0.00,0.00,1.09,"",0,0.0,21,8.0,14,5.3,-3,-1.1,603846,8.6,0,0.0,0,0.0,90,4.5
"09000","1","101","52","0","2016","4","","Connecticut -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",2,274,281,294,7495728,0,0,2037,"",1.38,0.46,0.47,0.50,0.52,0.00,0.00,1.08,"",0,0.0,-14,-4.9,-9,-3.1,0,0.0,1136636,17.9,0,0.0,0,0.0,354,21.0
"09000","1","1013","53","0","2016","1","","Connecticut -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,301,298,298,6578206,0,0,1692,"",3.76,0.55,0.55,0.55,0.49,0.00,0.00,0.88,"",0,0.0,42,16.2,40,15.5,39,15.1,-81803,-1.2,0,0.0,0,0.0,-289,-14.6
"09000","1","1013","53","0","2016","2","","Connecticut -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,298,285,284,6468183,0,0,1722,"",3.68,0.55,0.52,0.52,0.53,0.00,0.00,1.00,"",0,0.0,40,15.5,25,9.6,29,11.4,726525,12.7,0,0.0,0,0.0,8,0.5
"09000","1","1013","53","0","2016","3","","Connecticut -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,282,279,277,7621505,0,0,2099,"",3.63,0.51,0.51,0.50,0.55,0.00,0.00,1.08,"",0,0.0,21,8.0,14,5.3,-3,-1.1,603846,8.6,0,0.0,0,0.0,90,4.5
"09000","1","1013","53","0","2016","4","","Connecticut -- Statewide","Federal Government","1013 Manufacturing","State, by Supersector -- by ownership sector","All establishment sizes",2,274,281,294,7495728,0,0,2037,"",3.64,0.50,0.51,0.53,0.54,0.00,0.00,1.06,"",0,0.0,-14,-4.9,-9,-3.1,0,0.0,1136636,17.9,0,0.0,0,0.0,354,21.0
