"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12023","0","10","70","0","2016","1","","Columbia County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1462,24164,24304,24534,206748082,93309659,1174742,654,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-28,-1.9,1397,6.1,1360,5.9,1321,5.7,6367583,3.2,10103169,12.1,-409869,-25.9,-17,-2.5
"12023","0","10","70","0","2016","2","","Columbia County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1484,24809,24674,24576,220041907,34244152,439432,686,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,1.2,1560,6.7,1086,4.6,825,3.5,15602730,7.6,2793917,8.9,-126250,-22.3,18,2.7
"12023","0","10","70","0","2016","3","","Columbia County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1503,23640,24543,24724,222927958,21894991,298820,706,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",57,3.9,1077,4.8,789,3.3,877,3.7,17440802,8.5,1696596,8.4,-66330,-18.2,30,4.4
"12023","0","10","70","0","2016","4","","Columbia County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1520,24832,25007,24930,226655415,18296744,242320,700,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",55,3.8,569,2.3,593,2.4,235,1.0,-3199391,-1.4,-2929420,-13.8,-143753,-37.2,-23,-3.2
"12023","1","10","71","0","2016","1","","Columbia County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,1289,1294,1281,20334466,0,0,1214,"",1.20,2.69,2.69,2.64,3.46,0.00,0.00,1.29,"",-1,-8.3,-36,-2.7,-40,-3.0,-54,-4.0,-4062741,-16.7,0,0.0,0,0.0,-196,-13.9
"12023","1","10","71","0","2016","2","","Columbia County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,1276,1272,1271,20056917,0,0,1212,"",1.19,2.63,2.64,2.63,3.32,0.00,0.00,1.26,"",0,0.0,-53,-4.0,-73,-5.4,-74,-5.5,-550214,-2.7,0,0.0,0,0.0,29,2.5
"12023","1","10","71","0","2016","3","","Columbia County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,1262,1250,1247,22768310,0,0,1398,"",1.18,2.68,2.57,2.57,3.29,0.00,0.00,1.26,"",0,0.0,-82,-6.1,-87,-6.5,-91,-6.8,-1125433,-4.7,0,0.0,0,0.0,26,1.9
"12023","1","10","71","0","2016","4","","Columbia County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,1247,1254,1265,20169918,0,0,1236,"",1.18,2.57,2.57,2.57,3.16,0.00,0.00,1.23,"",0,0.0,-92,-6.9,-101,-7.5,-87,-6.4,855550,4.4,0,0.0,0,0.0,134,12.2
"12023","1","102","72","0","2016","1","","Columbia County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,1289,1294,1281,20334466,0,0,1214,"",1.20,2.73,2.74,2.69,3.52,0.00,0.00,1.29,"",-1,-8.3,-36,-2.7,-40,-3.0,-54,-4.0,-4062741,-16.7,0,0.0,0,0.0,-196,-13.9
"12023","1","102","72","0","2016","2","","Columbia County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,1276,1272,1271,20056917,0,0,1212,"",1.19,2.68,2.68,2.68,3.38,0.00,0.00,1.26,"",0,0.0,-53,-4.0,-73,-5.4,-74,-5.5,-550214,-2.7,0,0.0,0,0.0,29,2.5
"12023","1","102","72","0","2016","3","","Columbia County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,1262,1250,1247,22768310,0,0,1398,"",1.19,2.73,2.62,2.61,3.36,0.00,0.00,1.26,"",0,0.0,-82,-6.1,-87,-6.5,-91,-6.8,-1125433,-4.7,0,0.0,0,0.0,26,1.9
"12023","1","102","72","0","2016","4","","Columbia County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,1247,1254,1265,20169918,0,0,1236,"",1.18,2.62,2.62,2.62,3.21,0.00,0.00,1.23,"",0,0.0,-92,-6.9,-101,-7.5,-87,-6.4,855550,4.4,0,0.0,0,0.0,134,12.2
"12023","1","1021","73","0","2016","1","","Columbia County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,83,86,88,972205,0,0,873,"",0.44,0.71,0.73,0.74,0.95,0.00,0.00,1.30,"",0,0.0,-3,-3.5,-4,-4.4,-4,-4.3,-215863,-18.2,0,0.0,0,0.0,-150,-14.7
"12023","1","1021","73","0","2016","2","","Columbia County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,87,86,89,1012407,0,0,892,"",0.43,0.74,0.73,0.76,0.92,0.00,0.00,1.24,"",0,0.0,1,1.2,-2,-2.3,0,0.0,10654,1.1,0,0.0,0,0.0,13,1.5
"12023","1","1021","73","0","2016","3","","Columbia County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,87,89,87,1183070,0,0,1038,"",0.43,0.77,0.76,0.74,0.95,0.00,0.00,1.26,"",0,0.0,0,0.0,3,3.5,3,3.6,27701,2.4,0,0.0,0,0.0,1,0.1
"12023","1","1021","73","0","2016","4","","Columbia County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,89,86,91,1203649,0,0,1044,"",0.43,0.75,0.72,0.74,0.93,0.00,0.00,1.25,"",0,0.0,3,3.5,-4,-4.4,3,3.4,58336,5.1,0,0.0,0,0.0,43,4.3
"12023","1","1025","73","0","2016","1","","Columbia County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1158,1161,1145,18534073,0,0,1235,"",4.84,16.59,16.58,16.25,23.45,0.00,0.00,1.42,"",0,0.0,-36,-3.0,-40,-3.3,-53,-4.4,-3921325,-17.5,0,0.0,0,0.0,-207,-14.4
"12023","1","1025","73","0","2016","2","","Columbia County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1142,1139,1133,18355965,0,0,1241,"",4.79,16.19,16.31,16.35,21.66,0.00,0.00,1.33,"",0,0.0,-56,-4.7,-71,-5.9,-77,-6.4,-538760,-2.9,0,0.0,0,0.0,36,3.0
"12023","1","1025","73","0","2016","3","","Columbia County, Florida","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1126,1112,1112,20768164,0,0,1431,"",4.74,16.69,15.91,15.83,21.45,0.00,0.00,1.33,"",0,0.0,-84,-6.9,-92,-7.6,-94,-7.8,-1170462,-5.3,0,0.0,0,0.0,32,2.3
