"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12067","0","10","70","0","2016","1","","Lafayette County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",125,1403,1428,1421,10183766,3744240,42179,553,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-11.3,-105,-7.0,-70,-4.7,-91,-6.0,-178753,-1.7,-167449,-4.3,-15260,-26.6,24,4.5
"12067","0","10","70","0","2016","2","","Lafayette County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",126,1419,1424,1312,11519446,1312836,12794,640,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-5.3,-92,-6.1,-142,-9.1,-132,-9.1,-307077,-2.6,-100308,-7.1,-6304,-33.0,36,6.0
"12067","0","10","70","0","2016","3","","Lafayette County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",127,1275,1373,1368,10434027,703228,7751,600,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-3.1,-140,-9.9,-97,-6.6,-92,-6.3,93895,0.9,-17116,-2.4,-2659,-25.5,51,9.3
"12067","0","10","70","0","2016","4","","Lafayette County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",124,1364,1362,1368,10599436,583428,6165,597,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-2.4,-94,-6.4,-96,-6.6,-92,-6.3,-595412,-5.3,11610,2.0,-2930,-32.2,7,1.2
"12067","1","10","71","0","2016","1","","Lafayette County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,14,13,12,134992,0,0,799,"",3.81,0.50,0.46,0.43,0.47,0.00,0.00,1.01,"",-1,-25.0,1,7.7,-1,-7.1,-2,-14.3,-17451,-11.4,0,0.0,0,0.0,-59,-6.9
"12067","1","10","71","0","2016","2","","Lafayette County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,13,14,14,133143,0,0,749,"",3.82,0.47,0.50,0.54,0.42,0.00,0.00,0.84,"",0,0.0,-1,-7.1,0,0.0,2,16.7,9778,7.9,0,0.0,0,0.0,37,5.2
"12067","1","10","71","0","2016","3","","Lafayette County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,14,14,14,156555,0,0,860,"",3.82,0.55,0.52,0.52,0.48,0.00,0.00,0.91,"",0,0.0,2,16.7,0,0.0,0,0.0,2093,1.4,0,0.0,0,0.0,-31,-3.5
"12067","1","10","71","0","2016","4","","Lafayette County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,14,11,13,152752,0,0,928,"",3.94,0.53,0.41,0.48,0.51,0.00,0.00,1.08,"",0,0.0,0,0.0,-3,-21.4,-1,-7.1,1498,1.0,0,0.0,0,0.0,97,11.7
"12067","1","102","72","0","2016","1","","Lafayette County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,14,13,12,134992,0,0,799,"",3.82,0.51,0.47,0.44,0.47,0.00,0.00,1.01,"",-1,-25.0,1,7.7,-1,-7.1,-2,-14.3,-17451,-11.4,0,0.0,0,0.0,-59,-6.9
"12067","1","102","72","0","2016","2","","Lafayette County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,13,14,14,133143,0,0,749,"",3.83,0.48,0.51,0.55,0.43,0.00,0.00,0.84,"",0,0.0,-1,-7.1,0,0.0,2,16.7,9778,7.9,0,0.0,0,0.0,37,5.2
"12067","1","102","72","0","2016","3","","Lafayette County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,14,14,14,156555,0,0,860,"",3.83,0.56,0.52,0.53,0.49,0.00,0.00,0.91,"",0,0.0,2,16.7,0,0.0,0,0.0,2093,1.4,0,0.0,0,0.0,-31,-3.5
"12067","1","102","72","0","2016","4","","Lafayette County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,14,11,13,152752,0,0,928,"",3.95,0.54,0.42,0.49,0.52,0.00,0.00,1.08,"",0,0.0,0,0.0,-3,-21.4,-1,-7.1,1498,1.0,0,0.0,0,0.0,97,11.7
"12067","1","1021","73","0","2016","1","","Lafayette County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,13,12,11,112202,0,0,719,"",5.09,1.93,1.74,1.60,2.23,0.00,0.00,1.27,"",0,0.0,1,8.3,-1,-7.7,-2,-15.4,-17703,-13.6,0,0.0,0,0.0,-70,-8.9
"12067","1","1021","73","0","2016","2","","Lafayette County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,12,13,13,113089,0,0,687,"",5.09,1.78,1.92,2.08,1.97,0.00,0.00,1.02,"",0,0.0,-1,-7.7,0,0.0,2,18.2,9097,8.7,0,0.0,0,0.0,38,5.9
"12067","1","1021","73","0","2016","3","","Lafayette County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,13,13,13,133052,0,0,787,"",5.10,2.13,1.98,1.99,2.28,0.00,0.00,1.12,"",0,0.0,2,18.2,0,0.0,0,0.0,1192,0.9,0,0.0,0,0.0,-35,-4.3
"12067","1","1021","73","0","2016","4","","Lafayette County, Florida","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,13,10,12,132606,0,0,874,"",5.26,2.01,1.55,1.78,2.19,0.00,0.00,1.23,"",0,0.0,0,0.0,-3,-23.1,-1,-7.7,2709,2.1,0,0.0,0,0.0,105,13.7
"12067","1","1028","73","0","2016","1","","Lafayette County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22790,0,0,1753,"",3.12,0.07,0.07,0.07,0.13,0.00,0.00,1.92,"",-1,-50.0,0,0.0,0,0.0,0,0.0,252,1.1,0,0.0,0,0.0,19,1.1
"12067","1","1028","73","0","2016","2","","Lafayette County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20054,0,0,1543,"",3.13,0.07,0.07,0.07,0.10,0.00,0.00,1.53,"",0,0.0,0,0.0,0,0.0,0,0.0,681,3.5,0,0.0,0,0.0,53,3.6
"12067","1","1028","73","0","2016","3","","Lafayette County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,23503,0,0,1808,"",3.12,0.07,0.07,0.07,0.12,0.00,0.00,1.70,"",0,0.0,0,0.0,0,0.0,0,0.0,901,4.0,0,0.0,0,0.0,69,4.0
"12067","1","1028","73","0","2016","4","","Lafayette County, Florida","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20146,0,0,1550,"",3.22,0.07,0.07,0.07,0.11,0.00,0.00,1.65,"",0,0.0,0,0.0,0,0.0,0,0.0,-1211,-5.7,0,0.0,0,0.0,-93,-5.7
"12067","1","48-49","74","0","2016","1","","Lafayette County, Florida","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,13,12,11,112202,0,0,719,"",5.24,2.11,1.91,1.76,2.40,0.00,0.00,1.25,"",0,0.0,1,8.3,-1,-7.7,-2,-15.4,-17703,-13.6,0,0.0,0,0.0,-70,-8.9
