"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12081","0","10","70","0","2016","1","","Manatee County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10132,119145,119945,120362,1164929080,560724914,7611152,748,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-0.2,3297,2.8,3768,3.2,3382,2.9,69186626,6.3,24572292,4.6,-2571617,-25.3,23,3.2
"12081","0","10","70","0","2016","2","","Manatee County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10221,120309,119763,113264,1187529274,169887945,1988887,776,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",351,3.6,3295,2.8,3018,2.6,1847,1.7,65564413,5.8,3208921,1.9,-806969,-28.9,26,3.5
"12081","0","10","70","0","2016","3","","Manatee County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10374,111549,115079,116009,1212166192,103077585,1242183,816,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",394,3.9,3086,2.8,3750,3.4,3913,3.5,148145198,13.9,5417120,5.5,-456239,-26.9,76,10.3
"12081","0","10","70","0","2016","4","","Manatee County, Florida","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10573,119257,122902,123492,1280468718,102438423,1360152,808,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",460,4.5,3522,3.0,3365,2.8,2530,2.1,15056999,1.2,-3520193,-3.3,-495481,-26.7,-12,-1.5
"12081","1","10","71","0","2016","1","","Manatee County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,901,903,923,14108773,0,0,1194,"",0.47,0.38,0.38,0.39,0.43,0.00,0.00,1.11,"",-1,-3.2,-14,-1.5,-11,-1.2,21,2.3,-2047421,-12.7,0,0.0,0,0.0,-171,-12.5
"12081","1","10","71","0","2016","2","","Manatee County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,916,935,941,13302242,0,0,1099,"",0.47,0.39,0.40,0.42,0.41,0.00,0.00,1.01,"",0,0.0,-4,-0.4,55,6.2,56,6.3,349580,2.7,0,0.0,0,0.0,-14,-1.3
"12081","1","10","71","0","2016","3","","Manatee County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,947,947,955,15442733,0,0,1251,"",0.48,0.43,0.42,0.42,0.41,0.00,0.00,0.98,"",1,3.3,47,5.2,50,5.6,55,6.1,705721,4.8,0,0.0,0,0.0,-10,-0.8
"12081","1","10","71","0","2016","4","","Manatee County, Florida","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,961,966,1023,16704014,0,0,1307,"",0.46,0.41,0.40,0.42,0.46,0.00,0.00,1.12,"",0,0.0,66,7.4,61,6.7,84,8.9,832400,5.2,0,0.0,0,0.0,-30,-2.2
"12081","1","102","72","0","2016","1","","Manatee County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,901,903,923,14108773,0,0,1194,"",0.47,0.39,0.39,0.40,0.43,0.00,0.00,1.11,"",-1,-3.2,-14,-1.5,-11,-1.2,21,2.3,-2047421,-12.7,0,0.0,0,0.0,-171,-12.5
"12081","1","102","72","0","2016","2","","Manatee County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,916,935,941,13302242,0,0,1099,"",0.47,0.40,0.41,0.43,0.42,0.00,0.00,1.01,"",0,0.0,-4,-0.4,55,6.2,56,6.3,349580,2.7,0,0.0,0,0.0,-14,-1.3
"12081","1","102","72","0","2016","3","","Manatee County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,947,947,955,15442733,0,0,1251,"",0.48,0.43,0.42,0.43,0.42,0.00,0.00,0.98,"",1,3.3,47,5.2,50,5.6,55,6.1,705721,4.8,0,0.0,0,0.0,-10,-0.8
"12081","1","102","72","0","2016","4","","Manatee County, Florida","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,961,966,1023,16704014,0,0,1307,"",0.46,0.42,0.41,0.43,0.47,0.00,0.00,1.12,"",0,0.0,66,7.4,61,6.7,84,8.9,832400,5.2,0,0.0,0,0.0,-30,-2.2
