"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13025","0","10","70","0","2016","1","","Brantley County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",237,2287,2270,2231,15650077,8431261,174632,532,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,5.8,240,11.7,195,9.4,132,6.3,1109746,7.6,1393889,19.8,36074,26.0,-7,-1.3
"13025","0","10","70","0","2016","2","","Brantley County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",239,2228,2260,2323,16449629,3506224,54171,557,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,5.3,70,3.2,96,4.4,105,4.7,1533090,10.3,146247,4.4,-8632,-13.7,31,5.9
"13025","0","10","70","0","2016","3","","Brantley County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",234,2222,2299,2263,16467937,2143504,35539,560,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.2,178,8.7,180,8.5,127,5.9,1363309,9.0,188315,9.6,-879,-2.4,7,1.3
"13025","0","10","70","0","2016","4","","Brantley County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",238,2214,2197,2188,17956652,1753743,29340,628,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,3.5,27,1.2,13,0.6,-16,-0.7,1451975,8.8,33442,1.9,-3235,-9.9,49,8.5
"13025","1","10","71","0","2016","1","","Brantley County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,28,28,28,252599,0,0,694,"",4.69,0.62,0.62,0.64,0.57,0.00,0.00,0.91,"",0,0.0,1,3.7,2,7.7,2,7.7,-18736,-6.9,0,0.0,0,0.0,-99,-12.5
"13025","1","10","71","0","2016","2","","Brantley County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,27,28,29,262357,0,0,721,"",4.70,0.62,0.63,0.63,0.58,0.00,0.00,0.92,"",0,0.0,2,8.0,2,7.7,2,7.4,19330,8.0,0,0.0,0,0.0,2,0.3
"13025","1","10","71","0","2016","3","","Brantley County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,28,27,27,298242,0,0,839,"",4.84,0.63,0.59,0.61,0.58,0.00,0.00,0.96,"",0,0.0,1,3.7,0,0.0,0,0.0,3908,1.3,0,0.0,0,0.0,0,0.0
"13025","1","10","71","0","2016","4","","Brantley County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,27,26,27,296186,0,0,854,"",4.79,0.62,0.61,0.63,0.59,0.00,0.00,0.94,"",0,0.0,-1,-3.6,0,0.0,1,3.8,1112,0.4,0,0.0,0,0.0,3,0.4
"13025","1","102","72","0","2016","1","","Brantley County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,28,28,28,252599,0,0,694,"",4.70,0.63,0.63,0.65,0.58,0.00,0.00,0.91,"",0,0.0,1,3.7,2,7.7,2,7.7,-18736,-6.9,0,0.0,0,0.0,-99,-12.5
"13025","1","102","72","0","2016","2","","Brantley County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,27,28,29,262357,0,0,721,"",4.71,0.63,0.64,0.65,0.59,0.00,0.00,0.92,"",0,0.0,2,8.0,2,7.7,2,7.4,19330,8.0,0,0.0,0,0.0,2,0.3
