"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13099","0","10","70","0","2016","1","","Early County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",298,4279,4245,4274,41533615,19101869,265361,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,-21,-0.5,-69,-1.6,-45,-1.0,-876929,-2.1,317288,1.7,-32010,-10.8,-8,-1.1
"13099","0","10","70","0","2016","2","","Early County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",297,4213,4301,4283,41510358,5547009,86780,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.7,-111,-2.6,-30,-0.7,-30,-0.7,-699766,-1.7,-197142,-3.4,-11795,-12.0,-2,-0.3
"13099","0","10","70","0","2016","3","","Early County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",294,4237,4265,4301,45261784,3304546,66235,816,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.7,-54,-1.3,-84,-1.9,-37,-0.9,2202113,5.1,-68495,-2.0,1057,1.6,50,6.5
"13099","0","10","70","0","2016","4","","Early County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",298,4340,4360,4324,46473058,2827472,66597,823,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,-46,-1.0,-9,-0.2,-72,-1.6,-2640212,-5.4,-767775,-21.4,-26297,-28.3,-39,-4.5
"13099","1","10","71","0","2016","1","","Early County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,34,30,31,314684,0,0,764,"",4.80,0.40,0.36,0.37,0.27,0.00,0.00,0.71,"",0,0.0,-4,-10.5,-1,-3.2,0,0.0,-58862,-15.8,0,0.0,0,0.0,-98,-11.4
"13099","1","10","71","0","2016","2","","Early County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,28,39,34,308900,0,0,706,"",4.86,0.34,0.46,0.40,0.27,0.00,0.00,0.67,"",0,0.0,-8,-22.2,5,14.7,4,13.3,-2890,-0.9,0,0.0,0,0.0,-14,-1.9
"13099","1","10","71","0","2016","3","","Early County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,32,29,36,364479,0,0,867,"",4.95,0.38,0.34,0.43,0.26,0.00,0.00,0.68,"",0,0.0,4,14.3,-1,-3.3,6,20.0,4941,1.4,0,0.0,0,0.0,-76,-8.1
"13099","1","10","71","0","2016","4","","Early County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,33,33,33,359629,0,0,838,"",4.92,0.39,0.39,0.39,0.27,0.00,0.00,0.71,"",0,0.0,-2,-5.7,1,3.1,-1,-2.9,19092,5.6,0,0.0,0,0.0,60,7.7
"13099","1","102","72","0","2016","1","","Early County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,34,30,31,314684,0,0,764,"",4.81,0.41,0.36,0.37,0.27,0.00,0.00,0.71,"",0,0.0,-4,-10.5,-1,-3.2,0,0.0,-58862,-15.8,0,0.0,0,0.0,-98,-11.4
"13099","1","102","72","0","2016","2","","Early County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,28,39,34,308900,0,0,706,"",4.87,0.35,0.47,0.41,0.28,0.00,0.00,0.67,"",0,0.0,-8,-22.2,5,14.7,4,13.3,-2890,-0.9,0,0.0,0,0.0,-14,-1.9
"13099","1","102","72","0","2016","3","","Early County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,32,29,36,364479,0,0,867,"",4.96,0.39,0.35,0.43,0.26,0.00,0.00,0.68,"",0,0.0,4,14.3,-1,-3.3,6,20.0,4941,1.4,0,0.0,0,0.0,-76,-8.1
"13099","1","102","72","0","2016","4","","Early County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,33,33,33,359629,0,0,838,"",4.93,0.40,0.40,0.39,0.28,0.00,0.00,0.71,"",0,0.0,-2,-5.7,1,3.1,-1,-2.9,19092,5.6,0,0.0,0,0.0,60,7.7
"13099","1","1021","73","0","2016","1","","Early County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,19,19,20,163837,0,0,652,"",4.27,0.92,0.93,0.97,0.80,0.00,0.00,0.85,"",0,0.0,-2,-9.5,1,5.6,2,11.1,-31491,-16.1,0,0.0,0,0.0,-139,-17.6
"13099","1","1021","73","0","2016","2","","Early County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,17,22,22,182319,0,0,690,"",4.32,0.85,1.07,1.08,0.88,0.00,0.00,0.88,"",0,0.0,-3,-15.0,4,22.2,4,22.2,12792,7.5,0,0.0,0,0.0,-9,-1.3
"13099","1","1021","73","0","2016","3","","Early County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,20,18,20,192976,0,0,768,"",4.41,0.98,0.88,0.97,0.76,0.00,0.00,0.81,"",0,0.0,3,17.6,-1,-5.3,2,11.1,4949,2.6,0,0.0,0,0.0,-36,-4.5
"13099","1","1021","73","0","2016","4","","Early County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,20,20,21,208528,0,0,789,"",4.38,0.97,0.97,0.98,0.78,0.00,0.00,0.81,"",0,0.0,1,5.3,0,0.0,3,16.7,19389,10.3,0,0.0,0,0.0,23,3.0
"13099","1","1024","73","0","2016","1","","Early County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,35544,0,0,1367,"",21.84,1.02,1.03,1.03,1.14,0.00,0.00,1.11,"",0,0.0,0,0.0,0,0.0,0,0.0,7359,26.1,0,0.0,0,0.0,283,26.1
"13099","1","1024","73","0","2016","2","","Early County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,27795,0,0,1069,"",22.06,1.05,1.03,1.02,0.96,0.00,0.00,0.93,"",0,0.0,0,0.0,0,0.0,0,0.0,-4968,-15.2,0,0.0,0,0.0,-191,-15.2
"13099","1","1024","73","0","2016","3","","Early County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,31971,0,0,1230,"",22.52,1.01,1.01,1.02,0.89,0.00,0.00,0.88,"",0,0.0,0,0.0,0,0.0,0,0.0,3225,11.2,0,0.0,0,0.0,124,11.2
"13099","1","1024","73","0","2016","4","","Early County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,27803,0,0,1069,"",22.32,1.02,1.01,1.02,0.88,0.00,0.00,0.87,"",0,0.0,0,0.0,0,0.0,0,0.0,-4368,-13.6,0,0.0,0,0.0,-168,-13.6
