"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13113","0","10","70","0","2016","1","","Fayette County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3704,40748,40897,41215,409586457,206608786,3820635,769,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",88,2.4,1569,4.0,1665,4.2,1649,4.2,13248976,3.3,10210999,5.2,-272245,-6.7,-6,-0.8
"13113","0","10","70","0","2016","2","","Fayette County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3778,41995,42401,42555,424751681,77587164,1204679,772,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",120,3.3,1893,4.7,1879,4.6,1707,4.2,31067429,7.9,2782536,3.7,-135124,-10.1,24,3.2
"13113","0","10","70","0","2016","3","","Fayette County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3822,42349,42967,42913,443874769,51202831,853213,799,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",146,4.0,2114,5.3,2091,5.1,2271,5.6,48580125,12.3,3238768,6.8,-46559,-5.2,50,6.7
"13113","0","10","70","0","2016","4","","Fayette County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3906,42995,43529,43635,466709017,44876951,759101,827,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",183,4.9,2244,5.5,2346,5.7,2045,4.9,20982350,4.7,878877,2.0,-65659,-8.0,-6,-0.7
"13113","1","10","71","0","2016","1","","Fayette County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,483,489,496,13516621,0,0,2125,"",0.60,0.60,0.60,0.61,1.16,0.00,0.00,1.92,"",0,0.0,3,0.6,-1,-0.2,6,1.2,-771859,-5.4,0,0.0,0,0.0,-133,-5.9
"13113","1","10","71","0","2016","2","","Fayette County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,490,500,502,12069080,0,0,1867,"",0.59,0.60,0.60,0.60,1.04,0.00,0.00,1.73,"",0,0.0,-1,-0.2,16,3.3,13,2.7,184279,1.6,0,0.0,0,0.0,-6,-0.3
"13113","1","10","71","0","2016","3","","Fayette County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,498,496,498,14548632,0,0,2250,"",0.59,0.59,0.58,0.59,1.06,0.00,0.00,1.80,"",0,0.0,9,1.8,12,2.5,13,2.7,521884,3.7,0,0.0,0,0.0,30,1.4
"13113","1","10","71","0","2016","4","","Fayette County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,489,489,496,13374295,0,0,2094,"",0.58,0.58,0.58,0.58,1.02,0.00,0.00,1.76,"",0,0.0,8,1.7,6,1.2,4,0.8,1095436,8.9,0,0.0,0,0.0,148,7.6
"13113","1","102","72","0","2016","1","","Fayette County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,483,489,496,13516621,0,0,2125,"",0.60,0.61,0.61,0.62,1.18,0.00,0.00,1.92,"",0,0.0,3,0.6,-1,-0.2,6,1.2,-771859,-5.4,0,0.0,0,0.0,-133,-5.9
"13113","1","102","72","0","2016","2","","Fayette County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,490,500,502,12069080,0,0,1867,"",0.60,0.61,0.61,0.61,1.05,0.00,0.00,1.73,"",0,0.0,-1,-0.2,16,3.3,13,2.7,184279,1.6,0,0.0,0,0.0,-6,-0.3
"13113","1","102","72","0","2016","3","","Fayette County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,498,496,498,14548632,0,0,2250,"",0.59,0.60,0.59,0.60,1.08,0.00,0.00,1.80,"",0,0.0,9,1.8,12,2.5,13,2.7,521884,3.7,0,0.0,0,0.0,30,1.4
"13113","1","102","72","0","2016","4","","Fayette County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,489,489,496,13374295,0,0,2094,"",0.58,0.59,0.59,0.59,1.04,0.00,0.00,1.76,"",0,0.0,8,1.7,6,1.2,4,0.8,1095436,8.9,0,0.0,0,0.0,148,7.6
"13113","1","1021","73","0","2016","1","","Fayette County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,328,334,339,9970086,0,0,2298,"",0.52,1.67,1.69,1.71,4.92,0.00,0.00,2.91,"",0,0.0,9,2.8,9,2.8,13,4.0,-330570,-3.2,0,0.0,0,0.0,-153,-6.2
"13113","1","1021","73","0","2016","2","","Fayette County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,336,344,341,8679034,0,0,1962,"",0.51,1.68,1.70,1.68,4.10,0.00,0.00,2.42,"",0,0.0,9,2.8,27,8.5,22,6.9,234044,2.8,0,0.0,0,0.0,-62,-3.1
"13113","1","1021","73","0","2016","3","","Fayette County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,346,344,342,10455291,0,0,2338,"",0.51,1.70,1.67,1.67,4.22,0.00,0.00,2.51,"",0,0.0,26,8.1,29,9.2,24,7.5,682667,7.0,0,0.0,0,0.0,-28,-1.2
"13113","1","1021","73","0","2016","4","","Fayette County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,337,340,348,9746629,0,0,2194,"",0.50,1.65,1.64,1.62,3.65,0.00,0.00,2.23,"",0,0.0,20,6.3,20,6.2,20,6.1,921419,10.4,0,0.0,0,0.0,84,4.0
"13113","1","1024","73","0","2016","1","","Fayette County, Georgia","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,36,36,35,1047991,0,0,2260,"",1.76,1.93,1.93,1.87,3.41,0.00,0.00,1.79,"",0,0.0,-2,-5.3,-2,-5.3,-3,-7.9,-69530,-6.2,0,0.0,0,0.0,-2,-0.1
