"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13169","0","10","70","0","2016","1","","Jones County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",378,4522,4572,4643,35823055,19808850,373751,602,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,2.7,327,7.8,350,8.3,398,9.4,2445395,7.3,2091989,11.8,-2426,-0.6,-6,-1.0
"13169","0","10","70","0","2016","2","","Jones County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",379,4625,4661,4601,37866933,7984882,139844,629,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.2,314,7.3,281,6.4,182,4.1,3696701,10.8,430945,5.7,-20915,-13.0,28,4.7
"13169","0","10","70","0","2016","3","","Jones County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",386,4530,4711,4592,40551224,5559803,96049,676,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.8,162,3.7,187,4.1,129,2.9,4382657,12.1,642723,13.1,-2989,-3.0,51,8.2
"13169","0","10","70","0","2016","4","","Jones County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",389,4706,4726,4644,41301485,3818073,59899,677,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.8,208,4.6,208,4.6,79,1.7,1969610,5.0,-286739,-7.0,-13911,-18.8,9,1.3
"13169","1","10","71","0","2016","1","","Jones County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,31,34,34,459882,0,0,1072,"",2.94,0.35,0.38,0.37,0.45,0.00,0.00,1.24,"",0,0.0,0,0.0,3,9.7,3,9.7,-3306,-0.7,0,0.0,0,0.0,-77,-6.7
"13169","1","10","71","0","2016","2","","Jones County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,34,34,33,450745,0,0,1030,"",2.96,0.38,0.37,0.36,0.43,0.00,0.00,1.17,"",0,0.0,3,9.7,4,13.3,2,6.5,44723,11.0,0,0.0,0,0.0,12,1.2
"13169","1","10","71","0","2016","3","","Jones County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,34,37,37,607579,0,0,1298,"",3.35,0.38,0.40,0.41,0.48,0.00,0.00,1.22,"",1,14.3,2,6.2,6,19.4,6,19.4,13370,2.3,0,0.0,0,0.0,-161,-11.0
"13169","1","10","71","0","2016","4","","Jones County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,37,36,37,549895,0,0,1154,"",3.35,0.40,0.39,0.40,0.47,0.00,0.00,1.18,"",1,14.3,4,12.1,2,5.9,2,5.7,53184,10.7,0,0.0,0,0.0,30,2.7
"13169","1","102","72","0","2016","1","","Jones County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,31,34,34,459882,0,0,1072,"",2.95,0.35,0.38,0.38,0.46,0.00,0.00,1.24,"",0,0.0,0,0.0,3,9.7,3,9.7,-3306,-0.7,0,0.0,0,0.0,-77,-6.7
"13169","1","102","72","0","2016","2","","Jones County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,34,34,33,450745,0,0,1030,"",2.97,0.38,0.38,0.37,0.44,0.00,0.00,1.17,"",0,0.0,3,9.7,4,13.3,2,6.5,44723,11.0,0,0.0,0,0.0,12,1.2
"13169","1","102","72","0","2016","3","","Jones County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,34,37,37,607579,0,0,1298,"",3.36,0.38,0.40,0.42,0.49,0.00,0.00,1.23,"",1,14.3,2,6.2,6,19.4,6,19.4,13370,2.3,0,0.0,0,0.0,-161,-11.0
"13169","1","102","72","0","2016","4","","Jones County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,37,36,37,549895,0,0,1154,"",3.36,0.41,0.40,0.41,0.48,0.00,0.00,1.18,"",1,14.3,4,12.1,2,5.9,2,5.7,53184,10.7,0,0.0,0,0.0,30,2.7
"13169","1","1021","73","0","2016","1","","Jones County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,18,21,21,231321,0,0,890,"",1.68,0.83,0.95,0.94,1.31,0.00,0.00,1.44,"",0,0.0,-2,-10.0,1,5.0,1,5.0,-35008,-13.1,0,0.0,0,0.0,-134,-13.1
"13169","1","1021","73","0","2016","2","","Jones County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,22,22,21,253154,0,0,899,"",1.69,1.00,0.99,0.96,1.34,0.00,0.00,1.36,"",0,0.0,2,10.0,3,15.8,2,10.5,26549,11.7,0,0.0,0,0.0,-3,-0.3
"13169","1","1021","73","0","2016","3","","Jones County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,22,25,25,304006,0,0,974,"",1.68,1.01,1.11,1.14,1.34,0.00,0.00,1.23,"",0,0.0,3,15.8,7,38.9,7,38.9,40363,15.3,0,0.0,0,0.0,-132,-11.9
"13169","1","1021","73","0","2016","4","","Jones County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,25,24,25,304887,0,0,951,"",1.68,1.12,1.07,1.09,1.29,0.00,0.00,1.18,"",0,0.0,5,25.0,3,14.3,3,13.6,27370,9.9,0,0.0,0,0.0,-66,-6.5
"13169","1","1028","73","0","2016","1","","Jones County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,13,13,228561,0,0,1352,"",5.15,0.27,0.26,0.26,0.36,0.00,0.00,1.36,"",0,0.0,2,18.2,2,18.2,2,18.2,31702,16.1,0,0.0,0,0.0,-25,-1.8
"13169","1","1028","73","0","2016","2","","Jones County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,12,12,12,197591,0,0,1267,"",5.20,0.24,0.24,0.24,0.31,0.00,0.00,1.28,"",0,0.0,1,9.1,1,9.1,0,0.0,18174,10.1,0,0.0,0,0.0,49,4.0
"13169","1","1028","73","0","2016","3","","Jones County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,12,12,12,303573,0,0,1946,"",6.17,0.24,0.24,0.24,0.39,0.00,0.00,1.63,"",1,20.0,-1,-7.7,-1,-7.7,-1,-7.7,-26993,-8.2,0,0.0,0,0.0,-10,-0.5
"13169","1","1028","73","0","2016","4","","Jones County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,12,12,12,245008,0,0,1571,"",6.17,0.24,0.24,0.24,0.36,0.00,0.00,1.48,"",1,20.0,-1,-7.7,-1,-7.7,-1,-7.7,25814,11.8,0,0.0,0,0.0,274,21.1
"13169","1","48-49","74","0","2016","1","","Jones County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,18,21,21,231321,0,0,890,"",1.73,0.91,1.04,1.03,1.41,0.00,0.00,1.42,"",0,0.0,-2,-10.0,1,5.0,1,5.0,-35008,-13.1,0,0.0,0,0.0,-134,-13.1
"13169","1","48-49","74","0","2016","2","","Jones County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,22,22,21,253154,0,0,899,"",1.74,1.10,1.08,1.05,1.45,0.00,0.00,1.34,"",0,0.0,2,10.0,3,15.8,2,10.5,26549,11.7,0,0.0,0,0.0,-3,-0.3
"13169","1","48-49","74","0","2016","3","","Jones County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,22,25,25,304006,0,0,974,"",1.73,1.11,1.21,1.25,1.44,0.00,0.00,1.21,"",0,0.0,3,15.8,7,38.9,7,38.9,40363,15.3,0,0.0,0,0.0,-132,-11.9
"13169","1","48-49","74","0","2016","4","","Jones County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,25,24,25,304887,0,0,951,"",1.73,1.22,1.17,1.19,1.39,0.00,0.00,1.17,"",0,0.0,5,25.0,3,14.3,3,13.6,27370,9.9,0,0.0,0,0.0,-66,-6.5
"13169","1","491","75","0","2016","1","","Jones County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,18,21,21,231321,0,0,890,"",1.74,0.93,1.06,1.05,1.48,0.00,0.00,1.46,"",0,0.0,-2,-10.0,1,5.0,1,5.0,-35008,-13.1,0,0.0,0,0.0,-134,-13.1
"13169","1","491","75","0","2016","2","","Jones County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,22,22,21,253154,0,0,899,"",1.75,1.12,1.11,1.07,1.51,0.00,0.00,1.37,"",0,0.0,2,10.0,3,15.8,2,10.5,26549,11.7,0,0.0,0,0.0,-3,-0.3
"13169","1","491","75","0","2016","3","","Jones County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,22,25,25,304006,0,0,974,"",1.74,1.13,1.24,1.27,1.50,0.00,0.00,1.24,"",0,0.0,3,15.8,7,38.9,7,38.9,40363,15.3,0,0.0,0,0.0,-132,-11.9
"13169","1","491","75","0","2016","4","","Jones County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,24,25,304887,0,0,951,"",1.74,1.25,1.20,1.21,1.44,0.00,0.00,1.18,"",0,0.0,5,25.0,3,14.3,3,13.6,27370,9.9,0,0.0,0,0.0,-66,-6.5
"13169","1","4911","76","0","2016","1","","Jones County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,18,21,21,231321,0,0,890,"",1.74,0.93,1.06,1.05,1.48,0.00,0.00,1.46,"",0,0.0,-2,-10.0,1,5.0,1,5.0,-35008,-13.1,0,0.0,0,0.0,-134,-13.1
"13169","1","4911","76","0","2016","2","","Jones County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,22,22,21,253154,0,0,899,"",1.75,1.12,1.11,1.07,1.51,0.00,0.00,1.37,"",0,0.0,2,10.0,3,15.8,2,10.5,26549,11.7,0,0.0,0,0.0,-3,-0.3
"13169","1","4911","76","0","2016","3","","Jones County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,22,25,25,304006,0,0,974,"",1.74,1.13,1.24,1.27,1.50,0.00,0.00,1.24,"",0,0.0,3,15.8,7,38.9,7,38.9,40363,15.3,0,0.0,0,0.0,-132,-11.9
"13169","1","4911","76","0","2016","4","","Jones County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,24,25,304887,0,0,951,"",1.74,1.25,1.20,1.21,1.44,0.00,0.00,1.18,"",0,0.0,5,25.0,3,14.3,3,13.6,27370,9.9,0,0.0,0,0.0,-66,-6.5
"13169","1","49111","77","0","2016","1","","Jones County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,18,21,21,231321,0,0,890,"",1.74,0.93,1.06,1.05,1.48,0.00,0.00,1.46,"",0,0.0,-2,-10.0,1,5.0,1,5.0,-35008,-13.1,0,0.0,0,0.0,-134,-13.1
"13169","1","49111","77","0","2016","2","","Jones County, Georgia","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,22,22,21,253154,0,0,899,"",1.75,1.12,1.11,1.07,1.51,0.00,0.00,1.37,"",0,0.0,2,10.0,3,15.8,2,10.5,26549,11.7,0,0.0,0,0.0,-3,-0.3
