"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13193","0","10","70","0","2016","1","","Macon County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",236,2745,2681,2696,24584151,12809900,236249,699,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-57,-2.0,-118,-4.2,-99,-3.5,-1340579,-5.2,-513886,-3.9,-58881,-20.0,-14,-2.0
"13193","0","10","70","0","2016","2","","Macon County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",235,2718,2740,2752,25069107,4318077,66998,705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-84,-3.0,-37,-1.3,-73,-2.6,-914399,-3.5,-185598,-4.1,-17353,-20.6,-8,-1.1
"13193","0","10","70","0","2016","3","","Macon County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",229,2768,2813,2829,27367935,2721757,42822,751,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-5.8,-38,-1.4,-15,-0.5,60,2.2,2866277,11.7,338046,14.2,-2056,-4.6,78,11.6
"13193","0","10","70","0","2016","4","","Macon County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",229,2806,2813,2789,27759575,2349442,56985,762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-6.9,-9,-0.3,-5,-0.2,-9,-0.3,441692,1.6,167512,7.7,4337,8.2,14,1.9
"13193","1","10","71","0","2016","1","","Macon County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,25,21,21,232384,0,0,800,"",5.38,0.46,0.40,0.39,0.33,0.00,0.00,0.80,"",0,0.0,2,8.7,-4,-16.0,-1,-4.5,-32226,-12.2,0,0.0,0,0.0,-72,-8.3
"13193","1","10","71","0","2016","2","","Macon County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,25,22,23,229842,0,0,758,"",5.46,0.47,0.41,0.42,0.33,0.00,0.00,0.77,"",0,0.0,0,0.0,0,0.0,2,9.5,2152,0.9,0,0.0,0,0.0,-15,-1.9
"13193","1","10","71","0","2016","3","","Macon County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,24,24,24,277150,0,0,888,"",5.65,0.44,0.43,0.43,0.33,0.00,0.00,0.75,"",0,0.0,3,14.3,-3,-11.1,-3,-11.1,296,0.1,0,0.0,0,0.0,36,4.2
"13193","1","10","71","0","2016","4","","Macon County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,25,23,23,269418,0,0,876,"",5.69,0.46,0.42,0.42,0.34,0.00,0.00,0.80,"",0,0.0,3,13.6,0,0.0,-3,-11.5,6061,2.3,0,0.0,0,0.0,20,2.3
"13193","1","102","72","0","2016","1","","Macon County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,25,21,21,232384,0,0,800,"",5.40,0.47,0.40,0.40,0.34,0.00,0.00,0.80,"",0,0.0,2,8.7,-4,-16.0,-1,-4.5,-32226,-12.2,0,0.0,0,0.0,-72,-8.3
"13193","1","102","72","0","2016","2","","Macon County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,25,22,23,229842,0,0,758,"",5.47,0.48,0.42,0.43,0.34,0.00,0.00,0.77,"",0,0.0,0,0.0,0,0.0,2,9.5,2152,0.9,0,0.0,0,0.0,-15,-1.9
