"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13223","0","10","70","0","2016","1","","Paulding County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2072,21824,21934,22280,183783263,88258337,1587609,642,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",64,3.2,910,4.4,915,4.4,983,4.6,15200146,9.0,7497186,9.3,-28946,-1.8,27,4.4
"13223","0","10","70","0","2016","2","","Paulding County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2137,22577,22741,22628,192624322,42281758,666545,654,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",91,4.4,830,3.8,808,3.7,680,3.1,11756103,6.5,1875663,4.6,-26753,-3.9,18,2.8
"13223","0","10","70","0","2016","3","","Paulding County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2142,22045,22891,23245,203803818,28515940,448840,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",84,4.1,419,1.9,728,3.3,1181,5.4,20827357,11.4,1256337,4.6,-23317,-4.9,49,7.6
"13223","0","10","70","0","2016","4","","Paulding County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2175,23409,23936,23605,216686204,24802260,392681,705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",90,4.3,1459,6.6,1863,8.4,1580,7.2,9558067,4.6,1806144,7.9,-10629,-2.6,-19,-2.6
"13223","1","10","71","0","2016","1","","Paulding County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,121,120,126,1622864,0,0,1020,"",0.46,0.28,0.28,0.29,0.31,0.00,0.00,1.11,"",0,0.0,-2,-1.6,2,1.7,7,5.9,-242165,-13.0,0,0.0,0,0.0,-176,-14.7
"13223","1","10","71","0","2016","2","","Paulding County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,119,126,128,1576973,0,0,976,"",0.45,0.27,0.28,0.29,0.30,0.00,0.00,1.07,"",0,0.0,-2,-1.7,4,3.3,9,7.6,5243,0.3,0,0.0,0,0.0,-26,-2.6
"13223","1","10","71","0","2016","3","","Paulding County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,127,132,135,1854873,0,0,1086,"",0.45,0.29,0.29,0.30,0.29,0.00,0.00,1.00,"",0,0.0,4,3.3,9,7.3,13,10.7,19502,1.1,0,0.0,0,0.0,-65,-5.6
"13223","1","10","71","0","2016","4","","Paulding County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,124,129,130,2066768,0,0,1245,"",0.45,0.27,0.28,0.28,0.34,0.00,0.00,1.23,"",0,0.0,2,1.6,8,6.6,10,8.3,169063,8.9,0,0.0,0,0.0,39,3.2
"13223","1","102","72","0","2016","1","","Paulding County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,121,120,126,1622864,0,0,1020,"",0.46,0.28,0.28,0.29,0.32,0.00,0.00,1.11,"",0,0.0,-2,-1.6,2,1.7,7,5.9,-242165,-13.0,0,0.0,0,0.0,-176,-14.7
"13223","1","102","72","0","2016","2","","Paulding County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,119,126,128,1576973,0,0,976,"",0.45,0.27,0.29,0.29,0.30,0.00,0.00,1.07,"",0,0.0,-2,-1.7,4,3.3,9,7.6,5243,0.3,0,0.0,0,0.0,-26,-2.6
