"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13235","0","10","70","0","2016","1","","Pulaski County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",219,2772,2783,2771,24397718,13478961,156059,676,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.8,-5,-0.2,18,0.7,16,0.6,220389,0.9,-226784,-1.7,-13999,-8.2,4,0.6
"13235","0","10","70","0","2016","2","","Pulaski County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",221,2755,2778,2818,23526157,5018540,58671,650,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,4.2,11,0.4,12,0.4,-4,-0.1,534844,2.3,248522,5.2,-2045,-3.4,13,2.0
"13235","0","10","70","0","2016","3","","Pulaski County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",223,2862,2900,2863,25337692,3138007,40408,678,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,4.7,204,7.7,195,7.2,140,5.1,1187581,4.9,566732,22.0,6258,18.3,-11,-1.6
"13235","0","10","70","0","2016","4","","Pulaski County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",224,2880,2858,2851,26724356,2417720,32375,718,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.8,119,4.3,61,2.2,77,2.8,1975597,8.0,301793,14.3,4106,14.5,33,4.8
"13235","1","10","71","0","2016","1","","Pulaski County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,19,17,19,222127,0,0,932,"",2.90,0.35,0.31,0.35,0.32,0.00,0.00,0.96,"",0,0.0,1,5.6,1,6.2,1,5.6,-13449,-5.7,0,0.0,0,0.0,-113,-10.8
"13235","1","10","71","0","2016","2","","Pulaski County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,20,20,20,208914,0,0,804,"",2.90,0.37,0.37,0.36,0.32,0.00,0.00,0.88,"",0,0.0,0,0.0,2,11.1,2,11.1,2882,1.4,0,0.0,0,0.0,-45,-5.3
"13235","1","10","71","0","2016","3","","Pulaski County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,20,16,16,202380,0,0,898,"",2.90,0.35,0.28,0.28,0.26,0.00,0.00,0.84,"",0,0.0,2,11.1,-2,-11.1,-2,-11.1,-42404,-17.3,0,0.0,0,0.0,-148,-14.1
"13235","1","10","71","0","2016","4","","Pulaski County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,17,19,19,210154,0,0,882,"",2.91,0.30,0.34,0.34,0.28,0.00,0.00,0.85,"",0,0.0,-5,-22.7,0,0.0,1,5.6,-32709,-13.5,0,0.0,0,0.0,-68,-7.2
"13235","1","102","72","0","2016","1","","Pulaski County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,19,17,19,222127,0,0,932,"",2.91,0.35,0.31,0.35,0.33,0.00,0.00,0.96,"",0,0.0,1,5.6,1,6.2,1,5.6,-13449,-5.7,0,0.0,0,0.0,-113,-10.8
"13235","1","102","72","0","2016","2","","Pulaski County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,20,20,20,208914,0,0,804,"",2.91,0.38,0.37,0.37,0.33,0.00,0.00,0.88,"",0,0.0,0,0.0,2,11.1,2,11.1,2882,1.4,0,0.0,0,0.0,-45,-5.3
"13235","1","102","72","0","2016","3","","Pulaski County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,20,16,16,202380,0,0,898,"",2.91,0.36,0.28,0.29,0.26,0.00,0.00,0.85,"",0,0.0,2,11.1,-2,-11.1,-2,-11.1,-42404,-17.3,0,0.0,0,0.0,-148,-14.1
"13235","1","102","72","0","2016","4","","Pulaski County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,17,19,19,210154,0,0,882,"",2.91,0.31,0.35,0.34,0.28,0.00,0.00,0.85,"",0,0.0,-5,-22.7,0,0.0,1,5.6,-32709,-13.5,0,0.0,0,0.0,-68,-7.2
"13235","1","1021","73","0","2016","1","","Pulaski County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,16,14,16,182080,0,0,913,"",1.45,1.20,1.04,1.20,1.51,0.00,0.00,1.32,"",0,0.0,1,6.7,1,7.7,1,6.7,-14814,-7.5,0,0.0,0,0.0,-144,-13.6
"13235","1","1021","73","0","2016","2","","Pulaski County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,17,17,17,174655,0,0,790,"",1.45,1.30,1.29,1.27,1.49,0.00,0.00,1.16,"",0,0.0,3,21.4,2,13.3,2,13.3,2107,1.2,0,0.0,0,0.0,-115,-12.7
"13235","1","1021","73","0","2016","3","","Pulaski County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,17,16,16,202069,0,0,952,"",1.45,1.24,1.15,1.17,1.43,0.00,0.00,1.20,"",0,0.0,2,13.3,1,6.7,1,6.7,-2471,-1.2,0,0.0,0,0.0,-97,-9.2
"13235","1","1021","73","0","2016","4","","Pulaski County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,17,15,14,209834,0,0,1053,"",1.46,1.24,1.10,1.00,1.37,0.00,0.00,1.23,"",0,0.0,1,6.2,-1,-6.2,-1,-6.7,886,0.4,0,0.0,0,0.0,27,2.6
"13235","1","1028","73","0","2016","1","","Pulaski County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,40047,0,0,1027,"",5.34,0.10,0.10,0.10,0.09,0.00,0.00,0.92,"",0,0.0,0,0.0,0,0.0,0,0.0,1365,3.5,0,0.0,0,0.0,35,3.5
"13235","1","1028","73","0","2016","2","","Pulaski County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,3,3,3,34259,0,0,878,"",5.35,0.10,0.10,0.10,0.09,0.00,0.00,0.86,"",0,0.0,-3,-50.0,0,0.0,0,0.0,775,2.3,0,0.0,0,0.0,234,36.3
"13235","1","1028","73","0","2016","3","","Pulaski County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,3,0,0,311,0,0,24,"",5.34,0.10,0.00,0.00,0.00,0.00,0.00,0.02,"",0,0.0,0,0.0,-3,-100.0,-3,-100.0,-39933,-99.2,0,0.0,0,0.0,-1008,-97.7
"13235","1","1028","73","0","2016","4","","Pulaski County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,0,4,5,320,0,0,8,"",5.35,0.00,0.13,0.16,0.00,0.00,0.00,0.01,"",0,0.0,-6,-100.0,1,33.3,2,66.7,-33595,-99.1,0,0.0,0,0.0,-644,-98.8
"13235","1","48-49","74","0","2016","1","","Pulaski County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,14,16,182080,0,0,913,"",1.50,1.32,1.14,1.31,1.63,0.00,0.00,1.29,"",0,0.0,1,6.7,1,7.7,1,6.7,-14814,-7.5,0,0.0,0,0.0,-144,-13.6
"13235","1","48-49","74","0","2016","2","","Pulaski County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,17,17,17,174655,0,0,790,"",1.49,1.42,1.41,1.39,1.61,0.00,0.00,1.14,"",0,0.0,3,21.4,2,13.3,2,13.3,2107,1.2,0,0.0,0,0.0,-115,-12.7
"13235","1","48-49","74","0","2016","3","","Pulaski County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,17,16,16,202069,0,0,952,"",1.50,1.36,1.26,1.28,1.53,0.00,0.00,1.18,"",0,0.0,2,13.3,1,6.7,1,6.7,-2471,-1.2,0,0.0,0,0.0,-97,-9.2
"13235","1","48-49","74","0","2016","4","","Pulaski County, Georgia","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,17,15,14,209834,0,0,1053,"",1.50,1.36,1.21,1.09,1.48,0.00,0.00,1.22,"",0,0.0,1,6.2,-1,-6.2,-1,-6.7,886,0.4,0,0.0,0,0.0,27,2.6
"13235","1","491","75","0","2016","1","","Pulaski County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,14,16,182080,0,0,913,"",1.51,1.35,1.17,1.34,1.71,0.00,0.00,1.33,"",0,0.0,1,6.7,1,7.7,1,6.7,-14814,-7.5,0,0.0,0,0.0,-144,-13.6
"13235","1","491","75","0","2016","2","","Pulaski County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,17,17,17,174655,0,0,790,"",1.50,1.45,1.44,1.41,1.68,0.00,0.00,1.17,"",0,0.0,3,21.4,2,13.3,2,13.3,2107,1.2,0,0.0,0,0.0,-115,-12.7
"13235","1","491","75","0","2016","3","","Pulaski County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,17,16,16,202069,0,0,952,"",1.51,1.38,1.29,1.31,1.60,0.00,0.00,1.21,"",0,0.0,2,13.3,1,6.7,1,6.7,-2471,-1.2,0,0.0,0,0.0,-97,-9.2
"13235","1","491","75","0","2016","4","","Pulaski County, Georgia","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,17,15,14,209834,0,0,1053,"",1.51,1.39,1.24,1.11,1.54,0.00,0.00,1.24,"",0,0.0,1,6.2,-1,-6.2,-1,-6.7,886,0.4,0,0.0,0,0.0,27,2.6
"13235","1","4911","76","0","2016","1","","Pulaski County, Georgia","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,14,16,182080,0,0,913,"",1.51,1.35,1.17,1.34,1.71,0.00,0.00,1.33,"",0,0.0,1,6.7,1,7.7,1,6.7,-14814,-7.5,0,0.0,0,0.0,-144,-13.6
