"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13269","0","10","70","0","2016","1","","Taylor County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",163,1886,2058,2248,17283252,10411608,197539,644,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.9,368,24.2,397,23.9,605,36.8,4917812,39.8,3040805,41.3,62081,45.8,52,8.8
"13269","0","10","70","0","2016","2","","Taylor County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",166,2546,2672,2820,21261807,7391777,177787,610,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.6,880,52.8,926,53.0,1075,61.6,8459662,66.1,4525456,157.9,105748,146.8,37,6.5
"13269","0","10","70","0","2016","3","","Taylor County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",164,2779,2667,2237,23748872,5383205,132116,713,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-3.5,1054,61.1,908,51.6,633,39.5,9288544,64.2,3674340,215.0,87618,196.9,57,8.7
"13269","0","10","70","0","2016","4","","Taylor County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",163,2015,1863,1718,18080224,1815636,33351,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.6,388,23.8,189,11.3,19,1.1,1704966,10.4,332039,22.4,751,2.3,-10,-1.3
"13269","1","10","71","0","2016","1","","Taylor County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,21,20,21,170008,0,0,633,"",5.85,0.56,0.49,0.47,0.35,0.00,0.00,0.68,"",1,20.0,3,16.7,4,25.0,5,31.2,-28167,-14.2,0,0.0,0,0.0,-282,-30.8
"13269","1","10","71","0","2016","2","","Taylor County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,22,22,21,173328,0,0,615,"",5.80,0.44,0.42,0.38,0.30,0.00,0.00,0.72,"",0,0.0,3,15.8,3,15.8,1,5.0,762,0.4,0,0.0,0,0.0,-72,-10.5
"13269","1","10","71","0","2016","3","","Taylor County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,22,21,20,202823,0,0,743,"",5.92,0.40,0.40,0.45,0.28,0.00,0.00,0.66,"",0,0.0,4,22.2,1,5.0,0,0.0,-17176,-7.8,0,0.0,0,0.0,-132,-15.1
"13269","1","10","71","0","2016","4","","Taylor County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,21,21,21,215010,0,0,788,"",5.99,0.53,0.58,0.62,0.42,0.00,0.00,0.73,"",0,0.0,0,0.0,-1,-4.5,0,0.0,-8505,-3.8,0,0.0,0,0.0,-18,-2.2
"13269","1","102","72","0","2016","1","","Taylor County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,21,20,21,170008,0,0,633,"",5.86,0.57,0.50,0.48,0.35,0.00,0.00,0.68,"",1,20.0,3,16.7,4,25.0,5,31.2,-28167,-14.2,0,0.0,0,0.0,-282,-30.8
"13269","1","102","72","0","2016","2","","Taylor County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,22,22,21,173328,0,0,615,"",5.81,0.45,0.43,0.39,0.30,0.00,0.00,0.72,"",0,0.0,3,15.8,3,15.8,1,5.0,762,0.4,0,0.0,0,0.0,-72,-10.5
"13269","1","102","72","0","2016","3","","Taylor County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,22,21,20,202823,0,0,743,"",5.93,0.41,0.41,0.46,0.28,0.00,0.00,0.67,"",0,0.0,4,22.2,1,5.0,0,0.0,-17176,-7.8,0,0.0,0,0.0,-132,-15.1
"13269","1","102","72","0","2016","4","","Taylor County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,21,21,21,215010,0,0,788,"",6.01,0.54,0.59,0.63,0.43,0.00,0.00,0.73,"",0,0.0,0,0.0,-1,-4.5,0,0.0,-8505,-3.8,0,0.0,0,0.0,-18,-2.2
"13269","1","1021","73","0","2016","1","","Taylor County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,20,21,170008,0,0,633,"",9.76,2.32,2.01,1.94,1.99,0.00,0.00,0.96,"",1,25.0,3,16.7,4,25.0,5,31.2,-28167,-14.2,0,0.0,0,0.0,-282,-30.8
"13269","1","1021","73","0","2016","2","","Taylor County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,22,22,21,173328,0,0,615,"",9.66,1.82,1.73,1.56,1.63,0.00,0.00,0.96,"",0,0.0,3,15.8,3,15.8,1,5.0,762,0.4,0,0.0,0,0.0,-72,-10.5
"13269","1","1021","73","0","2016","3","","Taylor County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,22,21,20,202823,0,0,743,"",9.88,1.65,1.64,1.87,1.53,0.00,0.00,0.89,"",0,0.0,4,22.2,1,5.0,0,0.0,-17176,-7.8,0,0.0,0,0.0,-132,-15.1
"13269","1","1021","73","0","2016","4","","Taylor County, Georgia","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,21,21,215010,0,0,788,"",10.01,2.19,2.37,2.48,2.08,0.00,0.00,0.89,"",0,0.0,0,0.0,-1,-4.5,0,0.0,-8505,-3.8,0,0.0,0,0.0,-18,-2.2
"13269","1","1028","73","0","2016","1","","Taylor County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"13269","1","1028","73","0","2016","2","","Taylor County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",2.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"13269","1","1028","73","0","2016","3","","Taylor County, Georgia","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
