"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13291","0","10","70","0","2016","1","","Union County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",623,6811,6832,6903,54035565,31168982,490462,607,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,3.5,420,6.6,390,6.1,449,7.0,2340743,4.5,2479285,8.6,-10693,-2.1,-12,-1.9
"13291","0","10","70","0","2016","2","","Union County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",630,7012,7023,7062,55467639,13057196,195273,607,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,3.4,384,5.8,281,4.2,328,4.9,3101658,5.9,696978,5.6,-28821,-12.9,6,1.0
"13291","0","10","70","0","2016","3","","Union County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",629,6975,7053,7224,59165011,7149201,109112,642,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.1,300,4.5,295,4.4,351,5.1,5343467,9.9,183544,2.6,-16680,-13.3,30,4.9
"13291","0","10","70","0","2016","4","","Union County, Georgia","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",632,7350,7407,7442,61929877,5660120,86774,644,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.6,421,6.1,441,6.3,455,6.5,4111880,7.1,-5611783,-49.8,-69967,-44.6,5,0.8
"13291","1","10","71","0","2016","1","","Union County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,44,54,48,620198,0,0,980,"",1.78,0.33,0.40,0.35,0.40,0.00,0.00,1.12,"",0,0.0,-6,-12.0,8,17.4,-3,-5.9,-77684,-11.1,0,0.0,0,0.0,-116,-10.6
"13291","1","10","71","0","2016","2","","Union County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,46,49,54,601123,0,0,931,"",1.78,0.34,0.36,0.39,0.40,0.00,0.00,1.09,"",1,16.7,-3,-6.1,6,14.0,9,20.0,10550,1.8,0,0.0,0,0.0,-64,-6.4
"13291","1","10","71","0","2016","3","","Union County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,48,49,49,720593,0,0,1139,"",1.80,0.35,0.35,0.35,0.39,0.00,0.00,1.13,"",0,0.0,3,6.7,3,6.5,4,8.9,38859,5.7,0,0.0,0,0.0,-18,-1.6
"13291","1","10","71","0","2016","4","","Union County, Georgia","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,47,50,54,781158,0,0,1194,"",1.80,0.33,0.35,0.37,0.45,0.00,0.00,1.29,"",0,0.0,2,4.4,6,13.6,2,3.8,93170,13.5,0,0.0,0,0.0,68,6.0
"13291","1","102","72","0","2016","1","","Union County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,44,54,48,620198,0,0,980,"",1.79,0.33,0.41,0.36,0.41,0.00,0.00,1.12,"",0,0.0,-6,-12.0,8,17.4,-3,-5.9,-77684,-11.1,0,0.0,0,0.0,-116,-10.6
"13291","1","102","72","0","2016","2","","Union County, Georgia","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,46,49,54,601123,0,0,931,"",1.79,0.34,0.36,0.40,0.40,0.00,0.00,1.09,"",1,16.7,-3,-6.1,6,14.0,9,20.0,10550,1.8,0,0.0,0,0.0,-64,-6.4
