"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16033","0","10","70","0","2016","1","","Clark County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",51,375,376,387,4151174,2705855,32657,842,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-12.1,18,5.0,6,1.6,1,0.3,114722,2.8,140730,5.5,-1214,-3.6,5,0.6
"16033","0","10","70","0","2016","2","","Clark County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",52,401,443,442,3985074,2286500,28168,715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-3.7,-18,-4.3,-20,-4.3,-38,-7.9,-130681,-3.2,-229294,-9.1,-6468,-18.7,18,2.6
"16033","0","10","70","0","2016","3","","Clark County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",51,458,464,455,4633079,2255378,27730,776,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-3.8,-5,-1.1,6,1.3,1,0.2,187476,4.2,29214,1.3,-2746,-9.0,30,4.0
"16033","0","10","70","0","2016","4","","Clark County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",51,432,430,413,4421502,1576708,19310,800,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-1.9,-17,-3.8,11,2.6,5,1.2,139489,3.3,85724,5.7,-1135,-5.6,26,3.4
"16033","1","10","71","0","2016","1","","Clark County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,23,25,27,366570,0,0,1128,"",12.46,3.09,3.36,3.53,3.10,0.00,0.00,0.93,"",0,0.0,-2,-8.0,-1,-3.8,3,12.5,-22387,-5.8,0,0.0,0,0.0,-69,-5.8
"16033","1","10","71","0","2016","2","","Clark County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,27,32,40,366522,0,0,854,"",12.33,3.44,3.69,4.60,3.35,0.00,0.00,0.85,"",0,0.0,1,3.8,4,14.3,7,21.2,9890,2.8,0,0.0,0,0.0,-92,-9.7
"16033","1","10","71","0","2016","3","","Clark County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,42,34,31,559984,0,0,1208,"",12.68,4.61,3.70,3.47,3.90,0.00,0.00,0.99,"",0,0.0,9,27.3,3,9.7,2,6.9,9754,1.8,0,0.0,0,0.0,-157,-11.5
"16033","1","10","71","0","2016","4","","Clark County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,27,27,23,335982,0,0,1007,"",12.77,3.20,3.22,2.83,2.70,0.00,0.00,0.87,"",0,0.0,0,0.0,1,3.8,0,0.0,7277,2.2,0,0.0,0,0.0,9,0.9
"16033","1","102","72","0","2016","1","","Clark County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,23,25,27,366570,0,0,1128,"",12.48,3.14,3.42,3.60,3.16,0.00,0.00,0.93,"",0,0.0,-2,-8.0,-1,-3.8,3,12.5,-22387,-5.8,0,0.0,0,0.0,-69,-5.8
"16033","1","102","72","0","2016","2","","Clark County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,27,32,40,366522,0,0,854,"",12.36,3.50,3.76,4.68,3.41,0.00,0.00,0.85,"",0,0.0,1,3.8,4,14.3,7,21.2,9890,2.8,0,0.0,0,0.0,-92,-9.7
