"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"16045","0","10","70","0","2016","1","","Gem County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",447,3454,3525,3572,26076121,17234066,231533,570,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,6.9,221,6.8,217,6.6,192,5.7,2858655,12.3,1632470,10.5,9165,4.1,30,5.6
"16045","0","10","70","0","2016","2","","Gem County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",455,3654,3679,3694,27195600,16887012,233407,569,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",35,8.3,222,6.5,200,5.7,181,5.2,2696014,11.0,1483994,9.6,9422,4.2,27,5.0
"16045","0","10","70","0","2016","3","","Gem County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",463,3710,3698,3704,28816940,15614248,229954,598,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,7.9,214,6.1,173,4.9,108,3.0,2401040,9.1,1025476,7.0,-3451,-1.5,24,4.2
"16045","0","10","70","0","2016","4","","Gem County, Idaho","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",468,3712,3707,3678,29116297,12460515,177012,605,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",28,6.4,117,3.3,140,3.9,154,4.4,1674215,6.1,-126467,-1.0,-21027,-10.6,12,2.0
"16045","1","10","71","0","2016","1","","Gem County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,69,69,73,1187226,0,0,1298,"",1.78,1.01,0.99,1.03,1.60,0.00,0.00,1.59,"",0,0.0,2,3.0,-2,-2.8,-2,-2.7,-10069,-0.8,0,0.0,0,0.0,1,0.1
"16045","1","10","71","0","2016","2","","Gem County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,79,79,94,1089881,0,0,998,"",1.76,1.10,1.10,1.29,1.46,0.00,0.00,1.25,"",0,0.0,4,5.3,4,5.3,9,10.6,25629,2.4,0,0.0,0,0.0,-47,-4.5
"16045","1","10","71","0","2016","3","","Gem County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,94,89,87,1492929,0,0,1276,"",1.75,1.27,1.22,1.20,1.67,0.00,0.00,1.36,"",0,0.0,9,10.6,2,2.3,4,4.8,87706,6.2,0,0.0,0,0.0,4,0.3
"16045","1","10","71","0","2016","4","","Gem County, Idaho","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,80,81,78,1228094,0,0,1186,"",1.74,1.10,1.12,1.08,1.50,0.00,0.00,1.36,"",0,0.0,3,3.9,7,9.5,6,8.3,157349,14.7,0,0.0,0,0.0,78,7.0
"16045","1","102","72","0","2016","1","","Gem County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,69,69,73,1187226,0,0,1298,"",1.78,1.02,1.01,1.05,1.63,0.00,0.00,1.58,"",0,0.0,2,3.0,-2,-2.8,-2,-2.7,-10069,-0.8,0,0.0,0,0.0,1,0.1
"16045","1","102","72","0","2016","2","","Gem County, Idaho","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,79,79,94,1089881,0,0,998,"",1.77,1.12,1.12,1.32,1.49,0.00,0.00,1.25,"",0,0.0,4,5.3,4,5.3,9,10.6,25629,2.4,0,0.0,0,0.0,-47,-4.5
