"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17000","0","10","50","0","2016","1","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",390155,5762641,5776148,5810838,84526910479,37412527604,1155867422,1124,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6635,-1.7,82563,1.5,78439,1.4,76385,1.3,613399344,0.7,564803981,1.5,-102705936,-8.2,-8,-0.7
"17000","0","10","50","0","2016","2","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",395490,5882318,5922446,5952592,79759174301,14127098800,433324818,1037,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7369,-1.8,60807,1.0,25836,0.4,19096,0.3,2230912541,2.9,223145534,1.6,-41597206,-8.8,23,2.3
"17000","0","10","50","0","2016","3","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",399036,5896515,5917640,5939346,81563636055,8240546496,252406256,1060,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8576,-2.1,40963,0.7,40058,0.7,41249,0.7,3833636710,4.9,110026444,1.4,-24335011,-8.8,43,4.2
"17000","0","10","50","0","2016","4","","Illinois -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",402779,5961517,5971683,5953907,86941656784,6200956378,188461526,1122,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2778,-0.7,30522,0.5,42164,0.7,28103,0.5,-1336002108,-1.5,-269231360,-4.2,-28451084,-13.1,-23,-2.0
"17000","1","10","51","0","2016","1","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2199,79609,79593,79864,1489433546,0,0,1438,"",0.90,0.70,0.70,0.70,0.62,0.00,0.00,0.89,"",-22,-1.0,-374,-0.5,89,0.1,367,0.5,-102243762,-6.4,0,0.0,0,0.0,-99,-6.4
"17000","1","10","51","0","2016","2","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2194,79688,79958,80227,1374971741,0,0,1323,"",0.89,0.69,0.69,0.69,0.63,0.00,0.00,0.91,"",-32,-1.4,-904,-1.1,547,0.7,708,0.9,-5339278,-0.4,0,0.0,0,0.0,-7,-0.5
"17000","1","10","51","0","2016","3","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2193,80249,80043,80063,1603935245,0,0,1540,"",0.89,0.68,0.68,0.69,0.63,0.00,0.00,0.93,"",-22,-1.0,421,0.5,290,0.4,411,0.5,35189294,2.2,0,0.0,0,0.0,27,1.8
"17000","1","10","51","0","2016","4","","Illinois -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",2198,80037,80348,82216,1552265515,0,0,1477,"",0.89,0.69,0.69,0.70,0.63,0.00,0.00,0.91,"",-13,-0.6,584,0.7,413,0.5,802,1.0,63277747,4.2,0,0.0,0,0.0,50,3.5
"17000","1","101","52","0","2016","1","","Illinois -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2112,2104,2110,45015201,0,0,1642,"",0.61,1.05,1.05,1.04,1.09,0.00,0.00,1.04,"",0,0.0,-93,-4.2,-109,-4.9,-99,-4.5,6483292,16.8,0,0.0,0,0.0,300,22.4
"17000","1","101","52","0","2016","2","","Illinois -- Statewide","Federal Government","101 Goods-producing","State, by Domain -- by ownership sector","All establishment sizes",3,2115,2120,2133,38407933,0,0,1392,"",0.61,1.04,1.03,1.01,0.99,0.00,0.00,0.96,"",0,0.0,-80,-3.6,-65,-3.0,-49,-2.2,-6145943,-13.8,0,0.0,0,0.0,-175,-11.2
