"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17063","0","10","70","0","2016","1","","Grundy County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1213,17863,17942,18484,265858452,113847858,3774171,1130,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-1.4,205,1.2,58,0.3,151,0.8,10516221,4.1,1106255,1.0,-338548,-8.2,36,3.3
"17063","0","10","70","0","2016","2","","Grundy County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1227,18782,19047,19019,242053618,46848364,1822052,983,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-24,-1.9,12,0.1,647,3.5,610,3.3,3216629,1.3,-162455,-0.3,-176345,-8.8,-9,-0.9
"17063","0","10","70","0","2016","3","","Grundy County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1234,18866,18953,19889,257106671,25735175,931796,1028,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-32,-2.5,499,2.7,411,2.2,468,2.4,19447763,8.2,-1549969,-5.7,-175221,-15.8,54,5.5
"17063","0","10","70","0","2016","4","","Grundy County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1238,20216,19818,18845,268062096,22842013,932753,1051,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-22,-1.7,548,2.8,541,2.8,-69,-0.4,-6313943,-2.3,-1027391,-4.3,-60228,-6.1,-43,-3.9
"17063","1","10","71","0","2016","1","","Grundy County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,101,104,103,1476869,0,0,1107,"",2.10,0.28,0.29,0.28,0.20,0.00,0.00,0.68,"",0,0.0,-5,-4.7,0,0.0,-4,-3.7,-164050,-10.0,0,0.0,0,0.0,-88,-7.4
"17063","1","10","71","0","2016","2","","Grundy County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,105,104,104,1386242,0,0,1022,"",2.09,0.29,0.28,0.28,0.21,0.00,0.00,0.74,"",0,0.0,0,0.0,1,1.0,0,0.0,-42548,-3.0,0,0.0,0,0.0,-35,-3.3
"17063","1","10","71","0","2016","3","","Grundy County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,102,106,107,1659246,0,0,1216,"",2.10,0.27,0.28,0.27,0.21,0.00,0.00,0.75,"",0,0.0,-5,-4.7,6,6.0,2,1.9,65626,4.1,0,0.0,0,0.0,37,3.1
"17063","1","10","71","0","2016","4","","Grundy County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,102,107,110,1694144,0,0,1226,"",2.10,0.26,0.28,0.30,0.22,0.00,0.00,0.81,"",0,0.0,1,1.0,6,5.9,2,1.9,60255,3.7,0,0.0,0,0.0,10,0.8
"17063","1","102","72","0","2016","1","","Grundy County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,101,104,103,1476869,0,0,1107,"",2.10,0.29,0.30,0.29,0.20,0.00,0.00,0.68,"",0,0.0,-5,-4.7,0,0.0,-4,-3.7,-164050,-10.0,0,0.0,0,0.0,-88,-7.4
"17063","1","102","72","0","2016","2","","Grundy County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,105,104,104,1386242,0,0,1022,"",2.09,0.29,0.28,0.28,0.21,0.00,0.00,0.74,"",0,0.0,0,0.0,1,1.0,0,0.0,-42548,-3.0,0,0.0,0,0.0,-35,-3.3
