"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17113","0","10","70","0","2016","1","","McLean County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3669,82587,83062,83160,958664348,536272101,12027448,889,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-95,-2.5,-559,-0.7,-1022,-1.2,-1213,-1.4,-163754519,-14.6,-12853237,-2.3,-1200919,-9.1,-140,-13.6
"17113","0","10","70","0","2016","2","","McLean County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3710,84267,84157,83321,1262217711,181730755,4868103,1157,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-85,-2.2,-964,-1.1,-1320,-1.5,-2045,-2.4,202301946,19.1,4893611,2.8,-488275,-9.1,202,21.2
"17113","0","10","70","0","2016","3","","McLean County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3712,82565,83105,84137,1061273106,101493612,2763548,980,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-108,-2.8,-790,-0.9,-1076,-1.3,-589,-0.7,83670753,8.6,-661127,-0.6,-312799,-10.2,86,9.6
"17113","0","10","70","0","2016","4","","McLean County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3734,85010,84965,83859,1009291858,76003156,2115502,918,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-50,-1.3,-628,-0.7,-672,-0.8,156,0.2,-109804528,-9.8,-389769,-0.5,-253137,-10.7,-95,-9.4
"17113","1","10","71","0","2016","1","","McLean County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,514,549,522,5871425,0,0,855,"",1.39,0.31,0.33,0.32,0.22,0.00,0.00,0.67,"",0,0.0,-30,-5.5,-24,-4.2,-4,-0.8,-989626,-14.4,0,0.0,0,0.0,-109,-11.3
"17113","1","10","71","0","2016","2","","McLean County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,427,391,391,5040993,0,0,962,"",1.38,0.26,0.24,0.24,0.15,0.00,0.00,0.59,"",0,0.0,-35,-7.6,-15,-3.7,-13,-3.2,-304662,-5.7,0,0.0,0,0.0,-8,-0.8
"17113","1","10","71","0","2016","3","","McLean County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,400,401,404,5784505,0,0,1108,"",1.39,0.24,0.24,0.24,0.18,0.00,0.00,0.72,"",0,0.0,-5,-1.2,0,0.0,-3,-0.7,-221091,-3.7,0,0.0,0,0.0,-35,-3.1
"17113","1","10","71","0","2016","4","","McLean County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,453,423,500,6057292,0,0,1016,"",1.40,0.27,0.26,0.30,0.21,0.00,0.00,0.77,"",0,0.0,54,13.5,-42,-9.0,-6,-1.2,91406,1.5,0,0.0,0,0.0,11,1.1
"17113","1","102","72","0","2016","1","","McLean County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,514,549,522,5871425,0,0,855,"",1.39,0.32,0.34,0.32,0.22,0.00,0.00,0.67,"",0,0.0,-30,-5.5,-24,-4.2,-4,-0.8,-989626,-14.4,0,0.0,0,0.0,-109,-11.3
"17113","1","102","72","0","2016","2","","McLean County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,427,391,391,5040993,0,0,962,"",1.39,0.26,0.24,0.24,0.15,0.00,0.00,0.59,"",0,0.0,-35,-7.6,-15,-3.7,-13,-3.2,-304662,-5.7,0,0.0,0,0.0,-8,-0.8
