"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17139","0","10","70","0","2016","1","","Moultrie County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",356,4713,4789,4822,44322223,34312418,768897,714,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-4.6,57,1.2,36,0.8,57,1.2,1375330,3.2,149728,0.4,-154548,-16.7,15,2.1
"17139","0","10","70","0","2016","2","","Moultrie County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",351,4851,4923,5085,44750479,15453103,365365,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-24,-6.4,80,1.7,11,0.2,80,1.6,1172332,2.7,-40906,-0.3,-51940,-12.4,10,1.5
"17139","0","10","70","0","2016","3","","Moultrie County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",352,4970,4977,4966,47452303,6404981,151211,734,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-5.6,16,0.3,-13,-0.3,81,1.7,2772889,6.2,-231941,-3.5,-40669,-21.2,39,5.6
"17139","0","10","70","0","2016","4","","Moultrie County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",354,5005,4982,4974,47304512,4750089,98614,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-3.8,114,2.3,66,1.3,121,2.5,492390,1.1,9210,0.2,-25742,-20.7,-7,-0.9
"17139","1","10","71","0","2016","1","","Moultrie County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,29,29,26,290257,0,0,797,"",2.68,0.31,0.31,0.27,0.23,0.00,0.00,0.78,"",0,0.0,3,11.5,2,7.4,0,0.0,-69818,-19.4,0,0.0,0,0.0,-255,-24.2
"17139","1","10","71","0","2016","2","","Moultrie County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,25,27,26,303610,0,0,898,"",2.74,0.26,0.28,0.26,0.25,0.00,0.00,0.92,"",0,0.0,-3,-10.7,1,3.8,-1,-3.7,-3243,-1.1,0,0.0,0,0.0,24,2.7
"17139","1","10","71","0","2016","3","","Moultrie County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,28,29,29,350007,0,0,939,"",2.76,0.28,0.29,0.30,0.24,0.00,0.00,0.82,"",0,0.0,-2,-6.7,-1,-3.3,-2,-6.5,-17845,-4.9,0,0.0,0,0.0,6,0.6
"17139","1","10","71","0","2016","4","","Moultrie County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,27,26,32,348070,0,0,945,"",2.76,0.28,0.27,0.33,0.26,0.00,0.00,0.90,"",0,0.0,0,0.0,-2,-7.1,1,3.2,10238,3.0,0,0.0,0,0.0,38,4.2
"17139","1","102","72","0","2016","1","","Moultrie County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,29,29,26,290257,0,0,797,"",2.68,0.32,0.31,0.28,0.23,0.00,0.00,0.78,"",0,0.0,3,11.5,2,7.4,0,0.0,-69818,-19.4,0,0.0,0,0.0,-255,-24.2
"17139","1","102","72","0","2016","2","","Moultrie County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,25,27,26,303610,0,0,898,"",2.75,0.27,0.29,0.26,0.25,0.00,0.00,0.92,"",0,0.0,-3,-10.7,1,3.8,-1,-3.7,-3243,-1.1,0,0.0,0,0.0,24,2.7
"17139","1","102","72","0","2016","3","","Moultrie County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,28,29,29,350007,0,0,939,"",2.76,0.29,0.30,0.30,0.24,0.00,0.00,0.82,"",0,0.0,-2,-6.7,-1,-3.3,-2,-6.5,-17845,-4.9,0,0.0,0,0.0,6,0.6
"17139","1","102","72","0","2016","4","","Moultrie County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,27,26,32,348070,0,0,945,"",2.77,0.28,0.27,0.33,0.27,0.00,0.00,0.90,"",0,0.0,0,0.0,-2,-7.1,1,3.2,10238,3.0,0,0.0,0,0.0,38,4.2
"17139","1","1021","73","0","2016","1","","Moultrie County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,26,25,23,251571,0,0,785,"",3.58,1.15,1.08,0.99,1.15,0.00,0.00,1.07,"",0,0.0,6,30.0,2,8.7,1,4.5,-66646,-20.9,0,0.0,0,0.0,-345,-30.5
"17139","1","1021","73","0","2016","2","","Moultrie County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,22,24,23,272162,0,0,910,"",3.66,0.95,1.02,0.95,1.22,0.00,0.00,1.25,"",0,0.0,-2,-8.3,1,4.3,-1,-4.2,-4077,-1.5,0,0.0,0,0.0,12,1.3
"17139","1","1021","73","0","2016","3","","Moultrie County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,25,26,26,312436,0,0,936,"",3.68,1.05,1.09,1.10,1.18,0.00,0.00,1.09,"",0,0.0,1,4.2,-1,-3.7,-2,-7.1,-20616,-6.2,0,0.0,0,0.0,-37,-3.8
"17139","1","1021","73","0","2016","4","","Moultrie County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,25,24,28,322482,0,0,966,"",3.69,1.05,1.01,1.14,1.19,0.00,0.00,1.11,"",0,0.0,1,4.2,-1,-4.0,4,16.7,16717,5.5,0,0.0,0,0.0,-1,-0.1
"17139","1","1028","73","0","2016","1","","Moultrie County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,4,3,38686,0,0,893,"",2.19,0.06,0.08,0.06,0.05,0.00,0.00,0.76,"",0,0.0,-3,-50.0,0,0.0,-1,-25.0,-3172,-7.6,0,0.0,0,0.0,203,29.4
"17139","1","1028","73","0","2016","2","","Moultrie County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,31448,0,0,806,"",2.25,0.06,0.06,0.06,0.04,0.00,0.00,0.73,"",0,0.0,-1,-25.0,0,0.0,0,0.0,834,2.7,0,0.0,0,0.0,100,14.2
"17139","1","1028","73","0","2016","3","","Moultrie County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,3,37571,0,0,963,"",2.25,0.06,0.06,0.06,0.04,0.00,0.00,0.74,"",0,0.0,-3,-50.0,0,0.0,0,0.0,2771,8.0,0,0.0,0,0.0,294,43.9
"17139","1","1028","73","0","2016","4","","Moultrie County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,2,2,4,25588,0,0,738,"",2.26,0.04,0.04,0.08,0.03,0.00,0.00,0.64,"",0,0.0,-1,-33.3,-1,-33.3,-3,-42.9,-6479,-20.2,0,0.0,0,0.0,169,29.7
"17139","1","48-49","74","0","2016","1","","Moultrie County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,26,25,23,251571,0,0,785,"",3.68,1.26,1.18,1.08,1.24,0.00,0.00,1.05,"",0,0.0,6,30.0,2,8.7,1,4.5,-66646,-20.9,0,0.0,0,0.0,-345,-30.5
"17139","1","48-49","74","0","2016","2","","Moultrie County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,22,24,23,272162,0,0,910,"",3.76,1.05,1.12,1.04,1.32,0.00,0.00,1.23,"",0,0.0,-2,-8.3,1,4.3,-1,-4.2,-4077,-1.5,0,0.0,0,0.0,12,1.3
"17139","1","48-49","74","0","2016","3","","Moultrie County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,25,26,26,312436,0,0,936,"",3.79,1.15,1.19,1.20,1.26,0.00,0.00,1.07,"",0,0.0,1,4.2,-1,-3.7,-2,-7.1,-20616,-6.2,0,0.0,0,0.0,-37,-3.8
"17139","1","48-49","74","0","2016","4","","Moultrie County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,25,24,28,322482,0,0,966,"",3.79,1.15,1.11,1.24,1.29,0.00,0.00,1.10,"",0,0.0,1,4.2,-1,-4.0,4,16.7,16717,5.5,0,0.0,0,0.0,-1,-0.1
"17139","1","491","75","0","2016","1","","Moultrie County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,26,25,23,251571,0,0,785,"",3.71,1.29,1.21,1.11,1.30,0.00,0.00,1.08,"",0,0.0,6,30.0,2,8.7,1,4.5,-66646,-20.9,0,0.0,0,0.0,-345,-30.5
"17139","1","491","75","0","2016","2","","Moultrie County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,22,24,23,272162,0,0,910,"",3.79,1.07,1.14,1.06,1.38,0.00,0.00,1.26,"",0,0.0,-2,-8.3,1,4.3,-1,-4.2,-4077,-1.5,0,0.0,0,0.0,12,1.3
"17139","1","491","75","0","2016","3","","Moultrie County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,25,26,26,312436,0,0,936,"",3.82,1.17,1.22,1.23,1.32,0.00,0.00,1.10,"",0,0.0,1,4.2,-1,-3.7,-2,-7.1,-20616,-6.2,0,0.0,0,0.0,-37,-3.8
"17139","1","491","75","0","2016","4","","Moultrie County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,25,24,28,322482,0,0,966,"",3.82,1.18,1.13,1.27,1.33,0.00,0.00,1.12,"",0,0.0,1,4.2,-1,-4.0,4,16.7,16717,5.5,0,0.0,0,0.0,-1,-0.1
"17139","1","4911","76","0","2016","1","","Moultrie County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,26,25,23,251571,0,0,785,"",3.71,1.29,1.21,1.11,1.30,0.00,0.00,1.08,"",0,0.0,6,30.0,2,8.7,1,4.5,-66646,-20.9,0,0.0,0,0.0,-345,-30.5
"17139","1","4911","76","0","2016","2","","Moultrie County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,22,24,23,272162,0,0,910,"",3.79,1.07,1.14,1.06,1.38,0.00,0.00,1.26,"",0,0.0,-2,-8.3,1,4.3,-1,-4.2,-4077,-1.5,0,0.0,0,0.0,12,1.3
"17139","1","4911","76","0","2016","3","","Moultrie County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,25,26,26,312436,0,0,936,"",3.82,1.17,1.22,1.23,1.32,0.00,0.00,1.10,"",0,0.0,1,4.2,-1,-3.7,-2,-7.1,-20616,-6.2,0,0.0,0,0.0,-37,-3.8
"17139","1","4911","76","0","2016","4","","Moultrie County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,25,24,28,322482,0,0,966,"",3.82,1.18,1.13,1.27,1.33,0.00,0.00,1.12,"",0,0.0,1,4.2,-1,-4.0,4,16.7,16717,5.5,0,0.0,0,0.0,-1,-0.1
"17139","1","49111","77","0","2016","1","","Moultrie County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,26,25,23,251571,0,0,785,"",3.71,1.29,1.21,1.11,1.30,0.00,0.00,1.08,"",0,0.0,6,30.0,2,8.7,1,4.5,-66646,-20.9,0,0.0,0,0.0,-345,-30.5
"17139","1","49111","77","0","2016","2","","Moultrie County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,22,24,23,272162,0,0,910,"",3.79,1.07,1.14,1.06,1.38,0.00,0.00,1.26,"",0,0.0,-2,-8.3,1,4.3,-1,-4.2,-4077,-1.5,0,0.0,0,0.0,12,1.3
