"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17161","0","10","70","0","2016","1","","Rock Island County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3133,71441,71188,71731,894760254,443941298,13047950,963,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-149,-4.5,-32,0.0,-442,-0.6,-176,-0.2,-13717516,-1.5,-1429955,-0.3,-1572773,-10.8,-12,-1.2
"17161","0","10","70","0","2016","2","","Rock Island County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3160,71974,71873,72211,874011859,163080389,4822044,934,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-128,-3.9,-624,-0.9,-1264,-1.7,-1401,-1.9,-18114052,-2.0,3638384,2.3,-88795,-1.8,-5,-0.5
"17161","0","10","70","0","2016","3","","Rock Island County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3160,71195,71990,72378,922483824,82438276,2397379,988,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-135,-4.1,-743,-1.0,-168,-0.2,66,0.1,25480434,2.8,942570,1.2,-224048,-8.5,31,3.2
"17161","0","10","70","0","2016","4","","Rock Island County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3163,72041,71848,72377,1174970983,58628330,1653184,1254,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-90,-2.8,-453,-0.6,-576,-0.8,-251,-0.3,-48546608,-4.0,-3667457,-5.9,-315335,-16.0,-44,-3.4
"17161","1","10","71","0","2016","1","","Rock Island County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,4861,4858,4870,98239003,0,0,1554,"",2.89,3.43,3.45,3.44,3.86,0.00,0.00,1.12,"",-1,-1.7,-66,-1.3,-58,-1.2,-23,-0.5,12453020,14.5,0,0.0,0,0.0,211,15.7
"17161","1","10","71","0","2016","2","","Rock Island County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,4881,4903,4910,84717327,0,0,1330,"",2.89,3.46,3.49,3.46,3.53,0.00,0.00,1.02,"",-1,-1.7,-15,-0.3,27,0.6,15,0.3,-10554313,-11.1,0,0.0,0,0.0,-169,-11.3
"17161","1","10","71","0","2016","3","","Rock Island County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,4936,4960,4965,99764303,0,0,1549,"",2.92,3.49,3.48,3.49,3.49,0.00,0.00,1.00,"",-1,-1.7,27,0.6,44,0.9,56,1.1,14262277,16.7,0,0.0,0,0.0,210,15.7
"17161","1","10","71","0","2016","4","","Rock Island County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,4994,5005,5079,88419400,0,0,1353,"",2.93,3.55,3.58,3.56,2.67,0.00,0.00,0.75,"",-1,-1.7,99,2.0,119,2.4,171,3.5,-9749082,-9.9,0,0.0,0,0.0,-189,-12.3
"17161","1","101","72","0","2016","1","","Rock Island County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,2104,2096,2102,44791602,0,0,1640,"",50.24,84.49,84.54,83.96,102.61,0.00,0.00,1.22,"",0,0.0,-93,-4.2,-109,-4.9,-99,-4.5,6488266,16.9,0,0.0,0,0.0,301,22.5
"17161","1","101","72","0","2016","2","","Rock Island County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,2107,2112,2123,38228083,0,0,1391,"",50.62,84.45,84.64,83.10,89.89,0.00,0.00,1.07,"",0,0.0,-80,-3.7,-65,-3.0,-51,-2.3,-6155142,-13.9,0,0.0,0,0.0,-176,-11.2
"17161","1","101","72","0","2016","3","","Rock Island County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,2143,2151,2172,45550355,0,0,1626,"",51.04,83.55,83.18,84.35,86.38,0.00,0.00,1.03,"",0,0.0,-11,-0.5,14,0.7,37,1.7,7363159,19.3,0,0.0,0,0.0,255,18.6
"17161","1","101","72","0","2016","4","","Rock Island County, Illinois","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,2189,2219,2259,40025019,0,0,1385,"",51.36,85.88,87.88,89.93,66.10,0.00,0.00,0.75,"",0,0.0,58,2.7,101,4.8,138,6.5,-4659819,-10.4,0,0.0,0,0.0,-234,-14.5
"17161","1","1013","73","0","2016","1","","Rock Island County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,2104,2096,2102,44791602,0,0,1640,"",139.30,88.85,88.99,88.52,107.54,0.00,0.00,1.21,"",0,0.0,-93,-4.2,-109,-4.9,-99,-4.5,6488266,16.9,0,0.0,0,0.0,301,22.5
"17161","1","1013","73","0","2016","2","","Rock Island County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,2107,2112,2123,38228083,0,0,1391,"",136.11,89.45,90.37,90.20,94.46,0.00,0.00,1.05,"",0,0.0,-80,-3.7,-65,-3.0,-51,-2.3,-6155142,-13.9,0,0.0,0,0.0,-176,-11.2
"17161","1","1013","73","0","2016","3","","Rock Island County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,2143,2151,2172,45550355,0,0,1626,"",134.27,90.75,90.27,91.18,92.48,0.00,0.00,1.02,"",0,0.0,-11,-0.5,14,0.7,37,1.7,7363159,19.3,0,0.0,0,0.0,255,18.6
"17161","1","1013","73","0","2016","4","","Rock Island County, Illinois","Federal Government","1013 Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,2189,2219,2259,40025019,0,0,1385,"",135.11,92.22,93.58,94.79,69.13,0.00,0.00,0.74,"",0,0.0,58,2.7,101,4.8,138,6.5,-4659819,-10.4,0,0.0,0,0.0,-234,-14.5
"17161","1","102","72","0","2016","1","","Rock Island County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,2757,2762,2768,53447401,0,0,1488,"",2.79,1.98,1.99,1.99,2.14,0.00,0.00,1.07,"",-1,-1.8,27,1.0,51,1.9,76,2.8,5964754,12.6,0,0.0,0,0.0,141,10.5
"17161","1","102","72","0","2016","2","","Rock Island County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,2774,2791,2787,46489244,0,0,1285,"",2.80,2.00,2.02,2.00,1.97,0.00,0.00,0.98,"",-1,-1.8,65,2.4,92,3.4,66,2.4,-4399171,-8.6,0,0.0,0,0.0,-160,-11.1
"17161","1","102","72","0","2016","3","","Rock Island County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,2793,2809,2793,54213948,0,0,1490,"",2.82,2.01,2.01,2.00,1.93,0.00,0.00,0.96,"",-1,-1.8,38,1.4,30,1.1,19,0.7,6899118,14.6,0,0.0,0,0.0,176,13.4
"17161","1","102","72","0","2016","4","","Rock Island County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",55,2805,2786,2820,48394381,0,0,1328,"",2.84,2.03,2.03,2.01,1.49,0.00,0.00,0.74,"",-1,-1.8,41,1.5,18,0.7,33,1.2,-5089263,-9.5,0,0.0,0,0.0,-156,-10.5
"17161","1","1021","73","0","2016","1","","Rock Island County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,385,382,384,5057597,0,0,1014,"",1.93,1.12,1.11,1.11,1.14,0.00,0.00,1.03,"",0,0.0,6,1.6,4,1.1,1,0.3,-1177262,-18.9,0,0.0,0,0.0,-248,-19.7
"17161","1","1021","73","0","2016","2","","Rock Island County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,380,385,390,4898637,0,0,979,"",1.93,1.11,1.13,1.13,1.12,0.00,0.00,1.00,"",0,0.0,-13,-3.3,4,1.0,12,3.2,-119871,-2.4,0,0.0,0,0.0,-26,-2.6
"17161","1","1021","73","0","2016","3","","Rock Island County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,383,390,388,5821109,0,0,1157,"",1.95,1.12,1.13,1.12,1.13,0.00,0.00,1.00,"",0,0.0,1,0.3,8,2.1,2,0.5,-23047,-0.4,0,0.0,0,0.0,-16,-1.4
"17161","1","1021","73","0","2016","4","","Rock Island County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",19,395,386,411,6153957,0,0,1191,"",1.96,1.15,1.13,1.15,0.92,0.00,0.00,0.80,"",0,0.0,17,4.5,-6,-1.5,7,1.7,-60725,-1.0,0,0.0,0,0.0,-31,-2.5
"17161","1","1023","73","0","2016","1","","Rock Island County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,62398,0,0,2400,"",3.83,0.29,0.29,0.30,0.33,0.00,0.00,1.11,"",0,0.0,1,100.0,1,100.0,0,0.0,19856,46.7,0,0.0,0,0.0,-54,-2.2
"17161","1","1023","73","0","2016","2","","Rock Island County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,59735,0,0,2298,"",3.84,0.30,0.30,0.30,0.36,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,0,0.0,11471,23.8,0,0.0,0,0.0,442,23.8
"17161","1","1023","73","0","2016","3","","Rock Island County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,50558,0,0,1945,"",3.87,0.30,0.30,0.31,0.27,0.00,0.00,0.90,"",0,0.0,0,0.0,0,0.0,0,0.0,-5750,-10.2,0,0.0,0,0.0,-221,-10.2
"17161","1","1023","73","0","2016","4","","Rock Island County, Illinois","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,58985,0,0,2269,"",3.89,0.31,0.31,0.31,0.29,0.00,0.00,0.95,"",0,0.0,0,0.0,0,0.0,0,0.0,10721,22.2,0,0.0,0,0.0,413,22.3
"17161","1","1024","73","0","2016","1","","Rock Island County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,395,400,398,8351937,0,0,1616,"",12.47,12.08,12.32,12.19,12.43,0.00,0.00,1.02,"",-1,-14.3,-10,-2.5,-3,-0.7,-1,-0.3,1163042,16.2,0,0.0,0,0.0,242,17.6
"17161","1","1024","73","0","2016","2","","Rock Island County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,395,393,391,6953486,0,0,1361,"",12.44,12.13,12.10,11.84,11.43,0.00,0.00,0.95,"",-1,-14.3,-7,-1.7,-7,-1.8,-14,-3.5,-1107616,-13.7,0,0.0,0,0.0,-180,-11.7
"17161","1","1024","73","0","2016","3","","Rock Island County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,395,393,394,8056598,0,0,1573,"",12.57,11.89,11.78,11.91,10.98,0.00,0.00,0.92,"",-1,-14.3,-18,-4.4,-14,-3.4,-4,-1.0,966182,13.6,0,0.0,0,0.0,230,17.1
"17161","1","1024","73","0","2016","4","","Rock Island County, Illinois","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",6,392,393,401,6987484,0,0,1360,"",12.61,12.00,12.09,12.26,8.78,0.00,0.00,0.73,"",-1,-14.3,-4,-1.0,-7,-1.8,2,0.5,-1054161,-13.1,0,0.0,0,0.0,-193,-12.4
"17161","1","1025","73","0","2016","1","","Rock Island County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,107,104,105,887401,0,0,648,"",9.04,0.52,0.51,0.51,0.26,0.00,0.00,0.51,"",0,0.0,-12,-10.1,-8,-7.1,-4,-3.7,32511,3.8,0,0.0,0,0.0,68,11.7
"17161","1","1025","73","0","2016","2","","Rock Island County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,105,110,119,1005497,0,0,695,"",8.99,0.51,0.54,0.58,0.30,0.00,0.00,0.55,"",0,0.0,-2,-1.9,7,6.8,2,1.7,37462,3.9,0,0.0,0,0.0,12,1.8
"17161","1","1025","73","0","2016","3","","Rock Island County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,121,121,117,1057619,0,0,680,"",9.01,0.60,0.59,0.57,0.26,0.00,0.00,0.45,"",0,0.0,5,4.3,2,1.7,12,11.4,180248,20.5,0,0.0,0,0.0,84,14.1
"17161","1","1025","73","0","2016","4","","Rock Island County, Illinois","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,119,116,119,1116597,0,0,728,"",9.01,0.58,0.57,0.58,0.23,0.00,0.00,0.40,"",0,0.0,14,13.3,16,16.0,16,15.5,225043,25.2,0,0.0,0,0.0,60,9.0
"17161","1","1026","73","0","2016","1","","Rock Island County, Illinois","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,34,32,32,224180,0,0,528,"",7.79,1.41,1.33,1.30,0.84,0.00,0.00,0.63,"",0,0.0,-4,-10.5,-7,-17.9,-2,-5.9,-12368,-5.2,0,0.0,0,0.0,36,7.3
"17161","1","1026","73","0","2016","2","","Rock Island County, Illinois","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,40,45,48,317929,0,0,552,"",7.84,1.61,1.72,1.70,1.20,0.00,0.00,0.72,"",0,0.0,-5,-11.1,-3,-6.2,0,0.0,-21076,-6.2,0,0.0,0,0.0,-3,-0.5
"17161","1","1026","73","0","2016","3","","Rock Island County, Illinois","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,46,49,50,289627,0,0,461,"",7.89,1.63,1.74,1.83,0.90,0.00,0.00,0.52,"",0,0.0,-3,-6.1,0,0.0,1,2.0,-12494,-4.1,0,0.0,0,0.0,-13,-2.7
"17161","1","1026","73","0","2016","4","","Rock Island County, Illinois","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,47,43,43,300474,0,0,521,"",7.93,1.85,1.78,1.76,0.95,0.00,0.00,0.53,"",0,0.0,-4,-7.8,-3,-6.5,2,4.9,-21983,-6.8,0,0.0,0,0.0,-18,-3.3
"17161","1","1028","73","0","2016","1","","Rock Island County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",21,1834,1842,1847,38863888,0,0,1624,"",2.61,2.37,2.40,2.40,2.44,0.00,0.00,1.02,"",0,0.0,46,2.6,64,3.6,82,4.6,5938975,18.0,0,0.0,0,0.0,199,14.0
"17161","1","1028","73","0","2016","2","","Rock Island County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",21,1852,1856,1837,33253960,0,0,1384,"",2.62,2.41,2.43,2.37,2.26,0.00,0.00,0.94,"",0,0.0,92,5.2,91,5.2,66,3.7,-3199541,-8.8,0,0.0,0,0.0,-204,-12.8
