"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17169","0","10","70","0","2016","1","","Schuyler County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",165,1456,1467,1462,14138436,6959158,150099,744,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-5.7,-482,-24.9,-439,-23.0,-463,-24.1,-7301803,-34.1,-5480281,-44.1,-72611,-32.6,-114,-13.3
"17169","0","10","70","0","2016","2","","Schuyler County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",164,1539,1596,1629,14400167,4472856,130982,698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-5.7,-437,-22.1,-389,-19.6,-410,-20.1,-5403063,-27.3,-436655,-8.9,-35446,-21.3,-64,-8.4
"17169","0","10","70","0","2016","3","","Schuyler County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",160,1560,1553,1578,14106964,2306424,62026,694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-9.6,-436,-21.8,-429,-21.6,-409,-20.6,-7778120,-35.5,-532647,-18.8,-41904,-40.3,-153,-18.1
"17169","0","10","70","0","2016","4","","Schuyler County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",162,1620,1511,1492,15575674,1507910,39871,778,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-6.9,-282,-14.8,-299,-16.5,-308,-17.1,-6250903,-28.6,-256245,-14.5,-331,-0.8,-136,-14.9
"17169","1","10","71","0","2016","1","","Schuyler County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,21,23,26,204166,0,0,673,"",6.74,0.73,0.79,0.90,0.51,0.00,0.00,0.63,"",0,0.0,-4,-16.0,-2,-8.0,-1,-3.7,-45945,-18.4,0,0.0,0,0.0,-77,-10.3
"17169","1","10","71","0","2016","2","","Schuyler County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,23,23,23,200096,0,0,669,"",6.84,0.76,0.74,0.72,0.51,0.00,0.00,0.68,"",0,0.0,-2,-8.0,1,4.5,0,0.0,-16016,-7.4,0,0.0,0,0.0,-43,-6.0
"17169","1","10","71","0","2016","3","","Schuyler County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,23,23,23,234153,0,0,783,"",7.07,0.74,0.75,0.74,0.54,0.00,0.00,0.72,"",0,0.0,-2,-8.0,0,0.0,0,0.0,-19729,-7.8,0,0.0,0,0.0,-42,-5.1
"17169","1","10","71","0","2016","4","","Schuyler County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,22,22,25,219278,0,0,733,"",7.04,0.70,0.75,0.85,0.50,0.00,0.00,0.65,"",0,0.0,0,0.0,-1,-4.3,-2,-7.4,-12711,-5.5,0,0.0,0,0.0,-11,-1.5
"17169","1","102","72","0","2016","1","","Schuyler County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,21,23,26,204166,0,0,673,"",6.75,0.74,0.81,0.92,0.52,0.00,0.00,0.63,"",0,0.0,-4,-16.0,-2,-8.0,-1,-3.7,-45945,-18.4,0,0.0,0,0.0,-77,-10.3
"17169","1","102","72","0","2016","2","","Schuyler County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,23,23,23,200096,0,0,669,"",6.86,0.78,0.75,0.73,0.52,0.00,0.00,0.68,"",0,0.0,-2,-8.0,1,4.5,0,0.0,-16016,-7.4,0,0.0,0,0.0,-43,-6.0
