"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17181","0","10","70","0","2016","1","","Union County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",365,4768,4796,4857,37230478,21348306,627596,596,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-3.9,35,0.7,57,1.2,95,2.0,-1271174,-3.3,1014918,5.0,18266,3.0,-28,-4.5
"17181","0","10","70","0","2016","2","","Union County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",366,5056,5089,5072,39690818,13042492,386927,602,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-3.2,208,4.3,130,2.6,157,3.2,-57735,-0.1,206322,1.6,-22002,-5.4,-21,-3.4
"17181","0","10","70","0","2016","3","","Union County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",367,4921,4945,5101,41265696,8101326,242010,636,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-15,-3.9,97,2.0,54,1.1,98,2.0,588250,1.4,109012,1.4,-17774,-6.8,-2,-0.3
"17181","0","10","70","0","2016","4","","Union County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",368,5159,5062,4985,42811468,5524363,166620,650,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,174,3.5,163,3.3,114,2.3,87026,0.2,266358,5.1,-4461,-2.6,-18,-2.7
"17181","1","10","71","0","2016","1","","Union County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,52,51,57,575090,0,0,829,"",4.79,0.55,0.54,0.59,0.54,0.00,0.00,0.97,"",0,0.0,-4,-7.1,-7,-12.1,3,5.6,-123713,-17.7,0,0.0,0,0.0,-131,-13.6
"17181","1","10","71","0","2016","2","","Union County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,52,55,67,599388,0,0,795,"",4.82,0.53,0.55,0.67,0.55,0.00,0.00,0.94,"",0,0.0,-6,-10.3,-1,-1.8,9,15.5,-14,0.0,0,0.0,0,0.0,-9,-1.1
"17181","1","10","71","0","2016","3","","Union County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,71,65,63,782745,0,0,908,"",4.85,0.73,0.66,0.63,0.61,0.00,0.00,0.91,"",0,0.0,2,2.9,7,12.1,1,1.6,-4305,-0.5,0,0.0,0,0.0,-53,-5.5
"17181","1","10","71","0","2016","4","","Union County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,57,59,64,672761,0,0,863,"",4.87,0.57,0.60,0.65,0.56,0.00,0.00,0.92,"",0,0.0,0,0.0,2,3.5,3,4.9,25870,4.0,0,0.0,0,0.0,10,1.2
"17181","1","102","72","0","2016","1","","Union County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,52,51,57,575090,0,0,829,"",4.80,0.56,0.55,0.60,0.55,0.00,0.00,0.97,"",0,0.0,-4,-7.1,-7,-12.1,3,5.6,-123713,-17.7,0,0.0,0,0.0,-131,-13.6
"17181","1","102","72","0","2016","2","","Union County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,52,55,67,599388,0,0,795,"",4.83,0.53,0.56,0.68,0.56,0.00,0.00,0.94,"",0,0.0,-6,-10.3,-1,-1.8,9,15.5,-14,0.0,0,0.0,0,0.0,-9,-1.1
"17181","1","102","72","0","2016","3","","Union County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,71,65,63,782745,0,0,908,"",4.86,0.74,0.68,0.64,0.62,0.00,0.00,0.91,"",0,0.0,2,2.9,7,12.1,1,1.6,-4305,-0.5,0,0.0,0,0.0,-53,-5.5
"17181","1","102","72","0","2016","4","","Union County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,57,59,64,672761,0,0,863,"",4.88,0.58,0.61,0.66,0.57,0.00,0.00,0.92,"",0,0.0,0,0.0,2,3.5,3,4.9,25870,4.0,0,0.0,0,0.0,10,1.2
"17181","1","1021","73","0","2016","1","","Union County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,38,37,37,378431,0,0,780,"",6.10,1.66,1.60,1.58,2.05,0.00,0.00,1.28,"",0,0.0,5,15.2,4,12.1,3,8.8,-73250,-16.2,0,0.0,0,0.0,-262,-25.1
"17181","1","1021","73","0","2016","2","","Union County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,37,38,39,383783,0,0,777,"",6.13,1.54,1.57,1.61,1.94,0.00,0.00,1.23,"",0,0.0,4,12.1,4,11.8,4,11.4,4349,1.1,0,0.0,0,0.0,-81,-9.4
"17181","1","1021","73","0","2016","3","","Union County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,37,37,37,439874,0,0,914,"",6.18,1.57,1.56,1.52,1.91,0.00,0.00,1.23,"",0,0.0,2,5.7,2,5.7,0,0.0,-7242,-1.6,0,0.0,0,0.0,-50,-5.2
"17181","1","1021","73","0","2016","4","","Union County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,37,40,41,450215,0,0,880,"",6.21,1.51,1.66,1.67,1.84,0.00,0.00,1.14,"",0,0.0,1,2.8,3,8.1,3,7.9,7109,1.6,0,0.0,0,0.0,-41,-4.5
"17181","1","1028","73","0","2016","1","","Union County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,14,20,196659,0,0,945,"",4.27,0.27,0.27,0.38,0.30,0.00,0.00,0.96,"",0,0.0,-9,-39.1,-11,-44.0,0,0.0,-50463,-20.4,0,0.0,0,0.0,106,12.6
"17181","1","1028","73","0","2016","2","","Union County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,15,17,28,215605,0,0,829,"",4.31,0.28,0.31,0.52,0.32,0.00,0.00,0.87,"",0,0.0,-10,-40.0,-5,-22.7,5,21.7,-4363,-2.0,0,0.0,0,0.0,104,14.3
"17181","1","1028","73","0","2016","3","","Union County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,34,28,26,342871,0,0,899,"",4.32,0.64,0.53,0.48,0.44,0.00,0.00,0.80,"",0,0.0,0,0.0,5,21.7,1,4.0,2937,0.9,0,0.0,0,0.0,-58,-6.1
"17181","1","1028","73","0","2016","4","","Union County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,20,19,23,222546,0,0,828,"",4.35,0.37,0.35,0.43,0.31,0.00,0.00,0.81,"",0,0.0,-1,-4.8,-1,-5.0,0,0.0,18761,9.2,0,0.0,0,0.0,93,12.7
"17181","1","48-49","74","0","2016","1","","Union County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,38,37,37,378431,0,0,780,"",6.28,1.82,1.75,1.73,2.21,0.00,0.00,1.25,"",0,0.0,5,15.2,4,12.1,3,8.8,-73250,-16.2,0,0.0,0,0.0,-262,-25.1
"17181","1","48-49","74","0","2016","2","","Union County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,37,38,39,383783,0,0,777,"",6.31,1.69,1.72,1.77,2.09,0.00,0.00,1.21,"",0,0.0,4,12.1,4,11.8,4,11.4,4349,1.1,0,0.0,0,0.0,-81,-9.4
"17181","1","48-49","74","0","2016","3","","Union County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,37,37,37,439874,0,0,914,"",6.36,1.72,1.71,1.66,2.04,0.00,0.00,1.20,"",0,0.0,2,5.7,2,5.7,0,0.0,-7242,-1.6,0,0.0,0,0.0,-50,-5.2
"17181","1","48-49","74","0","2016","4","","Union County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,37,40,41,450215,0,0,880,"",6.39,1.65,1.82,1.82,1.98,0.00,0.00,1.12,"",0,0.0,1,2.8,3,8.1,3,7.9,7109,1.6,0,0.0,0,0.0,-41,-4.5
"17181","1","491","75","0","2016","1","","Union County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,38,37,37,378431,0,0,780,"",6.32,1.86,1.79,1.77,2.33,0.00,0.00,1.29,"",0,0.0,5,15.2,4,12.1,3,8.8,-73250,-16.2,0,0.0,0,0.0,-262,-25.1
"17181","1","491","75","0","2016","2","","Union County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,37,38,39,383783,0,0,777,"",6.36,1.72,1.75,1.80,2.19,0.00,0.00,1.24,"",0,0.0,4,12.1,4,11.8,4,11.4,4349,1.1,0,0.0,0,0.0,-81,-9.4
"17181","1","491","75","0","2016","3","","Union County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,37,37,37,439874,0,0,914,"",6.41,1.75,1.74,1.70,2.14,0.00,0.00,1.23,"",0,0.0,2,5.7,2,5.7,0,0.0,-7242,-1.6,0,0.0,0,0.0,-50,-5.2
"17181","1","491","75","0","2016","4","","Union County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,37,40,41,450215,0,0,880,"",6.43,1.69,1.86,1.86,2.06,0.00,0.00,1.14,"",0,0.0,1,2.8,3,8.1,3,7.9,7109,1.6,0,0.0,0,0.0,-41,-4.5
"17181","1","4911","76","0","2016","1","","Union County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,38,37,37,378431,0,0,780,"",6.32,1.86,1.79,1.77,2.33,0.00,0.00,1.29,"",0,0.0,5,15.2,4,12.1,3,8.8,-73250,-16.2,0,0.0,0,0.0,-262,-25.1
"17181","1","4911","76","0","2016","2","","Union County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,37,38,39,383783,0,0,777,"",6.36,1.72,1.75,1.80,2.19,0.00,0.00,1.24,"",0,0.0,4,12.1,4,11.8,4,11.4,4349,1.1,0,0.0,0,0.0,-81,-9.4
"17181","1","4911","76","0","2016","3","","Union County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,37,37,37,439874,0,0,914,"",6.41,1.75,1.74,1.70,2.14,0.00,0.00,1.23,"",0,0.0,2,5.7,2,5.7,0,0.0,-7242,-1.6,0,0.0,0,0.0,-50,-5.2
"17181","1","4911","76","0","2016","4","","Union County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,37,40,41,450215,0,0,880,"",6.43,1.69,1.86,1.86,2.06,0.00,0.00,1.14,"",0,0.0,1,2.8,3,8.1,3,7.9,7109,1.6,0,0.0,0,0.0,-41,-4.5
