"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17199","0","10","70","0","2016","1","","Williamson County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1489,27240,27320,27615,253701708,143577627,4011725,712,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-54,-3.5,913,3.5,824,3.1,1065,4.0,5632358,2.3,4284762,3.1,-230738,-5.4,-9,-1.2
"17199","0","10","70","0","2016","2","","Williamson County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1506,27989,28368,28109,256894476,71653850,1979369,702,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-36,-2.3,909,3.4,712,2.6,850,3.1,1316782,0.5,1148785,1.6,-249860,-11.2,-17,-2.4
"17199","0","10","70","0","2016","3","","Williamson County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1516,27923,27996,28221,276992676,40297119,1134939,760,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-36,-2.3,1162,4.3,900,3.3,965,3.5,23643986,9.3,1857467,4.8,-136933,-10.8,39,5.4
"17199","0","10","70","0","2016","4","","Williamson County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1527,28175,28490,28418,279692922,30611926,849478,759,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.5,1000,3.7,1216,4.5,894,3.2,1268807,0.5,-66186,-0.2,-146930,-14.7,-25,-3.2
"17199","1","10","71","0","2016","1","","Williamson County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,1680,1669,1671,31490657,0,0,1448,"",2.56,3.11,3.09,3.06,4.36,0.00,0.00,1.42,"",1,4.3,-6,-0.4,-17,-1.0,-26,-1.5,-339822,-1.1,0,0.0,0,0.0,-1,-0.1
"17199","1","10","71","0","2016","2","","Williamson County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,1661,1663,1665,24269418,0,0,1123,"",2.56,3.03,3.00,3.01,3.44,0.00,0.00,1.14,"",1,4.3,-46,-2.7,-51,-3.0,-45,-2.6,-2718440,-10.1,0,0.0,0,0.0,-91,-7.5
"17199","1","10","71","0","2016","3","","Williamson County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,1668,1651,1657,32039119,0,0,1486,"",2.56,3.00,2.98,2.99,3.73,0.00,0.00,1.25,"",1,4.3,-34,-2.0,-50,-2.9,-34,-2.0,960702,3.1,0,0.0,0,0.0,78,5.5
"17199","1","10","71","0","2016","4","","Williamson County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,1647,1653,1669,30697520,0,0,1426,"",2.56,3.00,2.98,2.98,3.89,0.00,0.00,1.30,"",0,0.0,-56,-3.3,-40,-2.4,-12,-0.7,3363063,12.3,0,0.0,0,0.0,184,14.8
"17199","1","102","72","0","2016","1","","Williamson County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,1680,1669,1671,31490657,0,0,1448,"",2.57,3.16,3.14,3.12,4.44,0.00,0.00,1.41,"",1,4.3,-6,-0.4,-17,-1.0,-26,-1.5,-339822,-1.1,0,0.0,0,0.0,-1,-0.1
"17199","1","102","72","0","2016","2","","Williamson County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,1661,1663,1665,24269418,0,0,1123,"",2.56,3.09,3.05,3.07,3.51,0.00,0.00,1.14,"",1,4.3,-46,-2.7,-51,-3.0,-45,-2.6,-2718440,-10.1,0,0.0,0,0.0,-91,-7.5
