"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"17203","0","10","70","0","2016","1","","Woodford County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",800,9727,9706,9808,87467228,55770444,1598895,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-24,-2.9,-833,-7.9,-836,-7.9,-885,-8.3,-6809973,-7.2,-5966114,-9.7,-337814,-17.4,6,0.9
"17203","0","10","70","0","2016","2","","Woodford County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",803,10025,10028,9887,92062070,24044498,702591,710,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-28,-3.4,-1162,-10.4,-1121,-10.1,-1213,-10.9,-8295341,-8.3,-2367220,-9.0,-189706,-21.3,17,2.5
"17203","0","10","70","0","2016","3","","Woodford County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",805,9756,9833,10057,99056661,12728699,337874,771,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-36,-4.3,-1177,-10.8,-1062,-9.7,-1077,-9.7,-3674217,-3.6,-785299,-5.8,-90861,-21.2,52,7.2
"17203","0","10","70","0","2016","4","","Woodford County, Illinois","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",812,10036,9816,9723,104846145,9647649,251481,818,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-1.6,-993,-9.0,-1103,-10.1,-1047,-9.7,-16313366,-13.5,-1255802,-11.5,-82563,-24.7,-37,-4.3
"17203","1","10","71","0","2016","1","","Woodford County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,73,73,68,768042,0,0,828,"",2.78,0.38,0.38,0.35,0.31,0.00,0.00,0.84,"",0,0.0,7,10.6,8,12.3,0,0.0,-103948,-11.9,0,0.0,0,0.0,-183,-18.1
"17203","1","10","71","0","2016","2","","Woodford County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,68,69,71,785908,0,0,872,"",2.80,0.35,0.35,0.37,0.31,0.00,0.00,0.88,"",0,0.0,3,4.6,-1,-1.4,2,2.9,8891,1.1,0,0.0,0,0.0,-7,-0.8
"17203","1","10","71","0","2016","3","","Woodford County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,71,73,76,947937,0,0,994,"",2.81,0.37,0.37,0.38,0.31,0.00,0.00,0.82,"",0,0.0,5,7.6,4,5.8,6,8.6,45634,5.1,0,0.0,0,0.0,-22,-2.2
"17203","1","10","71","0","2016","4","","Woodford County, Illinois","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,70,77,80,988167,0,0,1005,"",2.81,0.36,0.40,0.42,0.33,0.00,0.00,0.85,"",0,0.0,-1,-1.4,10,14.9,6,8.1,88346,9.8,0,0.0,0,0.0,26,2.7
"17203","1","102","72","0","2016","1","","Woodford County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,73,73,68,768042,0,0,828,"",2.79,0.38,0.39,0.36,0.31,0.00,0.00,0.83,"",0,0.0,7,10.6,8,12.3,0,0.0,-103948,-11.9,0,0.0,0,0.0,-183,-18.1
"17203","1","102","72","0","2016","2","","Woodford County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,68,69,71,785908,0,0,872,"",2.80,0.35,0.36,0.37,0.32,0.00,0.00,0.88,"",0,0.0,3,4.6,-1,-1.4,2,2.9,8891,1.1,0,0.0,0,0.0,-7,-0.8
"17203","1","102","72","0","2016","3","","Woodford County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,71,73,76,947937,0,0,994,"",2.82,0.37,0.38,0.39,0.31,0.00,0.00,0.82,"",0,0.0,5,7.6,4,5.8,6,8.6,45634,5.1,0,0.0,0,0.0,-22,-2.2
"17203","1","102","72","0","2016","4","","Woodford County, Illinois","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,70,77,80,988167,0,0,1005,"",2.81,0.36,0.41,0.42,0.34,0.00,0.00,0.85,"",0,0.0,-1,-1.4,10,14.9,6,8.1,88346,9.8,0,0.0,0,0.0,26,2.7
"17203","1","1021","73","0","2016","1","","Woodford County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,62,62,61,651791,0,0,813,"",4.38,1.33,1.32,1.29,1.51,0.00,0.00,1.15,"",0,0.0,3,5.1,4,6.9,2,3.4,-108604,-14.3,0,0.0,0,0.0,-184,-18.5
"17203","1","1021","73","0","2016","2","","Woodford County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,61,62,63,689024,0,0,855,"",4.39,1.28,1.30,1.34,1.50,0.00,0.00,1.15,"",0,0.0,3,5.2,-1,-1.6,2,3.3,8166,1.2,0,0.0,0,0.0,-8,-0.9
"17203","1","1021","73","0","2016","3","","Woodford County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,63,65,66,832137,0,0,990,"",4.43,1.35,1.38,1.38,1.50,0.00,0.00,1.10,"",0,0.0,5,8.6,4,6.6,4,6.5,43193,5.5,0,0.0,0,0.0,-16,-1.6
"17203","1","1021","73","0","2016","4","","Woodford County, Illinois","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,63,67,70,898805,0,0,1037,"",4.42,1.32,1.44,1.46,1.50,0.00,0.00,1.07,"",0,0.0,0,0.0,8,13.6,7,11.1,95197,11.8,0,0.0,0,0.0,35,3.5
"17203","1","1028","73","0","2016","1","","Woodford County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,11,7,116251,0,0,925,"",1.46,0.10,0.11,0.07,0.07,0.00,0.00,0.81,"",0,0.0,4,57.1,4,57.1,-2,-22.2,4656,4.2,0,0.0,0,0.0,-195,-17.4
"17203","1","1028","73","0","2016","2","","Woodford County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,8,96884,0,0,1016,"",1.47,0.07,0.07,0.08,0.06,0.00,0.00,0.91,"",0,0.0,0,0.0,0,0.0,0,0.0,725,0.8,0,0.0,0,0.0,7,0.7
"17203","1","1028","73","0","2016","3","","Woodford County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,10,115800,0,0,1028,"",1.48,0.08,0.08,0.09,0.06,0.00,0.00,0.75,"",0,0.0,0,0.0,0,0.0,2,25.0,2441,2.2,0,0.0,0,0.0,-62,-5.7
"17203","1","1028","73","0","2016","4","","Woodford County, Illinois","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,10,10,89362,0,0,764,"",1.48,0.07,0.10,0.10,0.05,0.00,0.00,0.59,"",0,0.0,-1,-12.5,2,25.0,-1,-9.1,-6851,-7.1,0,0.0,0,0.0,-58,-7.1
"17203","1","48-49","74","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,62,62,61,651791,0,0,813,"",4.50,1.45,1.45,1.41,1.62,0.00,0.00,1.13,"",0,0.0,3,5.1,4,6.9,2,3.4,-108604,-14.3,0,0.0,0,0.0,-184,-18.5
"17203","1","48-49","74","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,61,62,63,689024,0,0,855,"",4.52,1.40,1.42,1.46,1.62,0.00,0.00,1.13,"",0,0.0,3,5.2,-1,-1.6,2,3.3,8166,1.2,0,0.0,0,0.0,-8,-0.9
"17203","1","48-49","74","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,63,65,66,832137,0,0,990,"",4.56,1.47,1.51,1.50,1.61,0.00,0.00,1.08,"",0,0.0,5,8.6,4,6.6,4,6.5,43193,5.5,0,0.0,0,0.0,-16,-1.6
"17203","1","48-49","74","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,63,67,70,898805,0,0,1037,"",4.55,1.45,1.57,1.59,1.62,0.00,0.00,1.05,"",0,0.0,0,0.0,8,13.6,7,11.1,95197,11.8,0,0.0,0,0.0,35,3.5
"17203","1","491","75","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,62,62,61,651791,0,0,813,"",4.53,1.49,1.48,1.44,1.71,0.00,0.00,1.16,"",0,0.0,3,5.1,4,6.9,2,3.4,-108604,-14.3,0,0.0,0,0.0,-184,-18.5
"17203","1","491","75","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,61,62,63,689024,0,0,855,"",4.55,1.43,1.45,1.49,1.69,0.00,0.00,1.16,"",0,0.0,3,5.2,-1,-1.6,2,3.3,8166,1.2,0,0.0,0,0.0,-8,-0.9
"17203","1","491","75","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,63,65,66,832137,0,0,990,"",4.59,1.51,1.54,1.54,1.68,0.00,0.00,1.10,"",0,0.0,5,8.6,4,6.6,4,6.5,43193,5.5,0,0.0,0,0.0,-16,-1.6
"17203","1","491","75","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,63,67,70,898805,0,0,1037,"",4.58,1.48,1.61,1.62,1.68,0.00,0.00,1.07,"",0,0.0,0,0.0,8,13.6,7,11.1,95197,11.8,0,0.0,0,0.0,35,3.5
"17203","1","4911","76","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,62,62,61,651791,0,0,813,"",4.53,1.49,1.48,1.44,1.71,0.00,0.00,1.16,"",0,0.0,3,5.1,4,6.9,2,3.4,-108604,-14.3,0,0.0,0,0.0,-184,-18.5
"17203","1","4911","76","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,61,62,63,689024,0,0,855,"",4.55,1.43,1.45,1.49,1.69,0.00,0.00,1.16,"",0,0.0,3,5.2,-1,-1.6,2,3.3,8166,1.2,0,0.0,0,0.0,-8,-0.9
"17203","1","4911","76","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,63,65,66,832137,0,0,990,"",4.59,1.51,1.54,1.54,1.68,0.00,0.00,1.10,"",0,0.0,5,8.6,4,6.6,4,6.5,43193,5.5,0,0.0,0,0.0,-16,-1.6
"17203","1","4911","76","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,63,67,70,898805,0,0,1037,"",4.58,1.48,1.61,1.62,1.68,0.00,0.00,1.07,"",0,0.0,0,0.0,8,13.6,7,11.1,95197,11.8,0,0.0,0,0.0,35,3.5
"17203","1","49111","77","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,62,62,61,651791,0,0,813,"",4.53,1.49,1.48,1.44,1.71,0.00,0.00,1.16,"",0,0.0,3,5.1,4,6.9,2,3.4,-108604,-14.3,0,0.0,0,0.0,-184,-18.5
"17203","1","49111","77","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,61,62,63,689024,0,0,855,"",4.55,1.43,1.45,1.49,1.69,0.00,0.00,1.16,"",0,0.0,3,5.2,-1,-1.6,2,3.3,8166,1.2,0,0.0,0,0.0,-8,-0.9
"17203","1","49111","77","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,63,65,66,832137,0,0,990,"",4.59,1.51,1.54,1.54,1.68,0.00,0.00,1.10,"",0,0.0,5,8.6,4,6.6,4,6.5,43193,5.5,0,0.0,0,0.0,-16,-1.6
"17203","1","49111","77","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,63,67,70,898805,0,0,1037,"",4.58,1.48,1.61,1.62,1.68,0.00,0.00,1.07,"",0,0.0,0,0.0,8,13.6,7,11.1,95197,11.8,0,0.0,0,0.0,35,3.5
"17203","1","491110","78","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,62,62,61,651791,0,0,813,"",4.53,1.49,1.48,1.44,1.71,0.00,0.00,1.16,"",0,0.0,3,5.1,4,6.9,2,3.4,-108604,-14.3,0,0.0,0,0.0,-184,-18.5
"17203","1","491110","78","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,61,62,63,689024,0,0,855,"",4.55,1.43,1.45,1.49,1.69,0.00,0.00,1.16,"",0,0.0,3,5.2,-1,-1.6,2,3.3,8166,1.2,0,0.0,0,0.0,-8,-0.9
"17203","1","491110","78","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,63,65,66,832137,0,0,990,"",4.59,1.51,1.54,1.54,1.68,0.00,0.00,1.10,"",0,0.0,5,8.6,4,6.6,4,6.5,43193,5.5,0,0.0,0,0.0,-16,-1.6
"17203","1","491110","78","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,63,67,70,898805,0,0,1037,"",4.58,1.48,1.61,1.62,1.68,0.00,0.00,1.07,"",0,0.0,0,0.0,8,13.6,7,11.1,95197,11.8,0,0.0,0,0.0,35,3.5
"17203","1","92","74","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,11,7,116251,0,0,925,"",1.46,0.10,0.11,0.07,0.07,0.00,0.00,0.81,"",0,0.0,4,57.1,4,57.1,-2,-22.2,4656,4.2,0,0.0,0,0.0,-195,-17.4
"17203","1","92","74","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,7,8,96884,0,0,1016,"",1.47,0.07,0.07,0.08,0.06,0.00,0.00,0.91,"",0,0.0,0,0.0,0,0.0,0,0.0,725,0.8,0,0.0,0,0.0,7,0.7
"17203","1","92","74","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,8,10,115800,0,0,1028,"",1.48,0.08,0.08,0.09,0.06,0.00,0.00,0.75,"",0,0.0,0,0.0,0,0.0,2,25.0,2441,2.2,0,0.0,0,0.0,-62,-5.7
"17203","1","92","74","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,10,10,89362,0,0,764,"",1.48,0.07,0.10,0.10,0.05,0.00,0.00,0.59,"",0,0.0,-1,-12.5,2,25.0,-1,-9.1,-6851,-7.1,0,0.0,0,0.0,-58,-7.1
"17203","1","924","75","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,2,39348,0,0,1135,"",2.15,0.46,0.47,0.31,0.43,0.00,0.00,1.03,"",0,0.0,1,50.0,1,50.0,0,0.0,6981,21.6,0,0.0,0,0.0,-110,-8.8
"17203","1","924","75","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.16,0.30,0.29,0.27,0.31,0.00,0.00,1.10,"",0,0.0,0,0.0,0,0.0,-1,-33.3,-2996,-9.6,0,0.0,0,0.0,56,5.4
"17203","1","924","75","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,33246,0,0,1279,"",2.18,0.27,0.27,0.27,0.27,0.00,0.00,1.00,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-3707,-10.0,0,0.0,0,0.0,331,34.9
"17203","1","924","75","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.19,0.28,0.30,0.31,0.29,0.00,0.00,0.98,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-1821,-6.0,0,0.0,0,0.0,316,40.9
"17203","1","9241","76","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,2,39348,0,0,1135,"",2.15,0.46,0.47,0.31,0.43,0.00,0.00,1.03,"",0,0.0,1,50.0,1,50.0,0,0.0,6981,21.6,0,0.0,0,0.0,-110,-8.8
"17203","1","9241","76","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.16,0.30,0.29,0.27,0.31,0.00,0.00,1.10,"",0,0.0,0,0.0,0,0.0,-1,-33.3,-2996,-9.6,0,0.0,0,0.0,56,5.4
"17203","1","9241","76","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,33246,0,0,1279,"",2.18,0.27,0.27,0.27,0.27,0.00,0.00,1.00,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-3707,-10.0,0,0.0,0,0.0,331,34.9
"17203","1","9241","76","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.19,0.28,0.30,0.31,0.29,0.00,0.00,0.98,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-1821,-6.0,0,0.0,0,0.0,316,40.9
"17203","1","92412","77","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,2,39348,0,0,1135,"",2.26,0.57,0.58,0.38,0.57,0.00,0.00,1.13,"",0,0.0,1,50.0,1,50.0,0,0.0,6981,21.6,0,0.0,0,0.0,-110,-8.8
"17203","1","92412","77","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.27,0.36,0.35,0.32,0.41,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,-1,-33.3,-2996,-9.6,0,0.0,0,0.0,56,5.4
"17203","1","92412","77","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,33246,0,0,1279,"",2.29,0.32,0.32,0.33,0.35,0.00,0.00,1.08,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-3707,-10.0,0,0.0,0,0.0,331,34.9
"17203","1","92412","77","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.30,0.34,0.37,0.38,0.38,0.00,0.00,1.06,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-1821,-6.0,0,0.0,0,0.0,316,40.9
"17203","1","924120","78","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,3,2,39348,0,0,1135,"",2.26,0.57,0.58,0.38,0.57,0.00,0.00,1.13,"",0,0.0,1,50.0,1,50.0,0,0.0,6981,21.6,0,0.0,0,0.0,-110,-8.8
"17203","1","924120","78","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.27,0.36,0.35,0.32,0.41,0.00,0.00,1.21,"",0,0.0,0,0.0,0,0.0,-1,-33.3,-2996,-9.6,0,0.0,0,0.0,56,5.4
"17203","1","924120","78","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,33246,0,0,1279,"",2.29,0.32,0.32,0.33,0.35,0.00,0.00,1.08,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-3707,-10.0,0,0.0,0,0.0,331,34.9
"17203","1","924120","78","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,28325,0,0,1089,"",2.30,0.34,0.37,0.38,0.38,0.00,0.00,1.06,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-1821,-6.0,0,0.0,0,0.0,316,40.9
"17203","1","926","75","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,8,5,76903,0,0,845,"",2.93,0.48,0.48,0.30,0.29,0.00,0.00,0.69,"",0,0.0,3,60.0,3,60.0,-2,-28.6,-2325,-2.9,0,0.0,0,0.0,-230,-21.4
"17203","1","926","75","0","2016","2","","Woodford County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,5,6,68559,0,0,989,"",2.96,0.30,0.30,0.36,0.28,0.00,0.00,0.88,"",0,0.0,0,0.0,0,0.0,1,20.0,3721,5.7,0,0.0,0,0.0,-9,-0.9
"17203","1","926","75","0","2016","3","","Woodford County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,6,8,82554,0,0,953,"",2.98,0.36,0.36,0.47,0.27,0.00,0.00,0.69,"",0,0.0,1,20.0,1,20.0,3,60.0,6148,8.0,0,0.0,0,0.0,-222,-18.9
"17203","1","926","75","0","2016","4","","Woodford County, Illinois","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,8,8,61037,0,0,671,"",2.98,0.30,0.48,0.48,0.22,0.00,0.00,0.53,"",0,0.0,0,0.0,3,60.0,0,0.0,-5030,-7.6,0,0.0,0,0.0,-176,-20.8
"17203","1","9261","76","0","2016","1","","Woodford County, Illinois","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,8,5,76903,0,0,845,"",2.93,0.48,0.48,0.30,0.29,0.00,0.00,0.69,"",0,0.0,3,60.0,3,60.0,-2,-28.6,-2325,-2.9,0,0.0,0,0.0,-230,-21.4
