"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18001","0","10","70","0","2016","1","","Adams County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",689,13003,13092,13160,108646436,68761400,2222124,639,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-2.7,-14,-0.1,-4,0.0,-23,-0.2,-1671764,-1.5,32762,0.0,-165498,-6.9,-9,-1.4
"18001","0","10","70","0","2016","2","","Adams County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",691,13487,13435,13480,114969821,20515159,505811,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-13,-1.8,7,0.1,51,0.4,-2,0.0,4750835,4.3,592428,3.0,-87299,-14.7,27,4.3
"18001","0","10","70","0","2016","3","","Adams County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",699,13083,13263,13606,123092877,11265803,258538,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.9,-118,-0.9,-297,-2.2,-52,-0.4,8824245,7.7,372559,3.4,-21551,-7.7,59,9.0
"18001","0","10","70","0","2016","4","","Adams County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",702,13252,13440,13432,124294342,9904898,237067,715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.7,-178,-1.3,28,0.2,-90,-0.7,-1530570,-1.2,535100,5.7,20634,9.5,-4,-0.6
"18001","1","10","71","0","2016","1","","Adams County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,62,62,62,641607,0,0,796,"",1.38,0.24,0.24,0.24,0.21,0.00,0.00,0.87,"",-1,-14.3,2,3.3,7,12.7,6,10.7,-111412,-14.8,0,0.0,0,0.0,-220,-21.7
"18001","1","10","71","0","2016","2","","Adams County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,59,61,64,628359,0,0,788,"",1.39,0.22,0.23,0.24,0.20,0.00,0.00,0.86,"",-1,-14.3,-2,-3.3,4,7.0,8,14.3,-29823,-4.5,0,0.0,0,0.0,-85,-9.7
"18001","1","10","71","0","2016","3","","Adams County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,58,61,58,743842,0,0,970,"",1.39,0.22,0.23,0.22,0.19,0.00,0.00,0.87,"",0,0.0,-4,-6.5,7,13.0,0,0.0,25263,3.5,0,0.0,0,0.0,17,1.8
"18001","1","10","71","0","2016","4","","Adams County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,63,61,63,760467,0,0,938,"",1.39,0.24,0.23,0.24,0.22,0.00,0.00,0.91,"",0,0.0,8,14.5,5,8.9,7,12.5,29544,4.0,0,0.0,0,0.0,-72,-7.1
"18001","1","102","72","0","2016","1","","Adams County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,62,62,62,641607,0,0,796,"",1.39,0.24,0.24,0.24,0.21,0.00,0.00,0.87,"",-1,-14.3,2,3.3,7,12.7,6,10.7,-111412,-14.8,0,0.0,0,0.0,-220,-21.7
"18001","1","102","72","0","2016","2","","Adams County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,59,61,64,628359,0,0,788,"",1.39,0.23,0.24,0.25,0.20,0.00,0.00,0.86,"",-1,-14.3,-2,-3.3,4,7.0,8,14.3,-29823,-4.5,0,0.0,0,0.0,-85,-9.7
"18001","1","102","72","0","2016","3","","Adams County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,58,61,58,743842,0,0,970,"",1.39,0.23,0.24,0.22,0.20,0.00,0.00,0.87,"",0,0.0,-4,-6.5,7,13.0,0,0.0,25263,3.5,0,0.0,0,0.0,17,1.8
"18001","1","102","72","0","2016","4","","Adams County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,63,61,63,760467,0,0,938,"",1.39,0.25,0.24,0.24,0.22,0.00,0.00,0.91,"",0,0.0,8,14.5,5,8.9,7,12.5,29544,4.0,0,0.0,0,0.0,-72,-7.1
"18001","1","1021","73","0","2016","1","","Adams County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,55,56,55,600475,0,0,835,"",2.31,0.88,0.89,0.87,1.12,0.00,0.00,1.27,"",-1,-16.7,3,5.8,5,9.8,3,5.8,-107408,-15.2,0,0.0,0,0.0,-219,-20.8
