"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18013","0","10","70","0","2016","1","","Brown County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",317,2748,2788,2890,17514434,9966948,171700,480,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-3.1,77,2.9,99,3.7,132,4.8,964075,5.8,386573,4.0,-25822,-13.1,10,2.1
"18013","0","10","70","0","2016","2","","Brown County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",316,3066,3163,3256,19802051,6215954,124468,482,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-4.8,82,2.7,50,1.6,59,1.8,1415242,7.7,297414,5.0,-11258,-8.3,25,5.5
"18013","0","10","70","0","2016","3","","Brown County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",318,3093,3190,3163,20623308,3728544,72180,504,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-2.8,21,0.7,-32,-1.0,-87,-2.7,1092450,5.6,-233822,-5.9,-15482,-17.7,32,6.8
"18013","0","10","70","0","2016","4","","Brown County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",319,3225,3157,3013,22461325,3041063,55342,552,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-3.0,-50,-1.5,12,0.4,-48,-1.6,595058,2.7,-172018,-5.4,-14082,-20.3,20,3.8
"18013","1","10","71","0","2016","1","","Brown County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,14,14,13,148889,0,0,838,"",1.00,0.26,0.25,0.23,0.30,0.00,0.00,1.22,"",0,0.0,-1,-6.7,1,7.7,0,0.0,-42687,-22.3,0,0.0,0,0.0,-240,-22.3
"18013","1","10","71","0","2016","2","","Brown County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,12,12,15,153441,0,0,908,"",1.01,0.20,0.19,0.23,0.28,0.00,0.00,1.34,"",0,0.0,-4,-25.0,-2,-14.3,1,7.1,-3204,-2.0,0,0.0,0,0.0,86,10.5
"18013","1","10","71","0","2016","3","","Brown County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,13,14,14,184386,0,0,1038,"",1.02,0.21,0.22,0.23,0.29,0.00,0.00,1.31,"",0,0.0,-1,-7.1,0,0.0,0,0.0,2600,1.4,0,0.0,0,0.0,39,3.9
"18013","1","10","71","0","2016","4","","Brown County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,14,14,14,208095,0,0,1143,"",1.02,0.22,0.23,0.24,0.33,0.00,0.00,1.44,"",0,0.0,0,0.0,0,0.0,0,0.0,18271,9.6,0,0.0,0,0.0,100,9.6
"18013","1","102","72","0","2016","1","","Brown County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,14,14,13,148889,0,0,838,"",1.00,0.26,0.26,0.23,0.30,0.00,0.00,1.21,"",0,0.0,-1,-6.7,1,7.7,0,0.0,-42687,-22.3,0,0.0,0,0.0,-240,-22.3
"18013","1","102","72","0","2016","2","","Brown County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,12,12,15,153441,0,0,908,"",1.02,0.20,0.20,0.24,0.29,0.00,0.00,1.34,"",0,0.0,-4,-25.0,-2,-14.3,1,7.1,-3204,-2.0,0,0.0,0,0.0,86,10.5
