"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18025","0","10","70","0","2016","1","","Crawford County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",166,1929,1954,1985,14152769,8834845,147977,557,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.2,-14,-0.7,19,1.0,27,1.4,692037,5.1,256939,3.0,-8847,-5.6,25,4.7
"18025","0","10","70","0","2016","2","","Crawford County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",166,2040,2098,2110,14249994,3058482,69543,526,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.2,-1,0.0,-1,0.0,31,1.5,-951367,-6.3,-209640,-6.4,-8834,-11.3,-38,-6.7
"18025","0","10","70","0","2016","3","","Crawford County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",164,1907,2030,2054,15270317,1912644,45086,588,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-3.0,-50,-2.6,-45,-2.2,-47,-2.2,389237,2.6,-102465,-5.1,-8140,-15.3,28,5.0
"18025","0","10","70","0","2016","4","","Crawford County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",164,1943,1913,1920,15203364,1225607,25779,607,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.2,-74,-3.7,-88,-4.4,-69,-3.5,-164076,-1.1,-234507,-16.1,-10979,-29.9,17,2.9
"18025","1","10","71","0","2016","1","","Crawford County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,21,20,20,198124,0,0,750,"",4.78,0.55,0.52,0.51,0.49,0.00,0.00,0.94,"",0,0.0,-1,-4.5,-1,-4.8,-1,-4.8,-41831,-17.4,0,0.0,0,0.0,-115,-13.3
"18025","1","10","71","0","2016","2","","Crawford County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,19,20,20,194774,0,0,762,"",4.83,0.48,0.49,0.48,0.50,0.00,0.00,1.03,"",0,0.0,-2,-9.5,-2,-9.1,-2,-9.1,-4523,-2.3,0,0.0,0,0.0,54,7.6
"18025","1","10","71","0","2016","3","","Crawford County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,20,22,22,232103,0,0,837,"",4.93,0.53,0.55,0.55,0.49,0.00,0.00,0.91,"",0,0.0,-2,-9.1,0,0.0,0,0.0,2032,0.9,0,0.0,0,0.0,33,4.1
"18025","1","10","71","0","2016","4","","Crawford County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,21,21,21,242177,0,0,887,"",4.96,0.55,0.56,0.55,0.56,0.00,0.00,1.01,"",0,0.0,0,0.0,1,5.0,1,5.0,10915,4.7,0,0.0,0,0.0,12,1.4
"18025","1","102","72","0","2016","1","","Crawford County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,21,20,20,198124,0,0,750,"",4.79,0.56,0.53,0.52,0.50,0.00,0.00,0.94,"",0,0.0,-1,-4.5,-1,-4.8,-1,-4.8,-41831,-17.4,0,0.0,0,0.0,-115,-13.3
"18025","1","102","72","0","2016","2","","Crawford County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,19,20,20,194774,0,0,762,"",4.84,0.48,0.50,0.49,0.51,0.00,0.00,1.03,"",0,0.0,-2,-9.5,-2,-9.1,-2,-9.1,-4523,-2.3,0,0.0,0,0.0,54,7.6
"18025","1","102","72","0","2016","3","","Crawford County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,20,22,22,232103,0,0,837,"",4.94,0.54,0.56,0.56,0.50,0.00,0.00,0.91,"",0,0.0,-2,-9.1,0,0.0,0,0.0,2032,0.9,0,0.0,0,0.0,33,4.1
"18025","1","102","72","0","2016","4","","Crawford County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,21,21,21,242177,0,0,887,"",4.97,0.56,0.57,0.56,0.58,0.00,0.00,1.01,"",0,0.0,0,0.0,1,5.0,1,5.0,10915,4.7,0,0.0,0,0.0,12,1.4
"18025","1","1021","73","0","2016","1","","Crawford County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,20,20,198124,0,0,750,"",9.59,2.26,2.12,2.09,2.83,0.00,0.00,1.31,"",0,0.0,-1,-4.5,-1,-4.8,-1,-4.8,-41831,-17.4,0,0.0,0,0.0,-115,-13.3
"18025","1","1021","73","0","2016","2","","Crawford County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,19,20,20,194774,0,0,762,"",9.66,1.96,2.00,1.99,2.74,0.00,0.00,1.38,"",0,0.0,-2,-9.5,-2,-9.1,-2,-9.1,-4523,-2.3,0,0.0,0,0.0,54,7.6
"18025","1","1021","73","0","2016","3","","Crawford County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,20,22,22,232103,0,0,837,"",9.88,2.19,2.26,2.24,2.72,0.00,0.00,1.22,"",0,0.0,-2,-9.1,0,0.0,0,0.0,2032,0.9,0,0.0,0,0.0,33,4.1
"18025","1","1021","73","0","2016","4","","Crawford County, Indiana","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,21,21,242177,0,0,887,"",9.95,2.28,2.31,2.22,2.78,0.00,0.00,1.23,"",0,0.0,0,0.0,1,5.0,1,5.0,10915,4.7,0,0.0,0,0.0,12,1.4
"18025","1","48-49","74","0","2016","1","","Crawford County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,20,20,198124,0,0,750,"",9.86,2.48,2.32,2.29,3.05,0.00,0.00,1.29,"",0,0.0,-1,-4.5,-1,-4.8,-1,-4.8,-41831,-17.4,0,0.0,0,0.0,-115,-13.3
"18025","1","48-49","74","0","2016","2","","Crawford County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,19,20,20,194774,0,0,762,"",9.94,2.15,2.19,2.18,2.96,0.00,0.00,1.36,"",0,0.0,-2,-9.5,-2,-9.1,-2,-9.1,-4523,-2.3,0,0.0,0,0.0,54,7.6
"18025","1","48-49","74","0","2016","3","","Crawford County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,20,22,22,232103,0,0,837,"",10.17,2.39,2.47,2.45,2.91,0.00,0.00,1.19,"",0,0.0,-2,-9.1,0,0.0,0,0.0,2032,0.9,0,0.0,0,0.0,33,4.1
"18025","1","48-49","74","0","2016","4","","Crawford County, Indiana","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,21,21,242177,0,0,887,"",10.24,2.49,2.53,2.42,3.01,0.00,0.00,1.21,"",0,0.0,0,0.0,1,5.0,1,5.0,10915,4.7,0,0.0,0,0.0,12,1.4
