"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18049","0","10","70","0","2016","1","","Fulton County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",471,5894,5895,5933,51336802,28168268,593041,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-119,-2.0,-149,-2.5,-161,-2.6,-52169,-0.1,-614769,-2.1,-109438,-15.6,15,2.3
"18049","0","10","70","0","2016","2","","Fulton County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",472,6121,6205,6314,56928067,10279785,261838,705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-136,-2.2,-196,-3.1,-213,-3.3,-96878,-0.2,-846057,-7.6,-59179,-18.4,19,2.8
"18049","0","10","70","0","2016","3","","Fulton County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",470,6209,6269,6277,57416842,5590660,134514,706,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-73,-1.2,-90,-1.4,-109,-1.7,800538,1.4,-31646,-0.6,-27383,-16.9,19,2.8
"18049","0","10","70","0","2016","4","","Fulton County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",470,6327,6341,6308,58299078,3859521,82170,709,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,40,0.6,137,2.2,187,3.1,-5129977,-8.1,-250199,-6.1,-17619,-17.7,-77,-9.8
"18049","1","10","71","0","2016","1","","Fulton County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,44,45,44,483420,0,0,839,"",3.04,0.38,0.39,0.38,0.33,0.00,0.00,0.87,"",1,12.5,-7,-13.7,1,2.3,1,2.3,-92025,-16.0,0,0.0,0,0.0,-123,-12.8
"18049","1","10","71","0","2016","2","","Fulton County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,45,43,44,484850,0,0,848,"",3.06,0.38,0.35,0.35,0.31,0.00,0.00,0.86,"",0,0.0,-4,-8.2,-2,-4.4,1,2.3,-577,-0.1,0,0.0,0,0.0,30,3.7
"18049","1","10","71","0","2016","3","","Fulton County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,46,45,50,596295,0,0,976,"",3.10,0.37,0.36,0.41,0.34,0.00,0.00,0.88,"",0,0.0,0,0.0,5,12.5,6,13.6,43263,7.8,0,0.0,0,0.0,-6,-0.6
"18049","1","10","71","0","2016","4","","Fulton County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,48,42,46,561237,0,0,952,"",2.77,0.39,0.34,0.37,0.34,0.00,0.00,0.93,"",-1,-11.1,3,6.7,-4,-8.7,2,4.5,13754,2.5,0,0.0,0,0.0,16,1.7
"18049","1","102","72","0","2016","1","","Fulton County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,44,45,44,483420,0,0,839,"",3.04,0.38,0.39,0.38,0.34,0.00,0.00,0.87,"",1,12.5,-7,-13.7,1,2.3,1,2.3,-92025,-16.0,0,0.0,0,0.0,-123,-12.8
"18049","1","102","72","0","2016","2","","Fulton County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,45,43,44,484850,0,0,848,"",3.06,0.38,0.36,0.36,0.32,0.00,0.00,0.86,"",0,0.0,-4,-8.2,-2,-4.4,1,2.3,-577,-0.1,0,0.0,0,0.0,30,3.7
