"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18097","0","10","70","0","2016","1","","Marion County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",23504,578818,580808,584495,8071056516,3186626511,67500943,1068,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",259,1.1,10591,1.9,11828,2.1,9657,1.7,126287863,1.6,87159664,2.8,-5966494,-8.1,-3,-0.3
"18097","0","10","70","0","2016","2","","Marion County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",23539,589167,593085,590660,7540343706,932089040,19660750,981,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",273,1.2,8284,1.4,8438,1.4,6389,1.1,286913314,4.0,14556898,1.6,-1875257,-8.7,24,2.5
"18097","0","10","70","0","2016","3","","Marion County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",23702,590435,596479,597897,8017088421,614413757,12967174,1037,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",159,0.7,9728,1.7,8763,1.5,11073,1.9,667492638,9.1,25311849,4.3,-717019,-5.2,71,7.3
"18097","0","10","70","0","2016","4","","Marion County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",23639,595652,598995,597736,8178495809,505761758,10634191,1053,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",38,0.2,6122,1.0,6246,1.1,3149,0.5,42130117,0.5,-25119597,-4.7,-1510324,-12.4,-4,-0.4
"18097","1","10","71","0","2016","1","","Marion County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",87,14707,14775,14870,267421741,0,0,1391,"",0.59,1.28,1.28,1.29,1.16,0.00,0.00,0.91,"",2,2.4,276,1.9,319,2.2,451,3.1,-21931007,-7.6,0,0.0,0,0.0,-151,-9.8
"18097","1","10","71","0","2016","2","","Marion County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",87,14838,14895,14895,253655877,0,0,1312,"",0.59,1.29,1.28,1.28,1.23,0.00,0.00,0.95,"",1,1.2,254,1.7,414,2.9,361,2.5,5342753,2.2,0,0.0,0,0.0,-2,-0.2
"18097","1","10","71","0","2016","3","","Marion County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",87,15029,14946,15080,300731553,0,0,1540,"",0.59,1.28,1.27,1.28,1.21,0.00,0.00,0.95,"",1,1.2,490,3.4,284,1.9,429,2.9,7561420,2.6,0,0.0,0,0.0,-3,-0.2
"18097","1","10","71","0","2016","4","","Marion County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",87,14958,14886,15207,291124361,0,0,1491,"",0.60,1.29,1.28,1.29,1.26,0.00,0.00,0.98,"",0,0.0,341,2.3,244,1.7,311,2.1,24428716,9.2,0,0.0,0,0.0,97,7.0
"18097","1","102","72","0","2016","1","","Marion County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",87,14707,14775,14870,267421741,0,0,1391,"",0.59,1.30,1.31,1.31,1.18,0.00,0.00,0.91,"",2,2.4,276,1.9,319,2.2,451,3.1,-21931007,-7.6,0,0.0,0,0.0,-151,-9.8
"18097","1","102","72","0","2016","2","","Marion County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",87,14838,14895,14895,253655877,0,0,1312,"",0.59,1.31,1.31,1.31,1.25,0.00,0.00,0.95,"",1,1.2,254,1.7,414,2.9,361,2.5,5342753,2.2,0,0.0,0,0.0,-2,-0.2
