"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18129","0","10","70","0","2016","1","","Posey County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",503,8231,8303,8243,110401868,53074058,975329,1028,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,128,1.6,189,2.3,185,2.3,-461767,-0.4,685464,1.3,-93454,-8.7,-26,-2.5
"18129","0","10","70","0","2016","2","","Posey County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",504,8294,8405,8370,104069450,10602611,222699,958,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.2,204,2.5,135,1.6,122,1.5,-1273038,-1.2,-559137,-5.0,-50486,-18.5,-30,-3.0
"18129","0","10","70","0","2016","3","","Posey County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",499,8292,8391,8427,115656521,7279761,170122,1063,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,11,0.1,186,2.3,208,2.5,3737652,3.3,-112075,-1.5,-37091,-17.9,18,1.7
"18129","0","10","70","0","2016","4","","Posey County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",505,8375,8327,8333,115553750,5904942,134520,1065,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.6,136,1.7,118,1.4,182,2.2,-1640926,-1.4,512881,9.5,-14519,-9.7,-34,-3.1
"18129","1","10","71","0","2016","1","","Posey County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,64,68,61,814678,0,0,974,"",3.16,0.39,0.41,0.37,0.26,0.00,0.00,0.66,"",0,0.0,3,4.9,9,15.3,-1,-1.6,-52820,-6.1,0,0.0,0,0.0,-126,-11.5
"18129","1","10","71","0","2016","2","","Posey County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,67,58,64,776034,0,0,948,"",3.18,0.41,0.35,0.39,0.27,0.00,0.00,0.71,"",0,0.0,2,3.1,-10,-14.7,-3,-4.5,-55673,-6.7,0,0.0,0,0.0,-12,-1.2
"18129","1","10","71","0","2016","3","","Posey County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,63,62,64,902236,0,0,1102,"",3.24,0.38,0.37,0.39,0.25,0.00,0.00,0.66,"",0,0.0,-6,-8.7,-5,-7.5,-2,-3.0,16020,1.8,0,0.0,0,0.0,90,8.9
"18129","1","10","71","0","2016","4","","Posey County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,66,65,67,911256,0,0,1062,"",3.22,0.40,0.40,0.41,0.28,0.00,0.00,0.69,"",0,0.0,-1,-1.5,3,4.8,2,3.1,-28947,-3.1,0,0.0,0,0.0,-56,-5.0
"18129","1","102","72","0","2016","1","","Posey County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,64,68,61,814678,0,0,974,"",3.16,0.40,0.42,0.38,0.26,0.00,0.00,0.66,"",0,0.0,3,4.9,9,15.3,-1,-1.6,-52820,-6.1,0,0.0,0,0.0,-126,-11.5
"18129","1","102","72","0","2016","2","","Posey County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,67,58,64,776034,0,0,948,"",3.19,0.42,0.36,0.40,0.28,0.00,0.00,0.71,"",0,0.0,2,3.1,-10,-14.7,-3,-4.5,-55673,-6.7,0,0.0,0,0.0,-12,-1.2
