"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18131","0","10","70","0","2016","1","","Pulaski County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",338,4436,4453,4514,42906766,23047394,384660,739,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,52,1.2,24,0.5,57,1.3,1053222,2.5,787556,3.5,-37075,-8.8,11,1.5
"18131","0","10","70","0","2016","2","","Pulaski County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",337,4522,4599,4629,44436625,5845583,97625,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.9,-40,-0.9,19,0.4,-7,-0.2,1464499,3.4,-401840,-6.4,-26262,-21.2,26,3.6
"18131","0","10","70","0","2016","3","","Pulaski County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",340,4486,4592,4607,46189771,3443652,70575,779,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.6,11,0.2,68,1.5,32,0.7,5500794,13.5,53547,1.6,5353,8.2,87,12.6
"18131","0","10","70","0","2016","4","","Pulaski County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",341,4565,4498,4505,43581621,2597331,43486,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.2,56,1.2,11,0.2,-9,-0.2,-6942422,-13.7,-215452,-7.7,-5645,-11.5,-122,-14.1
"18131","1","10","71","0","2016","1","","Pulaski County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,39,40,38,423655,0,0,836,"",3.76,0.44,0.45,0.43,0.35,0.00,0.00,0.79,"",0,0.0,5,14.7,6,17.6,3,8.6,-32765,-7.2,0,0.0,0,0.0,-187,-18.3
"18131","1","10","71","0","2016","2","","Pulaski County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,37,39,38,404854,0,0,820,"",3.81,0.42,0.43,0.42,0.33,0.00,0.00,0.78,"",0,0.0,1,2.8,2,5.4,1,2.7,-2868,-0.7,0,0.0,0,0.0,-35,-4.1
"18131","1","10","71","0","2016","3","","Pulaski County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,38,39,42,481692,0,0,934,"",3.80,0.43,0.43,0.46,0.34,0.00,0.00,0.76,"",0,0.0,0,0.0,0,0.0,3,7.7,-1207,-0.2,0,0.0,0,0.0,-27,-2.8
"18131","1","10","71","0","2016","4","","Pulaski County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,40,39,44,484439,0,0,909,"",3.82,0.45,0.45,0.50,0.39,0.00,0.00,0.85,"",0,0.0,1,2.6,0,0.0,1,2.3,1627,0.3,0,0.0,0,0.0,-12,-1.3
"18131","1","102","72","0","2016","1","","Pulaski County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,39,40,38,423655,0,0,836,"",3.77,0.45,0.46,0.43,0.35,0.00,0.00,0.79,"",0,0.0,5,14.7,6,17.6,3,8.6,-32765,-7.2,0,0.0,0,0.0,-187,-18.3
"18131","1","102","72","0","2016","2","","Pulaski County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,37,39,38,404854,0,0,820,"",3.81,0.43,0.44,0.42,0.34,0.00,0.00,0.78,"",0,0.0,1,2.8,2,5.4,1,2.7,-2868,-0.7,0,0.0,0,0.0,-35,-4.1
