"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18133","0","10","70","0","2016","1","","Putnam County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",673,12651,12870,13144,110111862,59425685,1537162,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.4,540,4.5,450,3.6,668,5.4,6774579,6.6,3661465,6.6,-134082,-8.0,13,2.0
"18133","0","10","70","0","2016","2","","Putnam County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",680,13199,13363,13227,114023085,22667380,441162,661,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.0,499,3.9,729,5.8,773,6.2,11685111,11.4,964522,4.4,-117263,-21.0,36,5.8
"18133","0","10","70","0","2016","3","","Putnam County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",691,12898,13245,13573,119565861,13981909,268927,695,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,2.8,795,6.6,680,5.4,707,5.5,9996996,9.1,817435,6.2,-46594,-14.8,21,3.1
"18133","0","10","70","0","2016","4","","Putnam County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",694,13576,13820,13759,127668423,13732221,224619,716,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,2.4,717,5.6,940,7.3,832,6.4,5748506,4.7,1992989,17.0,-73428,-24.6,-12,-1.6
"18133","1","10","71","0","2016","1","","Putnam County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,82,80,82,904663,0,0,856,"",2.83,0.33,0.31,0.32,0.29,0.00,0.00,0.91,"",1,9.1,4,5.1,5,6.7,2,2.5,-37743,-4.0,0,0.0,0,0.0,-77,-8.3
"18133","1","10","71","0","2016","2","","Putnam County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,77,77,78,866510,0,0,862,"",2.83,0.30,0.29,0.30,0.28,0.00,0.00,0.93,"",0,0.0,8,11.6,4,5.5,9,13.0,9392,1.1,0,0.0,0,0.0,-75,-8.0
"18133","1","10","71","0","2016","3","","Putnam County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,78,79,74,992909,0,0,992,"",2.81,0.30,0.30,0.28,0.27,0.00,0.00,0.91,"",0,0.0,3,4.0,-3,-3.7,-8,-9.8,-17134,-1.7,0,0.0,0,0.0,17,1.7
"18133","1","10","71","0","2016","4","","Putnam County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,73,72,70,917042,0,0,984,"",2.58,0.28,0.27,0.26,0.25,0.00,0.00,0.95,"",-1,-8.3,-1,-1.4,-3,-4.0,-10,-12.5,-62367,-6.4,0,0.0,0,0.0,-3,-0.3
"18133","1","102","72","0","2016","1","","Putnam County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,82,80,82,904663,0,0,856,"",2.84,0.33,0.32,0.32,0.29,0.00,0.00,0.91,"",1,9.1,4,5.1,5,6.7,2,2.5,-37743,-4.0,0,0.0,0,0.0,-77,-8.3
"18133","1","102","72","0","2016","2","","Putnam County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,77,77,78,866510,0,0,862,"",2.84,0.30,0.30,0.31,0.28,0.00,0.00,0.93,"",0,0.0,8,11.6,4,5.5,9,13.0,9392,1.1,0,0.0,0,0.0,-75,-8.0
