"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18139","0","10","70","0","2016","1","","Rush County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",394,4789,4821,4795,43455452,24088681,528213,696,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.0,4,0.1,4,0.1,-60,-1.2,322803,0.7,546348,2.3,-127473,-19.4,7,1.0
"18139","0","10","70","0","2016","2","","Rush County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",392,4888,4930,4853,42896324,7244890,130886,675,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.0,-65,-1.3,-64,-1.3,-74,-1.5,-2156210,-4.8,-631872,-8.0,-53963,-29.2,-24,-3.4
"18139","0","10","70","0","2016","3","","Rush County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",395,4885,4998,5008,47870694,4689675,90866,742,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.5,66,1.4,118,2.4,97,2.0,2127645,4.7,27823,0.6,-10426,-10.3,19,2.6
"18139","0","10","70","0","2016","4","","Rush County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",394,4946,4956,4990,47976381,3648525,66672,743,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.0,19,0.4,37,0.8,72,1.5,-546217,-1.1,3927,0.1,-14647,-18.0,-15,-2.0
"18139","1","10","71","0","2016","1","","Rush County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,44,41,39,437845,0,0,815,"",2.82,0.46,0.43,0.41,0.35,0.00,0.00,0.82,"",0,0.0,3,7.3,-4,-8.9,-2,-4.9,-62090,-12.4,0,0.0,0,0.0,-93,-10.2
"18139","1","10","71","0","2016","2","","Rush County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,39,39,44,410637,0,0,777,"",2.86,0.41,0.40,0.46,0.35,0.00,0.00,0.82,"",0,0.0,-2,-4.9,-1,-2.5,4,10.0,-17332,-4.0,0,0.0,0,0.0,-39,-4.8
"18139","1","10","71","0","2016","3","","Rush County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,41,42,42,510551,0,0,943,"",2.87,0.42,0.42,0.43,0.34,0.00,0.00,0.81,"",0,0.0,-5,-10.9,3,7.7,3,7.7,-4241,-0.8,0,0.0,0,0.0,-15,-1.6
"18139","1","10","71","0","2016","4","","Rush County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,42,46,45,495781,0,0,860,"",2.89,0.44,0.48,0.46,0.37,0.00,0.00,0.80,"",0,0.0,2,5.0,4,9.5,0,0.0,10041,2.1,0,0.0,0,0.0,-23,-2.6
"18139","1","102","72","0","2016","1","","Rush County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,44,41,39,437845,0,0,815,"",2.83,0.47,0.44,0.42,0.36,0.00,0.00,0.81,"",0,0.0,3,7.3,-4,-8.9,-2,-4.9,-62090,-12.4,0,0.0,0,0.0,-93,-10.2
"18139","1","102","72","0","2016","2","","Rush County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,39,39,44,410637,0,0,777,"",2.87,0.42,0.41,0.47,0.36,0.00,0.00,0.82,"",0,0.0,-2,-4.9,-1,-2.5,4,10.0,-17332,-4.0,0,0.0,0,0.0,-39,-4.8
