"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18151","0","10","70","0","2016","1","","Steuben County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",948,15209,15406,15332,122279457,79502750,2085949,614,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.2,-61,-0.4,192,1.3,6,0.0,1121870,0.9,631082,0.8,-137969,-6.2,4,0.7
"18151","0","10","70","0","2016","2","","Steuben County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",958,15599,15667,15857,129276226,30151574,737484,633,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,2.0,75,0.5,-132,-0.8,-313,-1.9,3517586,2.8,39933,0.1,-67967,-8.4,22,3.6
"18151","0","10","70","0","2016","3","","Steuben County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",967,15787,15673,15830,135881205,17341416,374539,663,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,2.3,-138,-0.9,-39,-0.2,60,0.4,5243165,4.0,-1202691,-6.5,-78931,-17.4,27,4.2
"18151","0","10","70","0","2016","4","","Steuben County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",965,15887,15938,15463,138108578,14385660,323349,674,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,2.3,132,0.8,175,1.1,-397,-2.5,-2521506,-1.8,-513542,-3.4,-29822,-8.4,-11,-1.6
"18151","1","10","71","0","2016","1","","Steuben County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,57,59,57,774578,0,0,1033,"",1.51,0.19,0.19,0.19,0.22,0.00,0.00,1.17,"",0,0.0,-8,-12.3,0,0.0,-4,-6.6,-68123,-8.1,0,0.0,0,0.0,-18,-1.7
"18151","1","10","71","0","2016","2","","Steuben County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,59,62,58,730454,0,0,942,"",1.51,0.19,0.20,0.19,0.21,0.00,0.00,1.06,"",1,12.5,-1,-1.7,6,10.7,0,0.0,19690,2.8,0,0.0,0,0.0,-1,-0.1
"18151","1","10","71","0","2016","3","","Steuben County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,55,56,58,887776,0,0,1212,"",1.50,0.18,0.18,0.19,0.21,0.00,0.00,1.17,"",1,12.5,-4,-6.8,-1,-1.8,1,1.8,51333,6.1,0,0.0,0,0.0,96,8.6
"18151","1","10","71","0","2016","4","","Steuben County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,56,60,68,860692,0,0,1079,"",1.52,0.18,0.19,0.22,0.22,0.00,0.00,1.11,"",0,0.0,-5,-8.2,1,1.7,5,7.9,39996,4.9,0,0.0,0,0.0,44,4.3
"18151","1","102","72","0","2016","1","","Steuben County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,57,59,57,774578,0,0,1033,"",1.51,0.19,0.20,0.19,0.23,0.00,0.00,1.17,"",0,0.0,-8,-12.3,0,0.0,-4,-6.6,-68123,-8.1,0,0.0,0,0.0,-18,-1.7
"18151","1","102","72","0","2016","2","","Steuben County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,59,62,58,730454,0,0,942,"",1.51,0.20,0.21,0.19,0.21,0.00,0.00,1.06,"",1,12.5,-1,-1.7,6,10.7,0,0.0,19690,2.8,0,0.0,0,0.0,-1,-0.1
