"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18169","0","10","70","0","2016","1","","Wabash County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",746,12139,12396,12532,107198653,56317360,1221717,667,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.9,76,0.6,159,1.3,127,1.0,3147562,3.0,2050602,3.8,-157922,-11.4,13,2.0
"18169","0","10","70","0","2016","2","","Wabash County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",737,12621,12688,12564,103024494,17635951,363486,628,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.2,115,0.9,65,0.5,102,0.8,2380723,2.4,19963,0.1,-52204,-12.6,10,1.6
"18169","0","10","70","0","2016","3","","Wabash County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",741,12216,12401,12616,110994564,10042375,203647,688,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,48,0.4,103,0.8,149,1.2,5203883,4.9,198696,2.0,-12946,-6.0,27,4.1
"18169","0","10","70","0","2016","4","","Wabash County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",743,12588,12547,12514,108392946,7334051,144088,664,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-0.7,60,0.5,-51,-0.4,57,0.5,-978453,-0.9,-429690,-5.5,-30197,-17.3,-8,-1.2
"18169","1","10","71","0","2016","1","","Wabash County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,71,74,70,845297,0,0,907,"",2.34,0.29,0.30,0.28,0.28,0.00,0.00,0.95,"",-1,-8.3,2,2.9,5,7.2,0,0.0,-107871,-11.3,0,0.0,0,0.0,-151,-14.3
"18169","1","10","71","0","2016","2","","Wabash County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,71,71,75,824183,0,0,876,"",2.18,0.29,0.29,0.30,0.29,0.00,0.00,1.00,"",-2,-16.7,0,0.0,3,4.4,0,0.0,-14969,-1.8,0,0.0,0,0.0,-29,-3.2
"18169","1","10","71","0","2016","3","","Wabash County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,70,66,70,965693,0,0,1082,"",2.18,0.29,0.27,0.28,0.28,0.00,0.00,1.00,"",-2,-16.7,-2,-2.8,-9,-12.0,-5,-6.7,-62766,-6.1,0,0.0,0,0.0,13,1.2
"18169","1","10","71","0","2016","4","","Wabash County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,73,71,76,968349,0,0,1016,"",2.19,0.30,0.29,0.31,0.32,0.00,0.00,1.06,"",-2,-16.7,-1,-1.4,0,0.0,1,1.3,-31296,-3.1,0,0.0,0,0.0,-33,-3.1
"18169","1","102","72","0","2016","1","","Wabash County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,71,74,70,845297,0,0,907,"",2.35,0.30,0.31,0.29,0.28,0.00,0.00,0.95,"",-1,-8.3,2,2.9,5,7.2,0,0.0,-107871,-11.3,0,0.0,0,0.0,-151,-14.3
"18169","1","102","72","0","2016","2","","Wabash County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,71,71,75,824183,0,0,876,"",2.18,0.29,0.29,0.31,0.30,0.00,0.00,1.00,"",-2,-16.7,0,0.0,3,4.4,0,0.0,-14969,-1.8,0,0.0,0,0.0,-29,-3.2
