"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"18177","0","10","70","0","2016","1","","Wayne County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1443,29317,29846,29914,260586819,130981220,3026483,675,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-25,-1.7,-171,-0.6,143,0.5,366,1.2,4251201,1.7,1154821,0.9,-454154,-13.0,8,1.2
"18177","0","10","70","0","2016","2","","Wayne County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1433,30182,30358,30001,274940731,51393213,1072989,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-35,-2.4,346,1.2,179,0.6,272,0.9,11750460,4.5,2313513,4.7,-108942,-9.2,24,3.5
"18177","0","10","70","0","2016","3","","Wayne County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1433,29421,30046,30132,281985219,31504844,658241,726,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-29,-2.0,505,1.7,207,0.7,234,0.8,20141052,7.7,3223623,11.4,-624,-0.1,44,6.5
"18177","0","10","70","0","2016","4","","Wayne County, Indiana","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1425,29966,29980,30154,280839767,24377736,489667,719,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-33,-2.3,107,0.4,121,0.4,-3,0.0,-7860304,-2.7,589633,2.5,-55117,-10.1,-22,-3.0
"18177","1","10","71","0","2016","1","","Wayne County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,153,161,160,2144535,0,0,1044,"",1.87,0.26,0.27,0.27,0.29,0.00,0.00,1.08,"",-2,-10.5,-3,-1.9,12,8.1,3,1.9,-414602,-16.2,0,0.0,0,0.0,-234,-18.3
"18177","1","10","71","0","2016","2","","Wayne County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,154,158,163,2053074,0,0,997,"",1.90,0.26,0.27,0.28,0.27,0.00,0.00,1.02,"",-2,-10.5,-2,-1.3,3,1.9,10,6.5,-67704,-3.2,0,0.0,0,0.0,-58,-5.5
"18177","1","10","71","0","2016","3","","Wayne County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,159,159,158,2459641,0,0,1192,"",1.92,0.27,0.27,0.27,0.28,0.00,0.00,1.05,"",-1,-5.6,-5,-3.0,3,1.9,2,1.3,47176,2.0,0,0.0,0,0.0,22,1.9
"18177","1","10","71","0","2016","4","","Wayne County, Indiana","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,159,157,165,2456528,0,0,1179,"",2.06,0.27,0.27,0.28,0.31,0.00,0.00,1.14,"",0,0.0,4,2.6,3,1.9,4,2.5,110388,4.7,0,0.0,0,0.0,27,2.3
"18177","1","102","72","0","2016","1","","Wayne County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,153,161,160,2144535,0,0,1044,"",1.88,0.27,0.28,0.28,0.29,0.00,0.00,1.08,"",-2,-10.5,-3,-1.9,12,8.1,3,1.9,-414602,-16.2,0,0.0,0,0.0,-234,-18.3
"18177","1","102","72","0","2016","2","","Wayne County, Indiana","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,154,158,163,2053074,0,0,997,"",1.91,0.27,0.27,0.28,0.28,0.00,0.00,1.02,"",-2,-10.5,-2,-1.3,3,1.9,10,6.5,-67704,-3.2,0,0.0,0,0.0,-58,-5.5
