"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19001","0","10","70","0","2016","1","","Adair County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",290,2685,2678,2719,22659391,17229825,320043,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,3.2,-49,-1.8,-32,-1.2,-26,-0.9,-135876,-0.6,342328,2.0,83948,35.6,5,0.8
"19001","0","10","70","0","2016","2","","Adair County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",292,2760,2833,2878,24157808,16413236,346981,658,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.7,-42,-1.5,-28,-1.0,-47,-1.6,967592,4.2,651093,4.1,86175,33.0,35,5.6
"19001","0","10","70","0","2016","3","","Adair County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",296,2824,2927,2856,25730112,11948868,284237,690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,2.8,-46,-1.6,114,4.1,47,1.7,1586707,6.6,1432843,13.6,107706,61.0,34,5.2
"19001","0","10","70","0","2016","4","","Adair County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",290,2942,2984,2847,28432308,7684597,254243,748,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,133,4.7,182,6.5,71,2.6,2892824,11.3,1723881,28.9,165364,186.1,45,6.4
"19001","1","10","71","0","2016","1","","Adair County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,27,28,28,283490,0,0,788,"",4.38,0.51,0.53,0.52,0.44,0.00,0.00,0.85,"",0,0.0,-1,-3.6,2,7.7,-1,-3.4,6300,2.3,0,0.0,0,0.0,17,2.2
"19001","1","10","71","0","2016","2","","Adair County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,27,28,34,280237,0,0,727,"",4.39,0.50,0.51,0.60,0.42,0.00,0.00,0.79,"",0,0.0,-2,-6.9,6,27.3,8,30.8,36842,15.1,0,0.0,0,0.0,-2,-0.3
"19001","1","10","71","0","2016","3","","Adair County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,32,33,33,362674,0,0,854,"",4.37,0.57,0.57,0.59,0.45,0.00,0.00,0.79,"",0,0.0,9,39.1,1,3.1,2,6.5,11400,3.2,0,0.0,0,0.0,-89,-9.4
"19001","1","10","71","0","2016","4","","Adair County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,31,35,37,338464,0,0,758,"",4.49,0.54,0.60,0.66,0.42,0.00,0.00,0.70,"",0,0.0,5,19.2,4,12.9,5,15.6,27392,8.8,0,0.0,0,0.0,-49,-6.1
"19001","1","102","72","0","2016","1","","Adair County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,27,28,28,283490,0,0,788,"",4.39,0.52,0.54,0.53,0.45,0.00,0.00,0.85,"",0,0.0,-1,-3.6,2,7.7,-1,-3.4,6300,2.3,0,0.0,0,0.0,17,2.2
"19001","1","102","72","0","2016","2","","Adair County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,27,28,34,280237,0,0,727,"",4.40,0.51,0.51,0.61,0.43,0.00,0.00,0.79,"",0,0.0,-2,-6.9,6,27.3,8,30.8,36842,15.1,0,0.0,0,0.0,-2,-0.3
"19001","1","102","72","0","2016","3","","Adair County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,32,33,33,362674,0,0,854,"",4.38,0.58,0.58,0.60,0.46,0.00,0.00,0.79,"",0,0.0,9,39.1,1,3.1,2,6.5,11400,3.2,0,0.0,0,0.0,-89,-9.4
"19001","1","102","72","0","2016","4","","Adair County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,31,35,37,338464,0,0,758,"",4.50,0.55,0.61,0.67,0.43,0.00,0.00,0.70,"",0,0.0,5,19.2,4,12.9,5,15.6,27392,8.8,0,0.0,0,0.0,-49,-6.1
"19001","1","1021","73","0","2016","1","","Adair County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,22,22,183076,0,0,650,"",5.49,1.63,1.70,1.68,1.63,0.00,0.00,0.98,"",0,0.0,6,40.0,6,37.5,6,37.5,42930,30.6,0,0.0,0,0.0,-38,-5.5
"19001","1","1021","73","0","2016","2","","Adair County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,21,22,176715,0,0,637,"",5.49,1.60,1.56,1.61,1.47,0.00,0.00,0.92,"",0,0.0,5,31.2,7,50.0,7,46.7,49581,39.0,0,0.0,0,0.0,-15,-2.3
"19001","1","1021","73","0","2016","3","","Adair County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,22,22,208952,0,0,742,"",5.47,1.55,1.57,1.61,1.45,0.00,0.00,0.92,"",0,0.0,7,50.0,2,10.0,2,10.0,3077,1.5,0,0.0,0,0.0,-138,-15.7
"19001","1","1021","73","0","2016","4","","Adair County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,20,21,23,214903,0,0,775,"",5.63,1.43,1.48,1.64,1.32,0.00,0.00,0.87,"",0,0.0,2,11.1,0,0.0,1,4.5,1535,0.7,0,0.0,0,0.0,-32,-4.0
"19001","1","1028","73","0","2016","1","","Adair County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,100414,0,0,1287,"",4.03,0.21,0.21,0.21,0.25,0.00,0.00,1.20,"",0,0.0,-7,-53.8,-4,-40.0,-7,-53.8,-36630,-26.7,0,0.0,0,0.0,409,46.6
"19001","1","1028","73","0","2016","2","","Adair County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,7,12,103522,0,0,956,"",4.05,0.20,0.23,0.39,0.25,0.00,0.00,0.92,"",0,0.0,-7,-53.8,-1,-12.5,1,9.1,-12739,-11.0,0,0.0,0,0.0,118,14.1
"19001","1","1028","73","0","2016","3","","Adair County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,11,11,153722,0,0,1075,"",4.02,0.36,0.35,0.36,0.31,0.00,0.00,0.88,"",0,0.0,2,22.2,-1,-8.3,0,0.0,8323,5.7,0,0.0,0,0.0,26,2.5
"19001","1","1028","73","0","2016","4","","Adair County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,14,14,123561,0,0,731,"",4.14,0.35,0.44,0.46,0.26,0.00,0.00,0.62,"",0,0.0,3,37.5,4,40.0,4,40.0,25857,26.5,0,0.0,0,0.0,-74,-9.2
"19001","1","48-49","74","0","2016","1","","Adair County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,22,22,183076,0,0,650,"",5.65,1.79,1.86,1.84,1.76,0.00,0.00,0.96,"",0,0.0,6,40.0,6,37.5,6,37.5,42930,30.6,0,0.0,0,0.0,-38,-5.5
"19001","1","48-49","74","0","2016","2","","Adair County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,21,22,176715,0,0,637,"",5.65,1.75,1.70,1.76,1.58,0.00,0.00,0.91,"",0,0.0,5,31.2,7,50.0,7,46.7,49581,39.0,0,0.0,0,0.0,-15,-2.3
"19001","1","48-49","74","0","2016","3","","Adair County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,22,22,208952,0,0,742,"",5.63,1.70,1.71,1.76,1.56,0.00,0.00,0.90,"",0,0.0,7,50.0,2,10.0,2,10.0,3077,1.5,0,0.0,0,0.0,-138,-15.7
