"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19009","0","10","70","0","2016","1","","Audubon County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",222,1752,1736,1786,14567114,10467049,78351,637,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.5,13,0.7,58,3.5,79,4.6,-30188,-0.2,94454,0.9,4677,6.3,-20,-3.0
"19009","0","10","70","0","2016","2","","Audubon County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",224,1789,1806,1831,15341809,9744014,88763,652,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.3,41,2.3,54,3.1,39,2.2,476045,3.2,543755,5.9,14290,19.2,4,0.6
"19009","0","10","70","0","2016","3","","Audubon County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",222,1860,1814,1796,16170672,6757307,68140,682,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.9,119,6.8,74,4.3,61,3.5,1570640,10.8,677790,11.1,17329,34.1,36,5.6
"19009","0","10","70","0","2016","4","","Audubon County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",223,1772,1767,1759,17028643,4052698,40782,742,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.9,-6,-0.3,-5,-0.3,-1,-0.1,-42541,-0.2,-24807,-0.6,6515,19.0,0,0.0
"19009","1","10","71","0","2016","1","","Audubon County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,29,28,30,290344,0,0,770,"",5.01,0.83,0.81,0.85,0.70,0.00,0.00,0.84,"",1,16.7,5,20.8,0,0.0,6,25.0,-17898,-5.8,0,0.0,0,0.0,-166,-17.7
"19009","1","10","71","0","2016","2","","Audubon County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,31,31,27,276108,0,0,716,"",5.01,0.89,0.88,0.75,0.66,0.00,0.00,0.78,"",1,16.7,7,29.2,7,29.2,2,8.0,9207,3.4,0,0.0,0,0.0,-128,-15.2
"19009","1","10","71","0","2016","3","","Audubon County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,26,25,29,322831,0,0,931,"",5.10,0.70,0.70,0.82,0.64,0.00,0.00,0.87,"",0,0.0,0,0.0,-2,-7.4,0,0.0,14728,4.8,0,0.0,0,0.0,64,7.4
"19009","1","10","71","0","2016","4","","Audubon County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,27,28,30,306186,0,0,831,"",5.11,0.78,0.81,0.87,0.64,0.00,0.00,0.78,"",0,0.0,0,0.0,1,3.7,0,0.0,1386,0.5,0,0.0,0,0.0,-6,-0.7
"19009","1","102","72","0","2016","1","","Audubon County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,29,28,30,290344,0,0,770,"",5.02,0.85,0.83,0.87,0.71,0.00,0.00,0.84,"",1,16.7,5,20.8,0,0.0,6,25.0,-17898,-5.8,0,0.0,0,0.0,-166,-17.7
"19009","1","102","72","0","2016","2","","Audubon County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,31,31,27,276108,0,0,716,"",5.02,0.90,0.89,0.76,0.67,0.00,0.00,0.78,"",1,16.7,7,29.2,7,29.2,2,8.0,9207,3.4,0,0.0,0,0.0,-128,-15.2
"19009","1","102","72","0","2016","3","","Audubon County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,26,25,29,322831,0,0,931,"",5.11,0.72,0.71,0.84,0.66,0.00,0.00,0.87,"",0,0.0,0,0.0,-2,-7.4,0,0.0,14728,4.8,0,0.0,0,0.0,64,7.4
"19009","1","102","72","0","2016","4","","Audubon County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,27,28,30,306186,0,0,831,"",5.12,0.80,0.83,0.88,0.65,0.00,0.00,0.78,"",0,0.0,0,0.0,1,3.7,0,0.0,1386,0.5,0,0.0,0,0.0,-6,-0.7
"19009","1","1021","73","0","2016","1","","Audubon County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,18,20,19,177973,0,0,721,"",7.17,2.14,2.39,2.21,2.47,0.00,0.00,1.10,"",1,25.0,3,20.0,4,25.0,4,26.7,-10082,-5.4,0,0.0,0,0.0,-222,-23.5
"19009","1","1021","73","0","2016","2","","Audubon County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,20,20,19,178103,0,0,697,"",7.16,2.35,2.33,2.18,2.33,0.00,0.00,1.02,"",1,25.0,5,33.3,4,25.0,4,26.7,14929,9.1,0,0.0,0,0.0,-122,-14.9
