"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19013","0","10","70","0","2016","1","","Black Hawk County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3801,73216,73338,73414,755798416,511021524,8425965,793,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.1,-674,-0.9,-541,-0.7,-558,-0.8,-28670795,-3.7,-25160711,-4.7,3097953,58.1,-23,-2.8
"19013","0","10","70","0","2016","2","","Black Hawk County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3805,74181,73908,74166,771845127,393818355,8019090,801,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-25,-0.7,58,0.1,-682,-0.9,-547,-0.7,2897060,0.4,16975489,4.5,2720258,51.3,7,0.9
"19013","0","10","70","0","2016","3","","Black Hawk County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3791,73414,73393,73895,809643200,255639071,5090476,847,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-36,-0.9,-664,-0.9,-357,-0.5,19,0.0,34968009,4.5,19129125,8.1,1693252,49.8,41,5.1
"19013","0","10","70","0","2016","4","","Black Hawk County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3809,73790,74015,74151,915995695,157686408,2934826,952,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-0.1,-655,-0.9,-727,-1.0,-577,-0.8,-37955382,-4.0,-351006,-0.2,812497,38.3,-31,-3.2
"19013","1","10","71","0","2016","1","","Black Hawk County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,538,533,533,7992193,0,0,1150,"",0.92,0.37,0.37,0.37,0.37,0.00,0.00,1.01,"",0,0.0,12,2.3,11,2.1,9,1.7,-658096,-7.6,0,0.0,0,0.0,-120,-9.4
"19013","1","10","71","0","2016","2","","Black Hawk County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,538,539,536,7329671,0,0,1049,"",0.93,0.37,0.37,0.37,0.35,0.00,0.00,0.93,"",0,0.0,-2,-0.4,15,2.9,9,1.7,-18001,-0.2,0,0.0,0,0.0,-17,-1.6
"19013","1","10","71","0","2016","3","","Black Hawk County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,538,534,536,8638250,0,0,1240,"",0.94,0.37,0.37,0.37,0.34,0.00,0.00,0.93,"",0,0.0,8,1.5,-2,-0.4,-5,-0.9,302661,3.6,0,0.0,0,0.0,43,3.6
"19013","1","10","71","0","2016","4","","Black Hawk County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,541,533,556,8542667,0,0,1209,"",0.98,0.38,0.37,0.38,0.33,0.00,0.00,0.88,"",1,4.5,15,2.9,0,0.0,-4,-0.7,138372,1.6,0,0.0,0,0.0,11,0.9
"19013","1","102","72","0","2016","1","","Black Hawk County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,538,533,533,7992193,0,0,1150,"",0.92,0.38,0.37,0.37,0.38,0.00,0.00,1.01,"",0,0.0,12,2.3,11,2.1,9,1.7,-658096,-7.6,0,0.0,0,0.0,-120,-9.4
"19013","1","102","72","0","2016","2","","Black Hawk County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,538,539,536,7329671,0,0,1049,"",0.93,0.38,0.38,0.37,0.35,0.00,0.00,0.93,"",0,0.0,-2,-0.4,15,2.9,9,1.7,-18001,-0.2,0,0.0,0,0.0,-17,-1.6
"19013","1","102","72","0","2016","3","","Black Hawk County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,538,534,536,8638250,0,0,1240,"",0.94,0.38,0.37,0.38,0.35,0.00,0.00,0.93,"",0,0.0,8,1.5,-2,-0.4,-5,-0.9,302661,3.6,0,0.0,0,0.0,43,3.6
