"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19063","0","10","70","0","2016","1","","Emmet County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",345,3922,3935,3981,33758878,22159307,212259,658,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-3.4,-106,-2.6,-95,-2.4,-77,-1.9,-1072484,-3.1,-1635073,-6.9,-51026,-19.4,-5,-0.8
"19063","0","10","70","0","2016","2","","Emmet County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",343,4029,3997,3982,36375224,19209151,221299,699,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-2.3,-121,-2.9,-141,-3.4,-141,-3.4,-852984,-2.3,-1252980,-6.1,-41087,-15.7,7,1.0
"19063","0","10","70","0","2016","3","","Emmet County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",341,3860,3858,3956,35123020,13629195,174162,694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-3.4,-90,-2.3,-23,-0.6,-113,-2.8,-366248,-1.0,1007170,8.0,1802,1.0,6,0.9
"19063","0","10","70","0","2016","4","","Emmet County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",342,4048,4003,3963,37621942,8149338,83848,723,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.7,-40,-1.0,-67,-1.6,-72,-1.8,140847,0.4,886835,12.2,9132,12.2,14,2.0
"19063","1","10","71","0","2016","1","","Emmet County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,36,35,36,451654,0,0,974,"",3.22,0.46,0.45,0.46,0.47,0.00,0.00,1.03,"",0,0.0,0,0.0,-1,-2.8,-1,-2.7,-97254,-17.7,0,0.0,0,0.0,-188,-16.2
"19063","1","10","71","0","2016","2","","Emmet County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,36,34,34,424296,0,0,941,"",3.27,0.46,0.43,0.43,0.43,0.00,0.00,0.96,"",0,0.0,-4,-10.0,-3,-8.1,-2,-5.6,-55893,-11.6,0,0.0,0,0.0,-40,-4.1
"19063","1","10","71","0","2016","3","","Emmet County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,32,34,33,492276,0,0,1147,"",3.32,0.42,0.45,0.42,0.45,0.00,0.00,1.05,"",0,0.0,-4,-11.1,-2,-5.6,-6,-15.4,-21507,-4.2,0,0.0,0,0.0,79,7.4
"19063","1","10","71","0","2016","4","","Emmet County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,33,36,37,478232,0,0,1041,"",3.33,0.42,0.46,0.47,0.45,0.00,0.00,1.00,"",0,0.0,-7,-17.5,2,5.9,0,0.0,-8422,-1.7,0,0.0,0,0.0,29,2.9
"19063","1","102","72","0","2016","1","","Emmet County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,36,35,36,451654,0,0,974,"",3.23,0.47,0.46,0.47,0.48,0.00,0.00,1.03,"",0,0.0,0,0.0,-1,-2.8,-1,-2.7,-97254,-17.7,0,0.0,0,0.0,-188,-16.2
"19063","1","102","72","0","2016","2","","Emmet County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,36,34,34,424296,0,0,941,"",3.28,0.46,0.44,0.44,0.43,0.00,0.00,0.96,"",0,0.0,-4,-10.0,-3,-8.1,-2,-5.6,-55893,-11.6,0,0.0,0,0.0,-40,-4.1
