"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19073","0","10","70","0","2016","1","","Greene County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",335,3502,3482,3548,31571034,22367553,381108,692,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.9,316,9.9,143,4.3,159,4.7,2529481,8.7,1884088,9.2,143471,60.4,16,2.4
"19073","0","10","70","0","2016","2","","Greene County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",338,3512,3566,3578,31937879,18499787,318924,692,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,173,5.2,194,5.8,134,3.9,1064124,3.4,1635273,9.7,103283,47.9,-10,-1.4
"19073","0","10","70","0","2016","3","","Greene County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",336,3450,3405,3524,31700898,13037474,226471,705,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-1.5,115,3.4,12,0.4,69,2.0,1655042,5.5,964214,8.0,66037,41.2,24,3.5
"19073","0","10","70","0","2016","4","","Greene County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",330,3504,3469,3497,34922881,7690837,134358,770,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.2,-113,-3.1,-134,-3.7,-118,-3.3,-1985108,-5.4,-1166939,-13.2,20155,17.6,-16,-2.0
"19073","1","10","71","0","2016","1","","Greene County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,37,36,42,355857,0,0,714,"",4.27,0.53,0.52,0.60,0.40,0.00,0.00,0.72,"",0,0.0,-6,-14.0,-1,-2.7,9,27.3,-10832,-3.0,0,0.0,0,0.0,-35,-4.7
"19073","1","10","71","0","2016","2","","Greene County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,32,36,36,344496,0,0,764,"",4.27,0.47,0.52,0.51,0.39,0.00,0.00,0.79,"",0,0.0,-5,-13.5,2,5.9,2,5.9,34598,11.2,0,0.0,0,0.0,83,12.2
"19073","1","10","71","0","2016","3","","Greene County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,36,35,34,395900,0,0,870,"",4.33,0.52,0.52,0.49,0.40,0.00,0.00,0.79,"",0,0.0,-1,-2.7,-1,-2.8,-2,-5.6,29683,8.1,0,0.0,0,0.0,95,12.3
"19073","1","10","71","0","2016","4","","Greene County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,35,39,40,409912,0,0,830,"",4.44,0.51,0.58,0.58,0.42,0.00,0.00,0.75,"",0,0.0,1,2.9,3,8.3,3,8.1,45235,12.4,0,0.0,0,0.0,43,5.5
"19073","1","102","72","0","2016","1","","Greene County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,37,36,42,355857,0,0,714,"",4.28,0.54,0.53,0.61,0.40,0.00,0.00,0.72,"",0,0.0,-6,-14.0,-1,-2.7,9,27.3,-10832,-3.0,0,0.0,0,0.0,-35,-4.7
"19073","1","102","72","0","2016","2","","Greene County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,32,36,36,344496,0,0,764,"",4.28,0.47,0.53,0.52,0.40,0.00,0.00,0.79,"",0,0.0,-5,-13.5,2,5.9,2,5.9,34598,11.2,0,0.0,0,0.0,83,12.2
