"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19101","0","10","70","0","2016","1","","Jefferson County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",796,7443,7432,7513,66293240,48553110,828824,683,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.5,181,2.5,158,2.2,227,3.1,1591126,2.5,1826130,3.9,179311,27.6,-1,-0.1
"19101","0","10","70","0","2016","2","","Jefferson County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",791,7494,7460,7538,69494271,40423558,717170,713,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.5,62,0.8,-186,-2.4,-166,-2.2,2009131,3.0,2044648,5.3,159169,28.5,29,4.2
"19101","0","10","70","0","2016","3","","Jefferson County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",792,7399,7470,7714,74566676,31376909,674661,762,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-0.8,-60,-0.8,28,0.4,224,3.0,7648230,11.4,4178199,15.4,288783,74.8,72,10.4
"19101","0","10","70","0","2016","4","","Jefferson County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",807,7779,7749,7790,79978904,21125710,443963,792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.2,289,3.9,284,3.8,139,1.8,4407342,5.8,3250719,18.2,194981,78.3,21,2.7
"19101","1","10","71","0","2016","1","","Jefferson County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,63,65,63,733833,0,0,887,"",1.80,0.43,0.44,0.42,0.39,0.00,0.00,0.90,"",0,0.0,-2,-3.1,7,12.1,-1,-1.6,-111998,-13.2,0,0.0,0,0.0,-157,-15.0
"19101","1","10","71","0","2016","2","","Jefferson County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,61,58,58,665803,0,0,868,"",1.82,0.42,0.40,0.39,0.35,0.00,0.00,0.87,"",0,0.0,-2,-3.2,-3,-4.9,-3,-4.9,-80604,-10.8,0,0.0,0,0.0,-63,-6.8
"19101","1","10","71","0","2016","3","","Jefferson County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,64,62,63,828204,0,0,1011,"",1.84,0.43,0.42,0.42,0.36,0.00,0.00,0.85,"",0,0.0,-3,-4.5,-1,-1.6,-3,-4.5,36952,4.7,0,0.0,0,0.0,79,8.5
"19101","1","10","71","0","2016","4","","Jefferson County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,60,63,63,885927,0,0,1099,"",1.82,0.40,0.42,0.41,0.39,0.00,0.00,0.96,"",0,0.0,2,3.4,-2,-3.1,-3,-4.5,130664,17.3,0,0.0,0,0.0,177,19.2
"19101","1","102","72","0","2016","1","","Jefferson County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,63,65,63,733833,0,0,887,"",1.80,0.43,0.45,0.43,0.40,0.00,0.00,0.90,"",0,0.0,-2,-3.1,7,12.1,-1,-1.6,-111998,-13.2,0,0.0,0,0.0,-157,-15.0
"19101","1","102","72","0","2016","2","","Jefferson County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,61,58,58,665803,0,0,868,"",1.83,0.42,0.40,0.40,0.36,0.00,0.00,0.87,"",0,0.0,-2,-3.2,-3,-4.9,-3,-4.9,-80604,-10.8,0,0.0,0,0.0,-63,-6.8
