"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"19181","0","10","70","0","2016","1","","Warren County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",990,10478,10458,10633,96214436,54835417,829757,703,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.5,301,3.0,258,2.5,279,2.7,8515583,9.7,3766905,7.4,147019,21.5,44,6.7
"19181","0","10","70","0","2016","2","","Warren County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1007,11127,11220,11348,101931194,51625857,1022486,698,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,1.6,306,2.8,206,1.9,191,1.7,6085697,6.3,4728298,10.1,212650,26.3,28,4.2
"19181","0","10","70","0","2016","3","","Warren County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1015,10859,10846,11169,104771594,38097537,701136,735,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",27,2.7,178,1.7,151,1.4,393,3.6,8421421,8.7,4609984,13.8,145526,26.2,43,6.2
"19181","0","10","70","0","2016","4","","Warren County, Iowa","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1026,11295,11297,11266,109884858,25425952,412931,749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",44,4.5,234,2.1,302,2.7,271,2.5,2621799,2.4,2217052,9.6,89412,27.6,0,0.0
"19181","1","10","71","0","2016","1","","Warren County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,78,90,87,1041775,0,0,943,"",2.57,0.37,0.43,0.41,0.38,0.00,0.00,0.93,"",0,0.0,1,1.3,12,15.4,3,3.6,28269,2.8,0,0.0,0,0.0,-36,-3.7
"19181","1","10","71","0","2016","2","","Warren County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,88,82,88,992448,0,0,888,"",2.55,0.40,0.37,0.39,0.35,0.00,0.00,0.91,"",0,0.0,7,8.6,6,7.9,6,7.3,92230,10.2,0,0.0,0,0.0,19,2.2
"19181","1","10","71","0","2016","3","","Warren County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,87,86,86,1190104,0,0,1060,"",2.39,0.40,0.40,0.39,0.37,0.00,0.00,0.92,"",-1,-6.2,2,2.4,4,4.9,2,2.4,98250,9.0,0,0.0,0,0.0,56,5.6
"19181","1","10","71","0","2016","4","","Warren County, Iowa","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,87,92,99,1286090,0,0,1068,"",2.38,0.39,0.42,0.45,0.42,0.00,0.00,0.99,"",-1,-6.2,7,8.8,9,10.8,12,13.8,205123,19.0,0,0.0,0,0.0,70,7.0
"19181","1","102","72","0","2016","1","","Warren County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,78,90,87,1041775,0,0,943,"",2.57,0.38,0.44,0.42,0.39,0.00,0.00,0.93,"",0,0.0,1,1.3,12,15.4,3,3.6,28269,2.8,0,0.0,0,0.0,-36,-3.7
"19181","1","102","72","0","2016","2","","Warren County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,88,82,88,992448,0,0,888,"",2.55,0.41,0.38,0.40,0.36,0.00,0.00,0.91,"",0,0.0,7,8.6,6,7.9,6,7.3,92230,10.2,0,0.0,0,0.0,19,2.2
"19181","1","102","72","0","2016","3","","Warren County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,87,86,86,1190104,0,0,1060,"",2.39,0.41,0.41,0.40,0.37,0.00,0.00,0.92,"",-1,-6.2,2,2.4,4,4.9,2,2.4,98250,9.0,0,0.0,0,0.0,56,5.6
"19181","1","102","72","0","2016","4","","Warren County, Iowa","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,87,92,99,1286090,0,0,1068,"",2.39,0.40,0.43,0.45,0.42,0.00,0.00,0.99,"",-1,-6.2,7,8.8,9,10.8,12,13.8,205123,19.0,0,0.0,0,0.0,70,7.0
"19181","1","1021","73","0","2016","1","","Warren County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,61,69,67,757984,0,0,888,"",3.86,1.21,1.37,1.31,1.59,0.00,0.00,1.23,"",0,0.0,1,1.7,8,13.1,4,6.3,40768,5.7,0,0.0,0,0.0,-12,-1.3
"19181","1","1021","73","0","2016","2","","Warren County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,69,68,69,752117,0,0,843,"",3.82,1.31,1.27,1.28,1.48,0.00,0.00,1.15,"",0,0.0,9,15.0,8,13.3,7,11.3,115949,18.2,0,0.0,0,0.0,36,4.5
"19181","1","1021","73","0","2016","3","","Warren County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,68,68,70,916746,0,0,1027,"",3.51,1.31,1.31,1.31,1.57,0.00,0.00,1.20,"",-1,-8.3,8,13.3,9,15.3,9,14.8,163615,21.7,0,0.0,0,0.0,61,6.3
"19181","1","1021","73","0","2016","4","","Warren County, Iowa","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,69,70,73,1024182,0,0,1115,"",3.50,1.29,1.30,1.31,1.63,0.00,0.00,1.25,"",-1,-8.3,8,13.1,6,9.4,7,10.6,204187,24.9,0,0.0,0,0.0,124,12.5
"19181","1","1023","73","0","2016","1","","Warren County, Iowa","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,5,99492,0,0,1351,"",12.11,5.93,6.02,4.99,4.85,0.00,0.00,0.86,"",0,0.0,0,0.0,0,0.0,0,0.0,-3133,-3.1,0,0.0,0,0.0,-42,-3.0
"19181","1","1023","73","0","2016","2","","Warren County, Iowa","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,86324,0,0,1328,"",12.06,4.83,4.85,4.72,4.51,0.00,0.00,0.94,"",0,0.0,0,0.0,1,25.0,-3,-37.5,-14026,-14.0,0,0.0,0,0.0,-34,-2.5
"19181","1","1023","73","0","2016","3","","Warren County, Iowa","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,6,107345,0,0,1548,"",12.06,4.92,4.99,5.93,5.06,0.00,0.00,0.96,"",0,0.0,-4,-44.4,-3,-37.5,-1,-14.3,-33154,-23.6,0,0.0,0,0.0,197,14.6
"19181","1","1023","73","0","2016","4","","Warren County, Iowa","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,8,103132,0,0,1082,"",12.00,6.83,6.84,7.85,5.46,0.00,0.00,0.76,"",0,0.0,0,0.0,0,0.0,2,33.3,7909,8.3,0,0.0,0,0.0,-17,-1.5
"19181","1","1028","73","0","2016","1","","Warren County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,15,15,184299,0,0,1037,"",1.18,0.10,0.13,0.13,0.11,0.00,0.00,0.89,"",0,0.0,0,0.0,4,36.4,-1,-6.2,-9366,-4.8,0,0.0,0,0.0,-139,-11.8
"19181","1","1028","73","0","2016","2","","Warren County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,9,14,154007,0,0,961,"",1.17,0.12,0.08,0.12,0.09,0.00,0.00,0.87,"",0,0.0,-2,-12.5,-3,-25.0,2,16.7,-9693,-5.9,0,0.0,0,0.0,17,1.8
"19181","1","1028","73","0","2016","3","","Warren County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,13,10,166013,0,0,1035,"",1.17,0.12,0.11,0.08,0.08,0.00,0.00,0.80,"",0,0.0,-2,-12.5,-2,-13.3,-6,-37.5,-32211,-16.2,0,0.0,0,0.0,62,6.4
"19181","1","1028","73","0","2016","4","","Warren County, Iowa","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,15,18,158776,0,0,833,"",1.17,0.09,0.13,0.15,0.09,0.00,0.00,0.71,"",0,0.0,-1,-8.3,3,25.0,3,20.0,-6973,-4.2,0,0.0,0,0.0,-148,-15.1
"19181","1","48-49","74","0","2016","1","","Warren County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,61,69,67,757984,0,0,888,"",3.97,1.33,1.50,1.43,1.72,0.00,0.00,1.21,"",0,0.0,1,1.7,8,13.1,4,6.3,40768,5.7,0,0.0,0,0.0,-12,-1.3
"19181","1","48-49","74","0","2016","2","","Warren County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,69,68,69,752117,0,0,843,"",3.93,1.43,1.39,1.40,1.60,0.00,0.00,1.14,"",0,0.0,9,15.0,8,13.3,7,11.3,115949,18.2,0,0.0,0,0.0,36,4.5
"19181","1","48-49","74","0","2016","3","","Warren County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,68,68,70,916746,0,0,1027,"",3.61,1.43,1.43,1.44,1.68,0.00,0.00,1.17,"",-1,-8.3,8,13.3,9,15.3,9,14.8,163615,21.7,0,0.0,0,0.0,61,6.3
"19181","1","48-49","74","0","2016","4","","Warren County, Iowa","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,69,70,73,1024182,0,0,1115,"",3.60,1.41,1.43,1.43,1.76,0.00,0.00,1.24,"",-1,-8.3,8,13.1,6,9.4,7,10.6,204187,24.9,0,0.0,0,0.0,124,12.5
"19181","1","491","75","0","2016","1","","Warren County, Iowa","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,61,69,67,757984,0,0,888,"",4.00,1.36,1.53,1.46,1.80,0.00,0.00,1.25,"",0,0.0,1,1.7,8,13.1,4,6.3,40768,5.7,0,0.0,0,0.0,-12,-1.3
"19181","1","491","75","0","2016","2","","Warren County, Iowa","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,69,68,69,752117,0,0,843,"",3.96,1.46,1.42,1.43,1.67,0.00,0.00,1.16,"",0,0.0,9,15.0,8,13.3,7,11.3,115949,18.2,0,0.0,0,0.0,36,4.5
"19181","1","491","75","0","2016","3","","Warren County, Iowa","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,68,68,70,916746,0,0,1027,"",3.64,1.46,1.46,1.47,1.75,0.00,0.00,1.20,"",-1,-8.3,8,13.3,9,15.3,9,14.8,163615,21.7,0,0.0,0,0.0,61,6.3
"19181","1","491","75","0","2016","4","","Warren County, Iowa","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,69,70,73,1024182,0,0,1115,"",3.63,1.44,1.46,1.46,1.82,0.00,0.00,1.25,"",-1,-8.3,8,13.1,6,9.4,7,10.6,204187,24.9,0,0.0,0,0.0,124,12.5
"19181","1","4911","76","0","2016","1","","Warren County, Iowa","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,61,69,67,757984,0,0,888,"",4.00,1.36,1.53,1.46,1.80,0.00,0.00,1.25,"",0,0.0,1,1.7,8,13.1,4,6.3,40768,5.7,0,0.0,0,0.0,-12,-1.3
"19181","1","4911","76","0","2016","2","","Warren County, Iowa","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,69,68,69,752117,0,0,843,"",3.96,1.46,1.42,1.43,1.67,0.00,0.00,1.16,"",0,0.0,9,15.0,8,13.3,7,11.3,115949,18.2,0,0.0,0,0.0,36,4.5
"19181","1","4911","76","0","2016","3","","Warren County, Iowa","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,68,68,70,916746,0,0,1027,"",3.64,1.46,1.46,1.47,1.75,0.00,0.00,1.20,"",-1,-8.3,8,13.3,9,15.3,9,14.8,163615,21.7,0,0.0,0,0.0,61,6.3
