"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"20013","0","10","70","0","2016","1","","Brown County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",337,4849,4840,4869,40487088,30953246,250004,642,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.8,-134,-2.7,-130,-2.6,-118,-2.4,-1649193,-3.9,61678,0.2,-501564,-66.7,-9,-1.4
"20013","0","10","70","0","2016","2","","Brown County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",336,4882,4917,4955,41373293,19656552,184982,647,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,1.8,-126,-2.5,-144,-2.8,-145,-2.8,12726,0.0,2893657,17.3,-176184,-48.8,18,2.9
"20013","0","10","70","0","2016","3","","Brown County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",335,4786,4854,4878,41886821,10426611,89595,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,-292,-5.8,-172,-3.4,-186,-3.7,-1496046,-3.4,766730,7.9,-90171,-50.2,6,0.9
"20013","0","10","70","0","2016","4","","Brown County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",334,4926,4879,4882,45259473,8640573,67167,711,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.2,-91,-1.8,-151,-3.0,-177,-3.5,-3208715,-6.6,337102,4.1,-69847,-51.0,-29,-3.9
"20013","1","10","71","0","2016","1","","Brown County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,92,88,92,1187600,0,0,1008,"",6.60,0.96,0.92,0.96,1.03,0.00,0.00,1.09,"",0,0.0,1,1.1,0,0.0,5,5.7,-10667,-0.9,0,0.0,0,0.0,-32,-3.1
"20013","1","10","71","0","2016","2","","Brown County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,98,98,99,1099096,0,0,860,"",6.68,1.03,1.02,1.02,0.97,0.00,0.00,0.95,"",0,0.0,-2,-2.0,0,0.0,6,6.5,28603,2.7,0,0.0,0,0.0,11,1.3
"20013","1","10","71","0","2016","3","","Brown County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,99,100,101,1368384,0,0,1053,"",6.76,1.04,1.04,1.05,1.05,0.00,0.00,1.01,"",0,0.0,3,3.1,5,5.3,9,9.8,104960,8.3,0,0.0,0,0.0,23,2.2
"20013","1","10","71","0","2016","4","","Brown County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,102,99,99,1239414,0,0,953,"",6.83,1.06,1.04,1.03,0.97,0.00,0.00,0.93,"",0,0.0,13,14.6,11,12.5,6,6.5,94978,8.3,0,0.0,0,0.0,-25,-2.6
"20013","1","102","72","0","2016","1","","Brown County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,92,88,92,1187600,0,0,1008,"",6.61,0.97,0.93,0.97,1.05,0.00,0.00,1.09,"",0,0.0,1,1.1,0,0.0,5,5.7,-10667,-0.9,0,0.0,0,0.0,-32,-3.1
"20013","1","102","72","0","2016","2","","Brown County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,98,98,99,1099096,0,0,860,"",6.69,1.04,1.04,1.03,0.99,0.00,0.00,0.95,"",0,0.0,-2,-2.0,0,0.0,6,6.5,28603,2.7,0,0.0,0,0.0,11,1.3
