"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"20061","0","10","70","0","2016","1","","Geary County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",726,13669,13751,13789,129540529,72191216,894806,725,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.1,408,3.1,415,3.1,326,2.4,8001893,6.6,4656996,6.9,-814201,-47.6,25,3.6
"20061","0","10","70","0","2016","2","","Geary County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",719,14041,13768,13902,127848421,54692457,458911,707,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-1.9,422,3.1,25,0.2,228,1.7,-2202388,-1.7,9414937,20.8,-318601,-41.0,-24,-3.3
"20061","0","10","70","0","2016","3","","Geary County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",720,13043,13130,13727,132100115,37937103,288603,764,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-9,-1.2,41,0.3,81,0.6,349,2.6,10788643,8.9,4049802,12.0,-207459,-41.8,54,7.6
"20061","0","10","70","0","2016","4","","Geary County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",716,13831,13728,13628,130596544,36561834,229318,732,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-16,-2.2,142,1.0,-33,-0.2,-143,-1.0,-6806937,-5.0,-304686,-0.8,-250537,-52.2,-37,-4.8
"20061","1","10","71","0","2016","1","","Geary County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,3087,3097,3085,49123164,0,0,1223,"",4.59,11.37,11.37,11.33,13.33,0.00,0.00,1.17,"",0,0.0,-43,-1.4,-69,-2.2,-92,-2.9,6419294,15.0,0,0.0,0,0.0,183,17.6
"20061","1","10","71","0","2016","2","","Geary County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,3113,3123,3116,42638959,0,0,1052,"",4.68,11.33,11.60,11.39,12.16,0.00,0.00,1.06,"",0,0.0,-76,-2.4,-47,-1.5,-36,-1.1,-5928079,-12.2,0,0.0,0,0.0,-126,-10.7
"20061","1","10","71","0","2016","3","","Geary County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,3110,3111,3131,50098036,0,0,1236,"",4.72,11.99,11.97,11.61,12.23,0.00,0.00,1.03,"",0,0.0,-45,-1.4,-32,-1.0,-2,-0.1,7200355,16.8,0,0.0,0,0.0,186,17.7
"20061","1","10","71","0","2016","4","","Geary County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,3142,3118,3134,43941517,0,0,1079,"",4.78,11.64,11.66,11.67,11.93,0.00,0.00,1.02,"",0,0.0,28,0.9,34,1.1,35,1.1,-4857601,-10.0,0,0.0,0,0.0,-132,-10.9
"20061","1","102","72","0","2016","1","","Geary County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,3087,3097,3085,49123164,0,0,1223,"",4.60,11.58,11.58,11.53,13.56,0.00,0.00,1.17,"",0,0.0,-43,-1.4,-69,-2.2,-92,-2.9,6419294,15.0,0,0.0,0,0.0,183,17.6
"20061","1","102","72","0","2016","2","","Geary County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,3113,3123,3116,42638959,0,0,1052,"",4.69,11.53,11.81,11.60,12.38,0.00,0.00,1.06,"",0,0.0,-76,-2.4,-47,-1.5,-36,-1.1,-5928079,-12.2,0,0.0,0,0.0,-126,-10.7
