"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"20063","0","10","70","0","2016","1","","Gove County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",153,1245,1246,1251,8685898,7861150,26226,536,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.7,12,1.0,9,0.7,-9,-0.7,-452356,-5.0,-103736,-1.3,-104461,-79.9,-29,-5.1
"20063","0","10","70","0","2016","2","","Gove County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",152,1207,1222,1257,9299838,5663953,17799,582,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,2.7,-41,-3.3,-21,-1.7,8,0.6,114484,1.2,615092,12.2,-38825,-68.6,15,2.6
"20063","0","10","70","0","2016","3","","Gove County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",154,1173,1206,1210,8883466,3746675,11937,571,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.0,-5,-0.4,52,4.5,4,0.3,-90267,-1.0,62870,1.7,-22931,-65.8,-14,-2.4
"20063","0","10","70","0","2016","4","","Gove County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",153,1228,1221,1235,10231793,3829906,11333,641,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.0,-4,-0.3,6,0.5,-11,-0.9,617278,6.4,217604,6.0,-16087,-58.7,40,6.7
"20063","1","10","71","0","2016","1","","Gove County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,12,15,15,106589,0,0,586,"",6.23,0.49,0.61,0.61,0.43,0.00,0.00,0.76,"",0,0.0,-5,-29.4,0,0.0,0,0.0,-21795,-17.0,0,0.0,0,0.0,-44,-7.0
"20063","1","10","71","0","2016","2","","Gove County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,11,12,13,105162,0,0,674,"",6.33,0.47,0.50,0.53,0.41,0.00,0.00,0.83,"",0,0.0,-2,-15.4,3,33.3,3,30.0,-74,-0.1,0,0.0,0,0.0,-85,-11.2
"20063","1","10","71","0","2016","3","","Gove County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,12,16,13,134584,0,0,758,"",6.30,0.51,0.67,0.55,0.49,0.00,0.00,0.85,"",0,0.0,-2,-14.3,4,33.3,2,18.2,13447,11.1,0,0.0,0,0.0,2,0.3
"20063","1","10","71","0","2016","4","","Gove County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,16,12,16,127953,0,0,671,"",6.39,0.67,0.50,0.66,0.44,0.00,0.00,0.73,"",0,0.0,2,14.3,0,0.0,1,6.7,7923,6.6,0,0.0,0,0.0,-5,-0.7
"20063","1","102","72","0","2016","1","","Gove County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,12,15,15,106589,0,0,586,"",6.24,0.49,0.62,0.62,0.44,0.00,0.00,0.76,"",0,0.0,-5,-29.4,0,0.0,0,0.0,-21795,-17.0,0,0.0,0,0.0,-44,-7.0
"20063","1","102","72","0","2016","2","","Gove County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,11,12,13,105162,0,0,674,"",6.34,0.47,0.51,0.54,0.42,0.00,0.00,0.83,"",0,0.0,-2,-15.4,3,33.3,3,30.0,-74,-0.1,0,0.0,0,0.0,-85,-11.2
