"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"20069","0","10","70","0","2016","1","","Gray County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",398,3025,3034,3049,25760479,20977134,106068,653,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",117,41.6,-213,-6.6,-196,-6.1,-219,-6.7,713918,2.9,731456,3.6,-239699,-69.3,59,9.9
"20069","0","10","70","0","2016","2","","Gray County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",412,3103,3242,3239,28196427,13666025,78121,679,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",128,45.1,-161,-4.9,-84,-2.5,-161,-4.7,-908057,-3.1,187250,1.4,-99188,-55.9,7,1.0
"20069","0","10","70","0","2016","3","","Gray County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",426,2835,2894,3123,26073236,8280271,40610,680,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",138,47.9,-78,-2.7,-22,-0.8,-148,-4.5,1208587,4.9,523972,6.8,-83803,-67.4,49,7.8
"20069","0","10","70","0","2016","4","","Gray County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",434,3232,3218,3208,31443940,9139742,41010,751,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",149,52.3,-214,-6.2,-185,-5.4,-205,-6.0,1360863,4.5,-290104,-3.1,-51463,-55.7,74,10.9
"20069","1","10","71","0","2016","1","","Gray County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,21,23,20,228935,0,0,825,"",3.99,0.35,0.38,0.33,0.31,0.00,0.00,0.88,"",0,0.0,-6,-22.2,1,4.5,0,0.0,-31113,-12.0,0,0.0,0,0.0,-45,-5.2
"20069","1","10","71","0","2016","2","","Gray County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,18,18,22,196517,0,0,782,"",3.89,0.30,0.28,0.35,0.25,0.00,0.00,0.82,"",0,0.0,-8,-30.8,-2,-10.0,2,10.0,-17357,-8.1,0,0.0,0,0.0,34,4.5
"20069","1","10","71","0","2016","3","","Gray County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,22,17,17,231031,0,0,952,"",3.42,0.39,0.30,0.28,0.29,0.00,0.00,0.89,"",-1,-10.0,-1,-4.3,-6,-26.1,-8,-32.0,-14419,-5.9,0,0.0,0,0.0,154,19.3
"20069","1","10","71","0","2016","4","","Gray County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,18,20,20,217960,0,0,867,"",3.38,0.29,0.32,0.32,0.25,0.00,0.00,0.80,"",-1,-10.0,-5,-21.7,-1,-4.8,-5,-20.0,-16792,-7.2,0,0.0,0,0.0,82,10.4
"20069","1","102","72","0","2016","1","","Gray County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,21,23,20,228935,0,0,825,"",4.00,0.36,0.39,0.34,0.32,0.00,0.00,0.88,"",0,0.0,-6,-22.2,1,4.5,0,0.0,-31113,-12.0,0,0.0,0,0.0,-45,-5.2
"20069","1","102","72","0","2016","2","","Gray County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,18,18,22,196517,0,0,782,"",3.90,0.30,0.29,0.35,0.26,0.00,0.00,0.82,"",0,0.0,-8,-30.8,-2,-10.0,2,10.0,-17357,-8.1,0,0.0,0,0.0,34,4.5
