"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"20123","0","10","70","0","2016","1","","Mitchell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",284,3271,3240,3242,26506874,22538324,212747,627,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.2,-156,-4.6,-139,-4.1,-138,-4.1,-661994,-2.4,64425,0.3,-215880,-50.4,11,1.8
"20123","0","10","70","0","2016","2","","Mitchell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",287,3243,3289,3365,26744237,15187906,63014,624,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.5,-159,-4.7,-119,-3.5,55,1.7,-467004,-1.7,1441829,10.5,-73878,-54.0,3,0.5
"20123","0","10","70","0","2016","3","","Mitchell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",288,3237,3207,3189,26295402,10518133,35468,630,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.8,-104,-3.1,-112,-3.4,-169,-5.0,169741,0.6,541723,5.4,-40683,-53.4,28,4.7
"20123","0","10","70","0","2016","4","","Mitchell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",286,3226,3236,3160,27730440,10240903,29775,665,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.1,-118,-3.5,-93,-2.8,-62,-1.9,-707861,-2.5,547817,5.7,-31796,-51.6,2,0.3
"20123","1","10","71","0","2016","1","","Mitchell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,33,28,34,328404,0,0,798,"",6.15,0.51,0.44,0.53,0.44,0.00,0.00,0.89,"",1,10.0,2,6.5,1,3.7,3,9.7,-14101,-4.1,0,0.0,0,0.0,-90,-10.1
"20123","1","10","71","0","2016","2","","Mitchell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,27,30,29,300504,0,0,806,"",6.15,0.43,0.47,0.44,0.41,0.00,0.00,0.92,"",0,0.0,-3,-10.0,-2,-6.2,0,0.0,-5865,-1.9,0,0.0,0,0.0,29,3.7
"20123","1","10","71","0","2016","3","","Mitchell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,33,29,30,362447,0,0,909,"",6.18,0.51,0.46,0.48,0.44,0.00,0.00,0.92,"",0,0.0,4,13.8,1,3.6,1,3.4,4127,1.2,0,0.0,0,0.0,-53,-5.5
"20123","1","10","71","0","2016","4","","Mitchell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,30,30,32,337404,0,0,846,"",6.26,0.48,0.48,0.51,0.43,0.00,0.00,0.88,"",0,0.0,-2,-6.2,3,11.1,2,6.7,3770,1.1,0,0.0,0,0.0,-19,-2.2
"20123","1","102","72","0","2016","1","","Mitchell County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,33,28,34,328404,0,0,798,"",6.16,0.52,0.44,0.54,0.44,0.00,0.00,0.89,"",1,10.0,2,6.5,1,3.7,3,9.7,-14101,-4.1,0,0.0,0,0.0,-90,-10.1
"20123","1","102","72","0","2016","2","","Mitchell County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,27,30,29,300504,0,0,806,"",6.16,0.43,0.47,0.45,0.42,0.00,0.00,0.92,"",0,0.0,-3,-10.0,-2,-6.2,0,0.0,-5865,-1.9,0,0.0,0,0.0,29,3.7
"20123","1","102","72","0","2016","3","","Mitchell County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,33,29,30,362447,0,0,909,"",6.19,0.52,0.47,0.49,0.45,0.00,0.00,0.92,"",0,0.0,4,13.8,1,3.6,1,3.4,4127,1.2,0,0.0,0,0.0,-53,-5.5
"20123","1","102","72","0","2016","4","","Mitchell County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,30,30,32,337404,0,0,846,"",6.28,0.49,0.48,0.52,0.44,0.00,0.00,0.88,"",0,0.0,-2,-6.2,3,11.1,2,6.7,3770,1.1,0,0.0,0,0.0,-19,-2.2
"20123","1","1021","73","0","2016","1","","Mitchell County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,21,19,22,176310,0,0,656,"",6.72,1.34,1.21,1.41,1.34,0.00,0.00,1.02,"",1,20.0,3,16.7,2,11.8,4,22.2,-11369,-6.1,0,0.0,0,0.0,-161,-19.7
"20123","1","1021","73","0","2016","2","","Mitchell County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,18,21,20,173219,0,0,678,"",6.71,1.17,1.34,1.25,1.30,0.00,0.00,1.04,"",0,0.0,-2,-10.0,2,10.5,1,5.3,-274,-0.2,0,0.0,0,0.0,-12,-1.7
