"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"20165","0","10","70","0","2016","1","","Rush County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",118,1117,1131,1073,8079574,7102365,28744,561,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.9,-112,-9.1,-55,-4.6,-86,-7.4,-997920,-11.0,-470125,-6.2,-110968,-79.4,-25,-4.3
"20165","0","10","70","0","2016","2","","Rush County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",116,1106,1119,1127,8673857,5220596,23132,597,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-2.5,-34,-3.0,-22,-1.9,-26,-2.3,-117931,-1.3,335836,6.9,-39521,-63.1,6,1.0
"20165","0","10","70","0","2016","3","","Rush County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",114,1121,1098,1125,8516463,3435977,16824,588,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-5.0,-32,-2.8,-54,-4.7,-32,-2.8,19037,0.2,400926,13.2,-19705,-53.9,22,3.9
"20165","0","10","70","0","2016","4","","Rush County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",116,1119,1094,1124,9167111,3198041,12864,634,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-3,-2.5,-52,-4.4,-47,-4.1,-29,-2.5,-189636,-2.0,149416,4.9,-16848,-56.7,11,1.8
"20165","1","10","71","0","2016","1","","Rush County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,22,24,21,218756,0,0,753,"",12.12,0.99,1.07,0.99,0.95,0.00,0.00,0.93,"",0,0.0,-5,-18.5,0,0.0,-4,-16.0,-22840,-9.5,0,0.0,0,0.0,19,2.6
"20165","1","10","71","0","2016","2","","Rush County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,24,25,21,203778,0,0,672,"",12.44,1.11,1.14,0.95,0.86,0.00,0.00,0.80,"",0,0.0,-6,-20.0,0,0.0,-3,-12.5,1795,0.9,0,0.0,0,0.0,82,13.9
"20165","1","10","71","0","2016","3","","Rush County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,21,20,24,235325,0,0,835,"",12.77,0.94,0.92,1.09,0.89,0.00,0.00,0.91,"",0,0.0,0,0.0,-1,-4.8,2,9.1,170,0.1,0,0.0,0,0.0,-13,-1.5
"20165","1","10","71","0","2016","4","","Rush County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,20,21,25,222820,0,0,779,"",12.63,0.92,0.99,1.13,0.86,0.00,0.00,0.85,"",0,0.0,-7,-25.9,-3,-12.5,1,4.2,-1504,-0.7,0,0.0,0,0.0,89,12.9
"20165","1","102","72","0","2016","1","","Rush County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,22,24,21,218756,0,0,753,"",12.14,1.01,1.09,1.01,0.97,0.00,0.00,0.93,"",0,0.0,-5,-18.5,0,0.0,-4,-16.0,-22840,-9.5,0,0.0,0,0.0,19,2.6
"20165","1","102","72","0","2016","2","","Rush County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,24,25,21,203778,0,0,672,"",12.46,1.13,1.16,0.96,0.87,0.00,0.00,0.80,"",0,0.0,-6,-20.0,0,0.0,-3,-12.5,1795,0.9,0,0.0,0,0.0,82,13.9
"20165","1","102","72","0","2016","3","","Rush County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,21,20,24,235325,0,0,835,"",12.79,0.96,0.94,1.11,0.91,0.00,0.00,0.91,"",0,0.0,0,0.0,-1,-4.8,2,9.1,170,0.1,0,0.0,0,0.0,-13,-1.5
"20165","1","102","72","0","2016","4","","Rush County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,20,21,25,222820,0,0,779,"",12.66,0.93,1.00,1.15,0.88,0.00,0.00,0.85,"",0,0.0,-7,-25.9,-3,-12.5,1,4.2,-1504,-0.7,0,0.0,0,0.0,89,12.9
"20165","1","1021","73","0","2016","1","","Rush County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,15,15,14,101979,0,0,535,"",16.18,2.79,2.75,2.70,2.55,0.00,0.00,0.93,"",0,0.0,-4,-21.1,-2,-11.8,-4,-22.2,-24178,-19.2,0,0.0,0,0.0,-4,-0.7
"20165","1","1021","73","0","2016","2","","Rush County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,14,15,14,104088,0,0,559,"",16.59,2.67,2.82,2.61,2.41,0.00,0.00,0.89,"",0,0.0,-5,-26.3,-3,-16.7,-3,-17.6,350,0.3,0,0.0,0,0.0,116,26.2
"20165","1","1021","73","0","2016","3","","Rush County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,14,13,14,126214,0,0,710,"",17.06,2.60,2.47,2.61,2.65,0.00,0.00,1.03,"",0,0.0,0,0.0,-1,-7.1,-1,-6.7,4333,3.6,0,0.0,0,0.0,56,8.6
"20165","1","1021","73","0","2016","4","","Rush County, Kansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,13,14,16,127720,0,0,685,"",16.88,2.45,2.69,2.89,2.44,0.00,0.00,0.91,"",0,0.0,-3,-18.8,1,7.7,3,23.1,585,0.5,0,0.0,0,0.0,-14,-2.0
"20165","1","1028","73","0","2016","1","","Rush County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,9,7,116777,0,0,1172,"",9.90,0.58,0.74,0.61,0.81,0.00,0.00,1.26,"",0,0.0,-1,-12.5,2,28.6,0,0.0,1338,1.2,0,0.0,0,0.0,-39,-3.2
"20165","1","1028","73","0","2016","2","","Rush County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,10,7,99690,0,0,852,"",10.19,0.85,0.84,0.58,0.68,0.00,0.00,0.90,"",0,0.0,-1,-9.1,3,42.9,0,0.0,1445,1.5,0,0.0,0,0.0,-55,-6.1
"20165","1","1028","73","0","2016","3","","Rush County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,10,109111,0,0,1049,"",10.44,0.58,0.59,0.83,0.67,0.00,0.00,1.01,"",0,0.0,0,0.0,0,0.0,3,42.9,-4163,-3.7,0,0.0,0,0.0,-196,-15.7
"20165","1","1028","73","0","2016","4","","Rush County, Kansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,9,95100,0,0,954,"",10.34,0.59,0.60,0.75,0.62,0.00,0.00,0.96,"",0,0.0,-4,-36.4,-4,-36.4,-2,-18.2,-2089,-2.1,0,0.0,0,0.0,274,40.3
"20165","1","48-49","74","0","2016","1","","Rush County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,15,15,14,101979,0,0,535,"",16.65,3.06,3.01,2.96,2.75,0.00,0.00,0.91,"",0,0.0,-4,-21.1,-2,-11.8,-4,-22.2,-24178,-19.2,0,0.0,0,0.0,-4,-0.7
"20165","1","48-49","74","0","2016","2","","Rush County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,14,15,14,104088,0,0,559,"",17.07,2.92,3.08,2.85,2.60,0.00,0.00,0.88,"",0,0.0,-5,-26.3,-3,-16.7,-3,-17.6,350,0.3,0,0.0,0,0.0,116,26.2
"20165","1","48-49","74","0","2016","3","","Rush County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,14,13,14,126214,0,0,710,"",17.55,2.85,2.70,2.85,2.84,0.00,0.00,1.01,"",0,0.0,0,0.0,-1,-7.1,-1,-6.7,4333,3.6,0,0.0,0,0.0,56,8.6
"20165","1","48-49","74","0","2016","4","","Rush County, Kansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,13,14,16,127720,0,0,685,"",17.37,2.68,2.95,3.15,2.63,0.00,0.00,0.90,"",0,0.0,-3,-18.8,1,7.7,3,23.1,585,0.5,0,0.0,0,0.0,-14,-2.0
"20165","1","491","75","0","2016","1","","Rush County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,15,15,14,101979,0,0,535,"",16.77,3.13,3.07,3.02,2.89,0.00,0.00,0.94,"",0,0.0,-4,-21.1,-2,-11.8,-4,-22.2,-24178,-19.2,0,0.0,0,0.0,-4,-0.7
"20165","1","491","75","0","2016","2","","Rush County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,14,15,14,104088,0,0,559,"",17.19,2.98,3.15,2.91,2.71,0.00,0.00,0.90,"",0,0.0,-5,-26.3,-3,-16.7,-3,-17.6,350,0.3,0,0.0,0,0.0,116,26.2
"20165","1","491","75","0","2016","3","","Rush County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,14,13,14,126214,0,0,710,"",17.67,2.91,2.76,2.91,2.97,0.00,0.00,1.04,"",0,0.0,0,0.0,-1,-7.1,-1,-6.7,4333,3.6,0,0.0,0,0.0,56,8.6
"20165","1","491","75","0","2016","4","","Rush County, Kansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,13,14,16,127720,0,0,685,"",17.49,2.73,3.01,3.21,2.72,0.00,0.00,0.91,"",0,0.0,-3,-18.8,1,7.7,3,23.1,585,0.5,0,0.0,0,0.0,-14,-2.0
"20165","1","4911","76","0","2016","1","","Rush County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,15,15,14,101979,0,0,535,"",16.77,3.13,3.07,3.02,2.89,0.00,0.00,0.94,"",0,0.0,-4,-21.1,-2,-11.8,-4,-22.2,-24178,-19.2,0,0.0,0,0.0,-4,-0.7
"20165","1","4911","76","0","2016","2","","Rush County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,14,15,14,104088,0,0,559,"",17.19,2.98,3.15,2.91,2.71,0.00,0.00,0.90,"",0,0.0,-5,-26.3,-3,-16.7,-3,-17.6,350,0.3,0,0.0,0,0.0,116,26.2
"20165","1","4911","76","0","2016","3","","Rush County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,14,13,14,126214,0,0,710,"",17.67,2.91,2.76,2.91,2.97,0.00,0.00,1.04,"",0,0.0,0,0.0,-1,-7.1,-1,-6.7,4333,3.6,0,0.0,0,0.0,56,8.6
"20165","1","4911","76","0","2016","4","","Rush County, Kansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,13,14,16,127720,0,0,685,"",17.49,2.73,3.01,3.21,2.72,0.00,0.00,0.91,"",0,0.0,-3,-18.8,1,7.7,3,23.1,585,0.5,0,0.0,0,0.0,-14,-2.0
"20165","1","49111","77","0","2016","1","","Rush County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,15,15,14,101979,0,0,535,"",16.77,3.13,3.07,3.02,2.89,0.00,0.00,0.94,"",0,0.0,-4,-21.1,-2,-11.8,-4,-22.2,-24178,-19.2,0,0.0,0,0.0,-4,-0.7
"20165","1","49111","77","0","2016","2","","Rush County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,14,15,14,104088,0,0,559,"",17.19,2.98,3.15,2.91,2.71,0.00,0.00,0.90,"",0,0.0,-5,-26.3,-3,-16.7,-3,-17.6,350,0.3,0,0.0,0,0.0,116,26.2
"20165","1","49111","77","0","2016","3","","Rush County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,14,13,14,126214,0,0,710,"",17.67,2.91,2.76,2.91,2.97,0.00,0.00,1.04,"",0,0.0,0,0.0,-1,-7.1,-1,-6.7,4333,3.6,0,0.0,0,0.0,56,8.6
"20165","1","49111","77","0","2016","4","","Rush County, Kansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,13,14,16,127720,0,0,685,"",17.49,2.73,3.01,3.21,2.72,0.00,0.00,0.91,"",0,0.0,-3,-18.8,1,7.7,3,23.1,585,0.5,0,0.0,0,0.0,-14,-2.0
"20165","1","491110","78","0","2016","1","","Rush County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,15,15,14,101979,0,0,535,"",16.77,3.13,3.07,3.02,2.89,0.00,0.00,0.94,"",0,0.0,-4,-21.1,-2,-11.8,-4,-22.2,-24178,-19.2,0,0.0,0,0.0,-4,-0.7
"20165","1","491110","78","0","2016","2","","Rush County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,14,15,14,104088,0,0,559,"",17.19,2.98,3.15,2.91,2.71,0.00,0.00,0.90,"",0,0.0,-5,-26.3,-3,-16.7,-3,-17.6,350,0.3,0,0.0,0,0.0,116,26.2
"20165","1","491110","78","0","2016","3","","Rush County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,14,13,14,126214,0,0,710,"",17.67,2.91,2.76,2.91,2.97,0.00,0.00,1.04,"",0,0.0,0,0.0,-1,-7.1,-1,-6.7,4333,3.6,0,0.0,0,0.0,56,8.6
"20165","1","491110","78","0","2016","4","","Rush County, Kansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,13,14,16,127720,0,0,685,"",17.49,2.73,3.01,3.21,2.72,0.00,0.00,0.91,"",0,0.0,-3,-18.8,1,7.7,3,23.1,585,0.5,0,0.0,0,0.0,-14,-2.0
"20165","1","92","74","0","2016","1","","Rush County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,9,7,116777,0,0,1172,"",9.90,0.58,0.74,0.61,0.81,0.00,0.00,1.26,"",0,0.0,-1,-12.5,2,28.6,0,0.0,1338,1.2,0,0.0,0,0.0,-39,-3.2
"20165","1","92","74","0","2016","2","","Rush County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,10,7,99690,0,0,852,"",10.19,0.85,0.84,0.58,0.68,0.00,0.00,0.90,"",0,0.0,-1,-9.1,3,42.9,0,0.0,1445,1.5,0,0.0,0,0.0,-55,-6.1
"20165","1","92","74","0","2016","3","","Rush County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,7,10,109111,0,0,1049,"",10.44,0.58,0.59,0.83,0.67,0.00,0.00,1.01,"",0,0.0,0,0.0,0,0.0,3,42.9,-4163,-3.7,0,0.0,0,0.0,-196,-15.7
"20165","1","92","74","0","2016","4","","Rush County, Kansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,7,9,95100,0,0,954,"",10.34,0.59,0.60,0.75,0.62,0.00,0.00,0.96,"",0,0.0,-4,-36.4,-4,-36.4,-2,-18.2,-2089,-2.1,0,0.0,0,0.0,274,40.3
