"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"20167","0","10","70","0","2016","1","","Russell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",325,2685,2637,2613,20779722,16201680,89126,604,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.3,-159,-5.6,-189,-6.7,-194,-6.9,-3071630,-12.9,-894516,-5.2,-291559,-76.6,-45,-6.9
"20167","0","10","70","0","2016","2","","Russell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",317,2665,2670,2663,20769831,9015407,52044,599,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-2.2,-144,-5.1,-165,-5.8,-156,-5.5,-2815588,-11.9,855130,10.5,-92786,-64.1,-44,-6.8
"20167","0","10","70","0","2016","3","","Russell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",313,2583,2514,2470,22344060,5965614,28904,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-3.7,-163,-5.9,-197,-7.3,-169,-6.4,-1188102,-5.0,440395,8.0,-54505,-65.3,10,1.5
"20167","0","10","70","0","2016","4","","Russell County, Kansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",314,2632,2620,2609,21763893,5200833,26206,639,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-3.4,-87,-3.2,-97,-3.6,-91,-3.4,-2383763,-9.9,467049,9.9,-33723,-56.3,-46,-6.7
"20167","1","10","71","0","2016","1","","Russell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,32,28,29,307344,0,0,797,"",5.86,0.60,0.54,0.56,0.52,0.00,0.00,0.92,"",0,0.0,-4,-11.1,-2,-6.7,2,7.4,215,0.1,0,0.0,0,0.0,35,4.6
"20167","1","10","71","0","2016","2","","Russell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,29,31,29,296557,0,0,769,"",6.07,0.56,0.59,0.55,0.52,0.00,0.00,0.92,"",0,0.0,0,0.0,-1,-3.1,1,3.6,23190,8.5,0,0.0,0,0.0,60,8.5
"20167","1","10","71","0","2016","3","","Russell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,28,31,29,331241,0,0,869,"",6.20,0.55,0.62,0.60,0.48,0.00,0.00,0.81,"",0,0.0,-2,-6.7,0,0.0,1,3.6,1861,0.6,0,0.0,0,0.0,15,1.8
"20167","1","10","71","0","2016","4","","Russell County, Kansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,32,30,32,305964,0,0,751,"",6.22,0.62,0.59,0.62,0.50,0.00,0.00,0.82,"",0,0.0,5,18.5,-1,-3.2,1,3.2,-15310,-4.8,0,0.0,0,0.0,-82,-9.8
"20167","1","102","72","0","2016","1","","Russell County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,32,28,29,307344,0,0,797,"",5.88,0.61,0.55,0.57,0.53,0.00,0.00,0.92,"",0,0.0,-4,-11.1,-2,-6.7,2,7.4,215,0.1,0,0.0,0,0.0,35,4.6
"20167","1","102","72","0","2016","2","","Russell County, Kansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,29,31,29,296557,0,0,769,"",6.08,0.57,0.60,0.56,0.53,0.00,0.00,0.92,"",0,0.0,0,0.0,-1,-3.1,1,3.6,23190,8.5,0,0.0,0,0.0,60,8.5
